indicator,type,topic,description,response,respondent_group,year,sample_size,result,format
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",65+ years,2023,203,60.5,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",Female,2023,761,76.8,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",City of Melbourne,2023,1376,74.4,Per cent
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",South Wharf / Southbank 3006,2023,147,65.9,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,35-44 years,2023,219,90.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,55-64 years,2023,113,88.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Carlton 3053,2023,180,94.3,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,City of Melbourne,2023,1317,92.6,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,East Melbourne 3002,2023,66,87.0,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Kensington / Flemington 3031,2023,87,95.9,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Parkville 3052,2023,75,95.2,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,25-34 years,2023,421,14.5,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,Female,2023,761,21.6,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,East Melbourne 3002,2023,69,36.2,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,North Melbourne 3051 / West Melbourne 3003,2023,207,30.2,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,Parkville 3052,2023,77,25.5,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Self assessment of Aboriginal and Torrest Strait Islander people histories and cultures,Reported as very high or fairly high,South Wharf / Southbank 3006,2023,147,22.0,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",18-24 years,2023,274,69.1,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Male,2023,573,64.6,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",City of Melbourne,2023,1376,63.2,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",East Melbourne 3002,2023,69,64.0,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Melbourne 3000,2023,344,59.4,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,138,66.2,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",25-34 years,2023,421,57.8,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",35-44 years,2023,229,60.5,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",65+ years,2023,203,38.6,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",East Melbourne 3002,2023,69,50.7,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2023,207,58.8,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,138,56.6,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,18-24 years,2023,274,48.3,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,55-64 years,2023,115,40.2,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,65+ years,2023,203,43.7,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,Carlton 3053,2023,192,45.8,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,City of Melbourne,2023,1376,47.9,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,Docklands 3008,2023,113,43.7,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,North Melbourne 3051 / West Melbourne 3003,2023,207,50.8,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,Parkville 3052,2023,77,52.0,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,25-34 years,2023,421,43.3,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,35-44 years,2023,229,47.5,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,Male,2023,573,50.3,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,City of Melbourne,2023,1376,45.9,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,Docklands 3008,2023,113,48.7,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,North Melbourne 3051 / West Melbourne 3003,2023,207,47.4,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,Parkville 3052,2023,77,40.3,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,South Wharf / Southbank 3006,2023,147,56.5,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",Female,2023,761,35.4,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",Male,2023,573,41.8,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",55-64 years,2023,115,13.2,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",65+ years,2023,203,5.0,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Docklands 3008,2023,113,25.7,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",35-44 years,2023,228,19.3,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",55-64 years,2023,115,6.7,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Female,2023,758,24.6,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Male,2023,572,19.4,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Docklands 3008,2023,113,14.5,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Wharf / Southbank 3006,2023,147,16.0,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",35-44 years,2023,228,16.3,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",45-54 years,2023,126,10.6,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Male,2023,571,19.3,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Carlton 3053,2023,191,25.9,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",City of Melbourne,2023,1369,19.3,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",55-64 years,2023,115,2.9,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",65+ years,2023,203,2.4,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Male,2023,569,13.2,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",25-34 years,2023,421,8.4,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",35-44 years,2023,229,6.6,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",55-64 years,2023,115,4.2,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",65+ years,2023,203,2.1,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",City of Melbourne,2023,1376,7.5,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2023,207,9.9,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,18-24 years,2023,273,85.1,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,25-34 years,2023,421,86.0,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,65+ years,2023,203,87.5,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,Kensington / Flemington 3031,2023,89,94.7,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,Melbourne 3000,2023,343,78.7,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,South Wharf / Southbank 3006,2023,147,89.6,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,35-44 years,2023,227,62.0,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,45-54 years,2023,127,73.8,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,65+ years,2023,197,74.4,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,Male,2023,572,72.5,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,Carlton 3053,2023,190,52.9,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,South Wharf / Southbank 3006,2023,144,68.1,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,137,68.4,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,City of Melbourne,2023,1294,81.3,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,South Wharf / Southbank 3006,2023,135,83.5,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,18-24 years,2023,267,42.6,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,25-34 years,2023,404,52.7,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,Carlton 3053,2023,172,51.9,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,Kensington / Flemington 3031,2023,78,52.5,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,Melbourne 3000,2023,328,52.4,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,114,51.5,Per cent
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),18-24 years,2023,269,69.9,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),25-34 years,2023,411,71.4,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),35-44 years,2023,223,70.9,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),45-54 years,2023,123,71.7,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),Carlton 3053,2023,188,67.9,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),Docklands 3008,2023,108,71.5,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),East Melbourne 3002,2023,60,77.3,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),Kensington / Flemington 3031,2023,87,74.2,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),North Melbourne 3051 / West Melbourne 3003,2023,202,73.8,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),Parkville 3052,2023,74,74.1,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,135,71.9,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),35-44 years,2023,223,73.4,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),55-64 years,2023,108,79.4,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),65+ years,2023,189,85.7,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),Female,2023,742,74.9,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),Carlton 3053,2023,188,68.7,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),East Melbourne 3002,2023,60,79.3,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),Kensington / Flemington 3031,2023,87,78.7,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),Melbourne 3000,2023,333,72.5,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),35-44 years,2023,223,73.8,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),45-54 years,2023,123,70.5,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),Female,2023,742,71.5,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),City of Melbourne,2023,1328,72.9,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),Docklands 3008,2023,108,69.9,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),Parkville 3052,2023,74,74.2,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,135,72.5,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),35-44 years,2023,223,70.9,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),55-64 years,2023,108,69.7,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),65+ years,2023,189,79.4,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),Female,2023,742,69.5,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),Carlton 3053,2023,188,64.9,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),18-24 years,2023,269,69.8,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),45-54 years,2023,123,73.6,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),65+ years,2023,189,83.7,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),Female,2023,742,73.5,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),Male,2023,548,73.8,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),Docklands 3008,2023,108,74.1,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),Melbourne 3000,2023,333,71.1,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),North Melbourne 3051 / West Melbourne 3003,2023,202,76.0,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),Parkville 3052,2023,74,74.5,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),55-64 years,2023,108,79.0,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),City of Melbourne,2023,1328,79.1,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),Docklands 3008,2023,108,79.9,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),East Melbourne 3002,2023,60,85.0,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),Kensington / Flemington 3031,2023,87,81.6,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),Melbourne 3000,2023,333,75.8,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),65+ years,2023,189,73.0,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Female,2023,742,63.8,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Male,2023,548,64.8,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Docklands 3008,2023,108,65.1,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),East Melbourne 3002,2023,60,70.1,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Kensington / Flemington 3031,2023,87,68.0,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Melbourne 3000,2023,333,60.5,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),South Wharf / Southbank 3006,2023,141,63.9,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),Carlton 3053,2023,188,62.5,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),Kensington / Flemington 3031,2023,87,68.1,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),North Melbourne 3051 / West Melbourne 3003,2023,202,68.9,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),Parkville 3052,2023,74,66.3,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,135,66.1,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),45-54 years,2023,126,73.9,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),55-64 years,2023,115,74.5,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),Melbourne 3000,2023,340,70.5,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),North Melbourne 3051 / West Melbourne 3003,2023,206,74.1,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),Parkville 3052,2023,76,73.8,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),South Wharf / Southbank 3006,2023,147,76.2,Average
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,18-24 years,2023,269,18.8,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,35-44 years,2023,228,13.9,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,55-64 years,2023,114,7.5,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,Female,2023,758,12.0,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,Carlton 3053,2023,191,15.1,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,City of Melbourne,2023,1366,14.9,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,East Melbourne 3002,2023,69,13.9,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,North Melbourne 3051 / West Melbourne 3003,2023,206,15.8,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,South Wharf / Southbank 3006,2023,146,14.3,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,25-34 years,2023,417,16.9,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,65+ years,2023,202,0.2,Per cent
