pipe_id,source,failure,installation_year,material,diameter_inches,length_feet,soil_type,soil_corrosivity,soil_moisture,soil_ph,depth_feet,pressure_psi,traffic_load,num_previous_repairs,days_since_last_repair,num_joints,water_quality_index,population_density,zone,average_daily_flow_gpm,temperature_variation_f,rainfall_inches_annual,ground_movement_index,pipe_age,material_life,age_ratio
SYR-0472,Syracuse_Real_Data,1,1970,cast_iron,20,1595.0,sandy,moderately_corrosive,30.1,5.77,2.5,41.7,moderate,1,1487,4,68.0,13492.0,commercial,284.3,31.6,69.9,7.17,54,100,0.54
SYR-0595,Syracuse_Real_Data,1,1989,galvanized_steel,6,567.6,sandy,mildly_corrosive,77.4,6.35,7.4,86.5,moderate,1,2184,22,81.5,2015.0,commercial,462.5,39.6,67.9,5.37,35,50,0.7
SYR-0322,Syracuse_Real_Data,1,1966,pvc,12,1463.9,gravel,moderately_corrosive,49.4,4.99,7.1,66.2,moderate,0,3388,12,89.4,1431.0,industrial,160.1,14.7,30.6,5.08,58,75,0.7733333333333333
EPA-00418,EPA_DWINS_Pattern,0,1936,clay,8,381.3,silt,non_corrosive,12.3,7.45,8.5,55.9,light,1,2222,16,51.8,5765.0,mixed,259.4,21.6,58.2,6.26,88,60,1.4666666666666666
EPA-00675,EPA_DWINS_Pattern,0,1970,pvc,24,605.3,clay,mildly_corrosive,15.2,4.83,4.1,106.9,light,1,204,25,90.6,9900.0,commercial,277.1,45.1,26.9,5.04,54,75,0.72
EPA-02591,EPA_DWINS_Pattern,0,1990,pvc,12,658.1,silt,corrosive,88.2,4.03,3.8,89.8,moderate,2,1150,25,79.5,4804.0,industrial,95.8,36.8,13.2,4.46,34,75,0.4533333333333333
EPA-00704,EPA_DWINS_Pattern,0,1990,asbestos_cement,16,1993.0,sandy,mildly_corrosive,91.3,6.2,11.8,85.8,none,2,2437,13,66.3,3115.0,commercial,254.7,41.5,51.6,3.16,34,70,0.4857142857142857
EPA-01541,EPA_DWINS_Pattern,0,1992,hdpe,4,468.4,loam,mildly_corrosive,64.5,4.38,3.1,38.4,moderate,1,3597,26,84.7,912.0,industrial,329.7,10.4,42.3,6.02,32,50,0.64
SYR-0206,Syracuse_Real_Data,1,1980,cast_iron,16,302.0,sandy,non_corrosive,25.7,6.81,12.0,53.3,light,3,872,15,85.2,12507.0,commercial,58.8,75.0,13.2,2.96,44,100,0.44
EPA-02888,EPA_DWINS_Pattern,0,1984,ductile_iron,4,1855.1,loam,moderately_corrosive,41.3,6.6,9.2,54.9,heavy,1,809,8,87.9,11072.0,commercial,324.4,46.4,35.4,0.0,40,100,0.4
EPA-02249,EPA_DWINS_Pattern,0,1913,galvanized_steel,8,365.8,silt,corrosive,36.0,4.69,8.3,69.1,heavy,0,2378,28,70.6,9708.0,mixed,267.4,40.5,45.2,0.63,111,50,2.22
EPA-01132,EPA_DWINS_Pattern,0,2018,steel,6,1764.6,silt,moderately_corrosive,76.7,5.23,5.4,112.9,moderate,0,449,12,78.8,11023.0,commercial,191.9,70.7,33.7,8.79,6,70,0.08571428571428572
EPA-00256,EPA_DWINS_Pattern,0,1998,hdpe,4,1318.4,silt,mildly_corrosive,55.7,4.12,10.7,66.3,heavy,0,3466,27,73.8,12638.0,commercial,196.9,14.4,12.6,8.46,26,50,0.52
EPA-01300,EPA_DWINS_Pattern,0,1951,clay,12,1174.9,sandy,corrosive,76.3,6.97,11.1,59.5,heavy,1,3326,27,68.2,4062.0,commercial,429.4,41.3,66.2,9.58,73,60,1.2166666666666666
EPA-00227,EPA_DWINS_Pattern,0,1975,ductile_iron,6,1515.1,silt,non_corrosive,40.6,5.46,9.2,36.4,moderate,0,2111,4,56.5,11882.0,residential,482.0,50.3,65.7,4.47,49,100,0.49
EPA-02919,EPA_DWINS_Pattern,0,1976,hdpe,12,1465.7,clay,corrosive,83.9,7.56,9.1,64.6,moderate,1,1258,21,96.0,1636.0,residential,183.3,29.4,63.2,2.71,48,50,0.96
EPA-01465,EPA_DWINS_Pattern,0,1987,concrete,20,265.5,loam,non_corrosive,46.5,7.15,6.9,34.7,light,1,1611,26,56.4,14006.0,residential,234.8,28.2,51.8,9.99,37,75,0.49333333333333335
EPA-01384,EPA_DWINS_Pattern,0,1957,asbestos_cement,6,1999.0,loam,moderately_corrosive,45.5,5.87,2.8,62.9,heavy,0,2031,7,82.4,8515.0,industrial,246.3,21.3,64.3,6.08,67,70,0.9571428571428572
SYR-0150,Syracuse_Real_Data,1,1988,copper,16,1886.7,silt,highly_corrosive,51.6,4.11,12.0,117.1,moderate,2,3138,15,70.0,11478.0,industrial,330.3,59.4,61.3,9.08,36,80,0.45
SYR-0870,Syracuse_Real_Data,1,1977,galvanized_steel,8,1798.4,gravel,moderately_corrosive,60.3,5.6,2.2,80.0,moderate,0,2644,29,91.1,7357.0,residential,128.0,56.8,42.7,3.57,47,50,0.94
EPA-00979,EPA_DWINS_Pattern,0,2008,ductile_iron,8,1263.5,sandy,mildly_corrosive,86.0,5.62,7.0,48.8,moderate,0,1708,24,73.6,6065.0,commercial,184.7,38.6,40.7,7.73,16,100,0.16
EPA-01457,EPA_DWINS_Pattern,0,2020,pvc,12,1069.4,gravel,non_corrosive,48.9,5.66,5.7,56.9,light,1,2337,11,59.3,10619.0,mixed,78.4,17.0,47.1,7.8,4,75,0.05333333333333334
EPA-02866,EPA_DWINS_Pattern,0,1908,pvc,16,1095.7,sandy,moderately_corrosive,89.1,8.77,9.8,81.4,moderate,0,2072,11,57.5,5009.0,residential,14.0,23.0,27.0,6.58,116,75,1.5466666666666666
EPA-01213,EPA_DWINS_Pattern,0,1955,pvc,16,79.1,loam,highly_corrosive,43.5,4.82,9.4,31.7,heavy,1,457,5,69.6,9039.0,residential,101.7,38.2,17.1,2.43,69,75,0.92
EPA-00007,EPA_DWINS_Pattern,0,1954,galvanized_steel,6,1024.0,gravel,non_corrosive,37.6,5.35,8.3,111.0,none,2,1141,28,76.7,120.0,residential,32.1,27.4,65.7,8.32,70,50,1.4
EPA-02048,EPA_DWINS_Pattern,0,1948,pvc,12,1266.4,silt,moderately_corrosive,35.1,8.16,2.7,82.0,none,0,767,26,81.5,12587.0,commercial,128.7,61.6,39.5,4.69,76,75,1.0133333333333334
SYR-0706,Syracuse_Real_Data,1,1964,clay,8,1334.5,gravel,corrosive,11.8,8.63,4.4,74.3,heavy,0,2018,24,92.4,2587.0,commercial,186.5,15.6,15.1,7.54,60,60,1.0
EPA-02144,EPA_DWINS_Pattern,0,1939,cast_iron,8,697.7,gravel,non_corrosive,82.2,6.34,2.9,94.5,light,0,3541,13,68.7,9243.0,residential,41.4,37.3,66.7,5.42,85,100,0.85
EPA-02597,EPA_DWINS_Pattern,0,1999,ductile_iron,24,969.0,sandy,corrosive,16.7,6.7,11.8,48.0,moderate,1,2621,14,89.1,12843.0,industrial,480.5,72.1,58.5,1.06,25,100,0.25
EPA-00988,EPA_DWINS_Pattern,0,1938,pvc,4,1290.8,peat,highly_corrosive,38.4,4.26,3.3,31.9,moderate,1,2426,12,61.2,10239.0,residential,76.1,33.7,48.8,4.37,86,75,1.1466666666666667
SYR-0180,Syracuse_Real_Data,1,1947,cast_iron,10,885.2,peat,moderately_corrosive,31.3,8.04,11.7,85.4,moderate,0,1873,12,93.9,7158.0,residential,429.6,63.3,69.5,3.79,77,100,0.77
SYR-0110,Syracuse_Real_Data,1,1931,cast_iron,10,1926.2,sandy,mildly_corrosive,73.3,6.97,3.1,44.4,none,0,1311,3,54.9,7617.0,industrial,360.1,31.0,59.3,9.27,93,100,0.93
EPA-02079,EPA_DWINS_Pattern,0,1927,cast_iron,6,1425.6,clay,moderately_corrosive,89.3,6.4,10.6,31.1,none,0,793,7,90.2,6644.0,residential,386.9,55.2,14.8,8.37,97,100,0.97
EPA-00056,EPA_DWINS_Pattern,0,1943,ductile_iron,20,52.5,sandy,non_corrosive,79.4,5.51,7.7,113.6,moderate,0,3316,19,63.4,616.0,industrial,118.8,49.1,53.2,3.17,81,100,0.81
EPA-02953,EPA_DWINS_Pattern,0,1941,hdpe,10,95.4,gravel,corrosive,37.2,6.22,10.3,101.0,light,1,101,9,82.8,11634.0,residential,470.1,46.5,17.2,6.1,83,50,1.66
SYR-0315,Syracuse_Real_Data,1,1973,cast_iron,16,1396.1,peat,non_corrosive,48.7,7.68,8.3,40.3,moderate,2,3325,6,77.2,14349.0,residential,122.8,20.3,56.5,4.41,51,100,0.51
EPA-00823,EPA_DWINS_Pattern,0,1932,asbestos_cement,10,854.7,gravel,highly_corrosive,31.0,4.4,9.7,110.7,heavy,0,819,14,78.9,10836.0,residential,20.8,13.6,26.2,6.56,92,70,1.3142857142857143
SYR-0568,Syracuse_Real_Data,1,1988,cast_iron,24,1687.0,sandy,corrosive,88.5,6.53,9.3,36.1,heavy,3,2936,24,99.0,13491.0,industrial,85.6,19.3,30.9,4.34,36,100,0.36
SYR-0880,Syracuse_Real_Data,1,1957,concrete,16,387.4,clay,corrosive,20.1,4.17,4.6,102.3,light,1,3107,11,79.9,13085.0,residential,181.7,62.8,59.9,4.07,67,75,0.8933333333333333
EPA-01231,EPA_DWINS_Pattern,0,1971,hdpe,8,77.0,loam,highly_corrosive,90.9,7.86,11.4,67.3,moderate,1,3349,23,60.8,5394.0,mixed,49.5,79.9,17.9,7.78,53,50,1.06
EPA-00412,EPA_DWINS_Pattern,0,1968,galvanized_steel,24,806.8,sandy,moderately_corrosive,79.2,5.06,8.4,76.6,light,1,3502,20,70.5,5508.0,commercial,407.7,28.2,66.6,9.5,56,50,1.12
EPA-02225,EPA_DWINS_Pattern,0,1989,steel,20,1485.3,clay,non_corrosive,70.5,8.52,4.0,90.1,moderate,1,1849,11,54.8,6946.0,industrial,284.7,28.5,17.6,0.45,35,70,0.5
EPA-02937,EPA_DWINS_Pattern,0,1968,ductile_iron,12,1944.9,clay,mildly_corrosive,75.8,6.38,5.1,38.9,light,1,2065,19,66.8,1464.0,commercial,464.1,36.9,11.5,0.22,56,100,0.56
EPA-02250,EPA_DWINS_Pattern,0,1970,concrete,4,1773.1,clay,mildly_corrosive,38.8,6.29,7.3,111.7,heavy,2,144,16,64.6,766.0,mixed,297.9,35.2,11.5,5.22,54,75,0.72
SYR-0930,Syracuse_Real_Data,1,1947,pvc,12,993.9,clay,highly_corrosive,35.2,5.8,10.8,42.9,moderate,1,3031,7,82.2,136.0,residential,41.2,54.6,58.6,7.22,77,75,1.0266666666666666
EPA-01579,EPA_DWINS_Pattern,0,1987,clay,16,1635.0,silt,non_corrosive,42.4,6.58,10.0,114.7,light,1,2132,13,95.7,7979.0,residential,272.8,41.3,38.8,9.16,37,60,0.6166666666666667
EPA-02380,EPA_DWINS_Pattern,0,1971,pvc,8,187.1,sandy,moderately_corrosive,25.4,5.69,5.0,38.2,light,1,200,9,64.1,8126.0,mixed,48.5,53.8,40.5,2.91,53,75,0.7066666666666667
EPA-01293,EPA_DWINS_Pattern,0,1978,hdpe,6,1165.9,sandy,mildly_corrosive,73.4,5.8,8.9,45.5,moderate,1,1284,17,92.4,1258.0,residential,470.0,16.8,60.1,4.77,46,50,0.92
EPA-00503,EPA_DWINS_Pattern,0,1997,cast_iron,12,1852.4,loam,mildly_corrosive,50.4,4.98,2.0,35.2,heavy,0,3119,3,93.8,2743.0,commercial,331.7,61.9,40.8,8.27,27,100,0.27
EPA-02783,EPA_DWINS_Pattern,0,1964,pvc,20,823.0,peat,corrosive,85.3,5.73,5.3,65.8,light,0,1420,4,81.6,11148.0,mixed,180.5,64.0,67.4,3.41,60,75,0.8
SYR-0606,Syracuse_Real_Data,1,1944,cast_iron,8,1922.2,silt,moderately_corrosive,84.7,8.06,10.4,83.2,moderate,0,1069,12,84.9,8025.0,mixed,308.5,76.5,10.2,0.66,80,100,0.8
EPA-00989,EPA_DWINS_Pattern,0,1911,clay,10,480.3,loam,non_corrosive,23.2,5.23,3.5,86.3,light,5,1013,16,89.9,11702.0,industrial,378.4,55.8,19.8,8.48,113,60,1.8833333333333333
SYR-0015,Syracuse_Real_Data,1,1973,ductile_iron,4,256.0,silt,corrosive,28.6,8.11,5.5,104.6,heavy,2,665,15,68.6,3088.0,residential,470.5,50.3,57.3,2.67,51,100,0.51
EPA-00262,EPA_DWINS_Pattern,0,1979,concrete,16,1073.3,silt,mildly_corrosive,44.9,8.31,2.0,77.6,moderate,2,1986,4,99.3,8619.0,commercial,317.0,50.7,64.9,9.88,45,75,0.6
EPA-02239,EPA_DWINS_Pattern,0,1966,pvc,20,1819.1,silt,non_corrosive,20.1,7.33,2.2,75.9,moderate,1,1033,4,69.1,3670.0,commercial,340.7,16.4,52.4,2.53,58,75,0.7733333333333333
EPA-02319,EPA_DWINS_Pattern,0,1962,pvc,20,657.0,loam,moderately_corrosive,68.6,4.15,3.5,59.4,light,0,2141,4,54.2,14408.0,residential,206.5,33.1,27.9,6.27,62,75,0.8266666666666667
SYR-0009,Syracuse_Real_Data,1,1987,asbestos_cement,10,1610.3,loam,moderately_corrosive,72.7,6.81,3.0,88.6,heavy,0,1832,4,86.6,13872.0,commercial,120.2,72.3,60.4,9.29,37,70,0.5285714285714286
SYR-0890,Syracuse_Real_Data,1,1949,pvc,4,379.9,loam,moderately_corrosive,71.3,8.17,6.9,111.8,moderate,1,2388,25,66.7,4957.0,mixed,182.6,71.9,23.2,2.62,75,75,1.0
EPA-02149,EPA_DWINS_Pattern,0,1971,asbestos_cement,10,1503.9,sandy,mildly_corrosive,50.0,5.83,11.0,62.0,light,3,2156,9,51.4,2409.0,commercial,334.3,76.8,36.3,4.26,53,70,0.7571428571428571
EPA-02552,EPA_DWINS_Pattern,0,1974,steel,24,1136.2,sandy,moderately_corrosive,81.7,5.41,2.8,62.1,moderate,1,244,24,59.0,2298.0,commercial,437.3,57.0,57.1,4.3,50,70,0.7142857142857143
EPA-00445,EPA_DWINS_Pattern,0,1963,clay,4,391.3,sandy,moderately_corrosive,61.5,5.61,10.7,60.9,light,1,55,15,68.5,2728.0,industrial,336.1,25.6,34.3,5.32,61,60,1.0166666666666666
SYR-0394,Syracuse_Real_Data,1,1952,cast_iron,6,1450.3,sandy,corrosive,94.5,6.12,8.7,50.5,heavy,1,1130,29,60.6,9510.0,residential,478.7,68.2,59.5,3.69,72,100,0.72
EPA-00583,EPA_DWINS_Pattern,0,1935,pvc,20,1441.8,loam,non_corrosive,79.3,4.35,3.7,81.0,moderate,3,1271,29,56.8,2771.0,commercial,339.4,50.5,46.2,5.33,89,75,1.1866666666666668
EPA-01859,EPA_DWINS_Pattern,0,1965,ductile_iron,12,1055.1,loam,non_corrosive,71.4,5.19,4.9,39.5,moderate,2,1664,18,58.1,2841.0,commercial,318.2,16.7,61.7,6.28,59,100,0.59
SYR-0539,Syracuse_Real_Data,1,1985,galvanized_steel,6,489.7,clay,mildly_corrosive,20.5,7.23,3.9,105.1,light,0,2580,27,81.3,6100.0,commercial,16.1,14.1,24.1,3.03,39,50,0.78
EPA-00488,EPA_DWINS_Pattern,0,2015,ductile_iron,4,308.0,sandy,non_corrosive,80.8,6.36,9.9,42.4,heavy,0,3548,13,56.4,11928.0,commercial,308.9,53.6,48.1,6.23,9,100,0.09
SYR-0808,Syracuse_Real_Data,1,1984,pvc,10,1916.6,sandy,mildly_corrosive,36.0,5.24,9.3,45.7,heavy,2,2746,13,89.2,2090.0,residential,45.6,56.1,49.7,2.07,40,75,0.5333333333333333
EPA-02415,EPA_DWINS_Pattern,0,1942,steel,12,1328.8,silt,non_corrosive,45.6,8.65,5.0,36.2,moderate,1,1355,5,92.1,2437.0,residential,265.9,31.6,34.9,2.61,82,70,1.1714285714285715
SYR-0799,Syracuse_Real_Data,1,1950,concrete,20,1628.0,sandy,corrosive,49.3,5.48,2.5,64.3,moderate,0,878,17,86.2,1224.0,commercial,297.3,75.5,36.0,0.78,74,75,0.9866666666666667
EPA-02540,EPA_DWINS_Pattern,0,1968,ductile_iron,24,1409.1,clay,corrosive,38.2,4.65,3.7,98.2,light,2,1319,20,62.3,1049.0,mixed,326.6,22.4,65.0,8.6,56,100,0.56
EPA-00816,EPA_DWINS_Pattern,0,1967,copper,10,1667.5,clay,non_corrosive,19.2,5.0,8.3,111.9,light,1,922,17,78.8,2546.0,residential,436.9,20.8,23.3,4.29,57,80,0.7125
EPA-01330,EPA_DWINS_Pattern,0,1948,ductile_iron,10,366.9,loam,moderately_corrosive,26.9,5.48,2.9,69.1,heavy,1,2058,8,53.1,11957.0,commercial,241.8,35.9,15.7,2.92,76,100,0.76
EPA-01648,EPA_DWINS_Pattern,0,1991,cast_iron,24,1019.1,clay,moderately_corrosive,78.3,6.61,7.4,51.2,moderate,1,2490,11,97.1,14780.0,industrial,245.6,44.9,41.0,6.71,33,100,0.33
EPA-00425,EPA_DWINS_Pattern,0,1995,hdpe,20,1350.9,loam,mildly_corrosive,65.4,4.33,8.1,95.3,none,0,978,9,50.4,3154.0,commercial,278.9,42.6,62.8,3.63,29,50,0.58
EPA-01360,EPA_DWINS_Pattern,0,1983,pvc,6,251.6,loam,mildly_corrosive,90.1,8.27,8.9,91.9,moderate,2,2236,25,61.1,2812.0,mixed,173.9,58.4,68.6,4.95,41,75,0.5466666666666666
EPA-02322,EPA_DWINS_Pattern,0,1938,cast_iron,16,342.4,peat,moderately_corrosive,79.8,8.39,3.3,91.3,light,2,1368,5,54.1,2564.0,mixed,143.1,23.9,63.9,3.67,86,100,0.86
SYR-0788,Syracuse_Real_Data,1,1977,steel,16,1286.3,silt,moderately_corrosive,44.2,5.59,6.6,69.9,light,0,1829,10,99.7,753.0,mixed,62.4,46.3,56.3,2.72,47,70,0.6714285714285714
EPA-00993,EPA_DWINS_Pattern,0,1965,clay,6,1744.0,clay,moderately_corrosive,76.8,7.88,6.6,80.9,heavy,1,892,11,52.0,12627.0,residential,421.5,45.2,16.5,9.7,59,60,0.9833333333333333
EPA-00117,EPA_DWINS_Pattern,0,1943,concrete,24,1337.8,sandy,corrosive,59.0,7.0,10.4,35.6,none,1,2008,13,50.1,7700.0,residential,30.5,73.4,47.3,0.09,81,75,1.08
EPA-00321,EPA_DWINS_Pattern,0,1981,cast_iron,8,120.6,silt,corrosive,34.3,8.23,6.7,52.5,light,2,359,10,55.0,5020.0,residential,490.8,66.4,49.1,3.23,43,100,0.43
EPA-02657,EPA_DWINS_Pattern,0,1984,copper,12,1942.3,sandy,moderately_corrosive,92.9,5.38,6.1,113.4,heavy,2,1838,27,94.1,3220.0,commercial,151.7,71.6,39.7,6.65,40,80,0.5
EPA-00553,EPA_DWINS_Pattern,0,1982,pvc,10,322.0,peat,mildly_corrosive,88.9,7.05,3.2,33.8,none,0,1645,16,70.0,2701.0,residential,354.0,71.3,60.5,4.62,42,75,0.56
SYR-0033,Syracuse_Real_Data,1,1979,pvc,16,503.5,loam,moderately_corrosive,19.5,4.36,8.9,57.1,light,0,1504,11,97.2,1740.0,industrial,368.3,17.0,69.0,4.96,45,75,0.6
SYR-0464,Syracuse_Real_Data,1,1979,ductile_iron,24,1951.2,clay,moderately_corrosive,81.4,4.05,8.2,50.4,moderate,7,3295,11,98.0,10027.0,mixed,204.6,45.3,68.3,5.82,45,100,0.45
EPA-01516,EPA_DWINS_Pattern,0,2013,pvc,10,1553.5,clay,mildly_corrosive,16.6,8.37,9.2,41.7,light,0,2882,16,86.3,9927.0,commercial,211.2,71.0,11.2,7.62,11,75,0.14666666666666667
EPA-01296,EPA_DWINS_Pattern,0,1968,copper,10,1876.3,gravel,corrosive,88.9,5.47,8.6,113.2,light,2,2104,12,58.4,1999.0,commercial,302.9,67.8,12.2,1.02,56,80,0.7
SYR-0167,Syracuse_Real_Data,1,1939,galvanized_steel,20,1622.9,peat,moderately_corrosive,63.1,6.23,10.8,41.3,moderate,1,3246,26,98.6,3250.0,residential,44.0,74.1,13.2,0.6,85,50,1.7
EPA-01863,EPA_DWINS_Pattern,0,2009,cast_iron,24,1320.9,gravel,corrosive,24.2,5.16,10.8,74.0,heavy,1,2414,5,71.9,12293.0,mixed,20.8,13.0,28.7,3.34,15,100,0.15
SYR-0415,Syracuse_Real_Data,1,1989,cast_iron,24,604.9,sandy,mildly_corrosive,79.5,8.38,5.1,105.6,heavy,1,2346,11,73.2,8064.0,residential,364.0,39.4,54.7,4.57,35,100,0.35
SYR-0034,Syracuse_Real_Data,1,1977,copper,20,687.4,silt,corrosive,53.8,5.92,3.8,30.3,none,8,1771,14,81.8,2749.0,residential,264.5,18.1,44.5,8.18,47,80,0.5875
SYR-0185,Syracuse_Real_Data,1,1945,cast_iron,16,1897.2,clay,moderately_corrosive,15.1,4.9,11.3,39.8,moderate,2,1006,28,85.8,9810.0,mixed,499.2,18.6,39.2,0.12,79,100,0.79
EPA-02023,EPA_DWINS_Pattern,0,1955,pvc,20,1728.2,sandy,moderately_corrosive,77.9,7.04,9.1,60.8,moderate,1,1113,10,98.1,12646.0,industrial,156.4,49.1,54.1,6.31,69,75,0.92
EPA-02241,EPA_DWINS_Pattern,0,1969,concrete,24,751.0,silt,mildly_corrosive,77.0,5.03,11.7,43.3,light,2,3557,7,98.5,4998.0,residential,192.7,79.0,25.4,3.36,55,75,0.7333333333333333
EPA-02302,EPA_DWINS_Pattern,0,2008,steel,4,777.9,peat,mildly_corrosive,51.0,5.3,7.0,46.4,light,1,2485,13,70.7,11449.0,commercial,321.1,62.9,69.5,4.49,16,70,0.22857142857142856
EPA-00953,EPA_DWINS_Pattern,0,1957,pvc,12,630.5,sandy,non_corrosive,72.1,7.36,11.6,83.2,moderate,1,349,21,57.1,12625.0,commercial,346.9,47.6,24.8,5.69,67,75,0.8933333333333333
EPA-02750,EPA_DWINS_Pattern,0,1907,copper,4,686.0,loam,mildly_corrosive,13.4,8.8,3.2,45.4,light,1,881,29,95.8,5279.0,mixed,199.3,68.5,32.3,2.18,117,80,1.4625
EPA-00622,EPA_DWINS_Pattern,0,1967,pvc,12,1728.3,clay,moderately_corrosive,37.0,7.77,7.9,87.5,heavy,1,3476,3,55.9,13871.0,commercial,69.8,54.2,61.1,2.06,57,75,0.76
EPA-00243,EPA_DWINS_Pattern,0,1958,pvc,10,70.5,sandy,corrosive,67.2,4.62,7.0,112.4,light,0,784,20,77.6,6101.0,residential,43.3,16.0,57.3,7.7,66,75,0.88
EPA-02550,EPA_DWINS_Pattern,0,1954,cast_iron,8,900.3,clay,highly_corrosive,29.6,5.56,2.0,50.6,none,1,2042,17,58.3,1690.0,commercial,10.9,53.9,19.2,8.32,70,100,0.7
SYR-0722,Syracuse_Real_Data,1,1972,cast_iron,24,1888.5,gravel,corrosive,48.3,7.98,3.9,49.1,heavy,0,1309,11,67.9,11383.0,mixed,191.5,15.4,13.7,2.62,52,100,0.52
EPA-00175,EPA_DWINS_Pattern,0,1967,ductile_iron,16,1108.1,clay,corrosive,89.2,5.38,3.5,31.0,heavy,1,2600,6,76.5,2691.0,residential,146.6,36.1,49.2,6.29,57,100,0.57
SYR-0671,Syracuse_Real_Data,1,1986,ductile_iron,12,928.4,silt,moderately_corrosive,80.3,7.7,2.6,31.3,light,0,3147,20,85.2,3173.0,commercial,20.5,35.7,51.7,5.16,38,100,0.38
EPA-02332,EPA_DWINS_Pattern,0,1976,hdpe,24,659.1,sandy,mildly_corrosive,57.4,6.36,11.5,65.7,moderate,0,1563,19,98.8,9867.0,residential,333.1,79.0,63.6,5.96,48,50,0.96
EPA-00747,EPA_DWINS_Pattern,0,1960,ductile_iron,4,194.1,loam,mildly_corrosive,59.0,8.42,11.7,74.0,heavy,1,67,5,95.9,7652.0,residential,183.9,18.9,11.8,8.64,64,100,0.64
