indicator,type,topic,description,response,respondent_group,year,sample_size,result,format,respondent_group0
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Melbourne 3000,2023,344,36.5,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Parkville 3052,2023,77,29.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",25-34 years,2023,420,24.4,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",East Melbourne 3002,2023,69,15.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2023,206,24.2,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",25-34 years,2023,419,21.7,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",55-64 years,2023,115,5.5,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",65+ years,2023,202,1.1,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Female,2023,759,19.3,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Docklands 3008,2023,113,15.5,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",East Melbourne 3002,2023,69,9.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",South Wharf / Southbank 3006,2023,147,14.0,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",18-24 years,2023,267,21.1,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",25-34 years,2023,417,14.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",45-54 years,2023,127,11.1,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Female,2023,755,13.2,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Parkville 3052,2023,77,11.7,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Wharf / Southbank 3006,2023,147,7.9,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,136,15.5,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",45-54 years,2023,128,4.8,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Female,2023,761,7.2,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Carlton 3053,2023,192,11.5,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Parkville 3052,2023,77,4.5,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",18-24 years,2023,274,51.7,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",35-44 years,2023,229,27.4,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",45-54 years,2023,128,15.9,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Female,2023,761,34.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",City of Melbourne,2023,1376,31.7,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2023,207,34.0,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",South Wharf / Southbank 3006,2023,147,22.1,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,138,32.6,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",18-24 years,2023,273,35.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",45-54 years,2023,127,14.2,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",65+ years,2023,202,2.3,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Carlton 3053,2023,192,31.9,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",City of Melbourne,2023,1371,22.0,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Kensington / Flemington 3031,2023,88,14.2,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Melbourne 3000,2023,341,25.1,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Parkville 3052,2023,77,20.1,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,138,28.2,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",18-24 years,2023,273,32.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Kensington / Flemington 3031,2023,89,9.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Melbourne 3000,2023,340,23.8,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2023,206,19.9,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Parkville 3052,2023,77,17.6,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,137,21.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",35-44 years,2023,228,10.7,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Carlton 3053,2023,189,17.9,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",City of Melbourne,2023,1363,13.2,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Docklands 3008,2023,111,9.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",East Melbourne 3002,2023,68,5.8,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Kensington / Flemington 3031,2023,89,5.4,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Melbourne 3000,2023,342,17.3,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2023,204,14.1,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",18-24 years,2023,274,10.9,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Male,2023,573,7.9,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Docklands 3008,2023,113,6.3,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",East Melbourne 3002,2023,69,8.3,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Kensington / Flemington 3031,2023,89,7.9,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Melbourne 3000,2023,344,8.3,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",South Wharf / Southbank 3006,2023,147,3.0,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,138,3.5,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",55-64 years,2022,118,12.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",East Melbourne 3002,2022,91,9.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",South Wharf / Southbank 3006,2022,169,25.4,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,125,19.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",35-44 years,2022,237,14.7,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",City of Melbourne,2022,1493,21.5,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",18-24 years,2022,407,27.4,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",25-34 years,2022,469,14.8,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",35-44 years,2022,237,11.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Carlton 3053,2022,171,21.6,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",City of Melbourne,2022,1490,16.1,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",East Melbourne 3002,2022,90,7.8,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Kensington / Flemington 3031,2022,120,5.1,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Melbourne 3000,2022,361,18.7,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2022,238,19.7,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,124,10.1,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",35-44 years,2022,238,7.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",45-54 years,2022,121,10.2,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Carlton 3053,2022,172,14.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Melbourne 3000,2022,358,14.8,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",35-44 years,2022,238,6.1,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",65+ years,2022,133,1.9,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Male,2022,588,10.0,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",East Melbourne 3002,2022,91,4.4,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",South Wharf / Southbank 3006,2022,169,9.0,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,125,1.1,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",18-24 years,2022,417,46.7,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",45-54 years,2022,122,20.9,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Male,2022,588,30.0,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Carlton 3053,2022,176,42.7,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Kensington / Flemington 3031,2022,121,14.4,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",18-24 years,2022,409,33.8,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",25-34 years,2022,468,21.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",45-54 years,2022,122,16.0,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Female,2022,888,23.8,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Male,2022,584,18.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Carlton 3053,2022,171,27.7,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",East Melbourne 3002,2022,91,4.8,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Wharf / Southbank 3006,2022,166,14.5,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",45-54 years,2022,120,7.2,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Female,2022,889,17.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Male,2022,581,14.9,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Parkville 3052,2022,96,14.3,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",18-24 years,2022,401,22.2,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",25-34 years,2022,467,11.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",55-64 years,2022,118,6.2,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",65+ years,2022,133,0.3,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",City of Melbourne,2022,1484,13.1,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",East Melbourne 3002,2022,91,3.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Kensington / Flemington 3031,2022,121,4.0,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Parkville 3052,2022,94,12.4,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",18-24 years,2022,417,14.6,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",25-34 years,2022,473,11.6,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",45-54 years,2022,122,6.5,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Female,2022,897,10.2,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Carlton 3053,2022,176,15.0,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Parkville 3052,2022,96,12.3,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",25-34 years,2022,473,34.1,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",35-44 years,2022,238,21.0,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",65+ years,2022,133,2.7,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Female,2022,897,33.0,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",City of Melbourne,2022,1508,31.7,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Docklands 3008,2022,125,26.2,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Melbourne 3000,2022,363,35.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2022,242,37.2,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Parkville 3052,2022,96,39.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",55-64 years,2022,118,3.1,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",65+ years,2022,133,2.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Docklands 3008,2022,123,21.2,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Kensington / Flemington 3031,2022,121,11.7,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Melbourne 3000,2022,361,23.3,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2022,241,26.1,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Parkville 3052,2022,96,30.3,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,123,15.4,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",55-64 years,2022,118,6.3,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",65+ years,2022,133,2.7,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Docklands 3008,2022,124,13.5,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",South Wharf / Southbank 3006,2022,166,13.9,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Female,2022,882,13.4,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Male,2022,582,12.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Docklands 3008,2022,124,10.3,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2022,236,19.0,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Wharf / Southbank 3006,2022,164,11.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,124,11.6,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",55-64 years,2022,118,2.6,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",City of Melbourne,2022,1508,10.2,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Docklands 3008,2022,125,6.9,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Kensington / Flemington 3031,2022,121,4.1,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Melbourne 3000,2022,363,13.9,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2022,242,7.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,371,49.5,Per cent,18-24 years
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,122,17.9,Per cent,45-54 years
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,117,1.9,Per cent,65+ years
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,730,33.5,Per cent,Female
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,346,37.0,Per cent,Melbourne 3000
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,229,32.9,Per cent,North Melbourne 3051 / West Melbourne 3003
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,183,26.8,Per cent,South Wharf / Southbank 3006
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,365,41.3,Per cent,18-24 years
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,414,25.5,Per cent,25-34 years
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,193,13.0,Per cent,35-44 years
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,117,1.9,Per cent,65+ years
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,613,26.1,Per cent,Male
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,111,26.5,Per cent,Docklands 3008
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,121,15.2,Per cent,Kensington / Flemington 3031
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,80,17.4,Per cent,55-64 years
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,117,1.6,Per cent,65+ years
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,614,20.7,Per cent,Male
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,113,17.3,Per cent,Docklands 3008
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,87,13.3,Per cent,South Yarra 3141 / Melbourne/St Kilda Road 3004
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,192,13.0,Per cent,35-44 years
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,122,10.7,Per cent,45-54 years
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,80,15.0,Per cent,55-64 years
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,614,17.8,Per cent,Male
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,1359,19.3,Per cent,City of Melbourne
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,342,19.3,Per cent,Melbourne 3000
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,83,17.6,Per cent,Parkville 3052
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,87,11.8,Per cent,South Yarra 3141 / Melbourne/St Kilda Road 3004
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,416,32.5,Per cent,25-34 years
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,194,17.1,Per cent,35-44 years
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,80,32.0,Per cent,55-64 years
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,136,44.3,Per cent,Carlton 3053
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,1372,33.3,Per cent,City of Melbourne
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,112,31.9,Per cent,Docklands 3008
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,73,28.2,Per cent,East Melbourne 3002
