Census year,Block ID,CLUE small area,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Mining,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade,Total jobs in block
2017,378,North Melbourne,,0,0,,,0,0,0,,0,0,0,,,0,0,,0,0,275
2017,401,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2017,404,West Melbourne (Residential),0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,16
2017,406,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2017,409,West Melbourne (Residential),,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,,0,16
2017,410,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,413,West Melbourne (Residential),,0,0,0,,0,0,0,0,,,0,,0,0,0,0,0,,105
2017,414,West Melbourne (Residential),,9,0,0,0,,0,,0,,,0,,46,0,,0,0,0,103
2017,418,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,41
2017,420,West Melbourne (Residential),,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,72
2017,423,West Melbourne (Residential),25,0,0,,0,0,0,0,0,0,0,0,,0,0,0,20,0,0,48
2017,426,West Melbourne (Residential),0,0,0,0,0,0,0,,0,0,0,0,,62,,0,58,,,139
2017,428,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,,,,60
2017,431,West Melbourne (Residential),0,,0,,0,0,,0,,0,,0,,66,0,,7,,,184
2017,436,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,441,West Melbourne (Residential),,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,14
2017,445,West Melbourne (Residential),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
2017,503,Kensington,42,0,0,,152,,0,0,0,0,140,0,74,40,,,8,,176,714
2017,505,Kensington,,0,0,0,,0,0,0,0,,,0,37,,0,0,,0,,90
2017,510,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,511,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2017,512,Kensington,,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,119
2017,514,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,515,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,524,Kensington,14,0,0,,0,0,0,0,,0,0,0,,0,0,,,,,92
2017,525,Kensington,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,13
2017,526,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2017,530,Kensington,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,535,Kensington,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2017,536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,537,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,545,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,551,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,557,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,558,Kensington,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,560,Kensington,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,22
2017,561,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,564,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,566,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,567,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,570,Kensington,,0,,3209,0,0,,0,0,0,0,0,4,,0,0,0,0,0,3272
2017,601,East Melbourne,,0,0,0,0,0,0,0,,0,0,0,10,0,0,0,0,0,0,79
2017,602,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2017,603,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,20
2017,604,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,608,East Melbourne,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
2017,611,East Melbourne,0,0,0,,0,0,,0,,0,0,0,,,0,0,0,0,0,30
2017,612,East Melbourne,19,0,0,0,,0,0,0,,,0,0,0,,0,,0,0,0,70
2017,614,East Melbourne,22,0,0,0,0,0,0,0,861,0,0,0,4,,0,0,,0,0,900
2017,620,East Melbourne,,0,0,0,0,83,0,0,864,,0,0,,,,0,,0,0,1022
2017,644,East Melbourne,49,0,0,,0,,0,,435,0,,0,147,838,1523,,0,0,0,3645
2017,645,East Melbourne,,0,0,,0,0,0,0,885,0,0,0,0,0,0,0,0,0,0,892
2017,655,East Melbourne,,0,0,,0,,0,,,0,0,0,0,145,0,0,0,0,0,441
2017,656,East Melbourne,99,91,0,282,,0,0,25,28,0,0,0,73,208,0,36,0,0,,886
2017,661,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,662,East Melbourne,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
2017,663,Melbourne (Remainder),0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2017,710,Melbourne (Remainder),103,0,0,0,0,,0,0,,0,0,0,,,0,0,12,,0,166
2017,720,Melbourne (Remainder),59,,0,,,51,0,205,526,,54,0,24,645,,,69,0,283,2058
2017,733,Southbank,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
2017,735,Southbank,0,0,0,0,,,,0,0,0,0,0,,,0,,0,0,,54
2017,737,Southbank,0,0,0,0,0,,,0,0,0,0,0,0,237,,0,0,0,0,328
2017,742,Southbank,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2017,743,Southbank,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,745,Southbank,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0,0,192
2017,749,Southbank,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,
2017,759,Melbourne (Remainder),,21,0,,,0,,84,0,,0,0,120,385,0,,0,0,,962
2017,760,Melbourne (Remainder),17,168,0,0,70,,0,1183,338,0,,0,3,300,98,17,,47,,2499
2017,772,Docklands,0,0,0,0,,,0,,,48,0,0,,31,0,,,64,25,472
2017,775,Port Melbourne,0,,0,0,77,0,0,0,,,88,0,,74,,,,54,162,651
2017,777,Port Melbourne,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,46
2017,780,Port Melbourne,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,
2017,783,Docklands,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,82
2017,785,Port Melbourne,,,0,0,,,0,0,0,0,,0,,,,0,,31,,186
2017,786,Port Melbourne,26,,,11,26,,0,0,,35,1214,0,52,189,,,9,0,106,2404
2017,791,Port Melbourne,,,0,0,,0,0,0,0,0,1172,0,,,0,,0,,,1348
2017,793,Port Melbourne,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,15
2017,795,Port Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451,0,451
2017,802,Southbank,318,,,,,0,,667,,0,412,,440,1130,0,71,160,,,5208
2017,804,Southbank,620,447,0,,0,0,0,,185,,,0,18,56,0,51,1253,,,4131
2017,806,Southbank,531,0,0,,,,0,0,0,0,0,0,,0,0,0,91,0,0,773
2017,809,Southbank,,0,0,0,,0,0,0,14,,0,0,0,0,0,0,0,0,0,31
2017,851,Melbourne (Remainder),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,858,South Yarra,,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22
2017,859,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,860,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,862,South Yarra,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,865,South Yarra,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,866,South Yarra,0,,0,6,0,,,0,,0,0,0,,0,0,0,0,0,0,48
2017,869,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,901,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,907,Parkville,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,911,Parkville,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2017,920,Parkville,74,0,0,0,0,0,0,,10268,0,0,0,8,,0,0,32,,0,11149
2017,922,Parkville,,0,0,,0,0,0,0,,0,0,0,36,0,0,0,0,0,0,48
2017,923,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2017,924,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,926,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,927,Parkville,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2017,929,Parkville,,0,0,,0,,0,0,725,0,0,0,0,0,,0,0,0,0,938
2017,931,Parkville,381,0,0,480,0,0,0,0,5158,0,0,0,37,0,0,0,,,0,6086
2017,1001,West Melbourne (Industrial),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,
2017,1004,West Melbourne (Industrial),0,0,0,,0,0,,0,0,0,,0,0,0,0,0,,277,0,321
2017,1007,West Melbourne (Industrial),,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,773,0,775
2017,1009,West Melbourne (Industrial),,0,0,,0,0,0,0,0,,0,0,0,,0,0,0,330,0,338
2017,1012,North Melbourne,0,,0,0,,0,,0,0,0,197,0,,80,0,,0,31,,386
2017,1016,Kensington,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2017,1104,Docklands,64,,0,25,,0,0,9,0,16,,0,17,58,0,15,12,18,8,253
2017,1106,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1108,Docklands,540,903,0,41,110,21,,12142,126,651,26,0,157,1483,,81,920,21,,17526
2017,1112,Docklands,11,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,,0,32
2017,2389,North Melbourne,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,
2017,2503,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2017,2504,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2506,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2510,Kensington,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,94
2017,2518,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2017,2519,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2529,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2531,Kensington,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,146
2017,2533,Kensington,0,0,0,,0,,0,0,,0,,0,37,,,0,0,5,,110
2017,2539,Kensington,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2017,2540,Kensington,,,0,,16,0,0,,,,16,0,0,72,0,,,,,153
2017,2542,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,2543,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5,Melbourne (CBD),,0,0,0,0,0,0,0,0,,0,0,,0,0,0,10,0,0,15
2016,11,Melbourne (CBD),242,68,0,0,,,,32,64,,,0,56,107,0,,,,,718
2016,18,Melbourne (CBD),324,12,0,,,,0,771,,,,0,23,2171,,95,,,0,4572
2016,25,Melbourne (CBD),296,233,0,,0,406,0,147,136,,40,0,286,784,,121,421,,140,3991
2016,36,Melbourne (CBD),304,43,0,,0,0,,1059,29,,3,0,206,302,,,83,0,0,2168
2016,38,Melbourne (CBD),433,57,0,,6,113,53,473,388,33,126,0,145,646,53,27,46,49,,2680
2016,42,Melbourne (CBD),163,111,0,0,,329,511,896,75,261,129,15,133,1568,571,150,19,,38,5007
2016,45,Melbourne (CBD),247,,0,,0,73,0,41,0,,16,0,71,54,0,,1209,0,0,1830
2016,46,Melbourne (CBD),612,43,0,7,0,,,,167,54,0,0,126,183,1097,,219,0,0,2666
2016,47,Melbourne (CBD),321,,0,,,,0,27,,,,0,334,,3745,,84,,0,7191
2016,51,Melbourne (CBD),182,0,0,13,,164,,,,,,0,72,539,,24,16,,0,2312
2016,53,Melbourne (CBD),350,56,0,0,36,60,,3877,30,27,11,0,221,1064,35,51,12,19,,5864
2016,62,Melbourne (CBD),157,0,0,,0,44,,,0,0,0,0,34,1445,,,,0,0,1869
2016,63,Melbourne (CBD),57,,0,0,0,39,0,,0,,0,0,23,218,191,17,25,0,,680
2016,65,Melbourne (CBD),825,7,0,,0,28,0,,27,0,0,0,99,12,0,42,1739,,,2839
2016,72,Melbourne (CBD),209,77,0,0,,,0,,,,,0,21,629,,15,18,0,0,1412
2016,77,Melbourne (CBD),263,,0,,0,,0,275,,1139,0,0,33,103,0,,11,,0,2118
2016,81,Melbourne (CBD),132,0,0,0,0,291,0,0,0,0,0,0,0,,0,0,,0,0,451
2016,85,Melbourne (CBD),1539,208,0,,,0,,2261,125,666,,0,196,190,1232,,1588,,0,8226
2016,87,Melbourne (CBD),209,,0,0,,136,,,0,0,0,0,22,419,0,23,,0,,4532
2016,93,Melbourne (CBD),72,,0,,,68,0,973,0,0,0,0,173,485,346,,,0,,2442
2016,98,Melbourne (CBD),0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2016,103,Melbourne (CBD),262,0,0,0,,,,,,0,0,0,353,37,0,,0,0,0,721
2016,111,West Melbourne (Residential),,,0,,,,0,,0,0,0,0,,,,,,,,290
2016,113,Melbourne (CBD),146,,0,,0,0,,0,,0,15,0,6,0,0,,784,7,,1077
2016,115,Melbourne (CBD),108,,0,,,203,0,,0,,0,0,,,0,60,75,,0,1926
2016,204,Carlton,34,0,0,0,0,79,0,0,,0,0,0,,0,0,0,0,0,0,116
2016,205,Carlton,32,0,0,0,0,91,0,0,820,,0,0,0,0,0,0,,0,0,962
2016,208,Carlton,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,23
2016,211,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
2016,212,Carlton,7,0,0,,0,0,0,0,254,0,0,0,0,0,,0,,0,0,276
2016,217,Carlton,256,,0,,,0,0,0,43,,,0,33,,0,0,216,0,0,732
2016,219,Carlton,9,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,43
2016,221,Carlton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,225,Carlton,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,18
2016,229,Carlton,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2016,246,Carlton,165,0,0,0,0,,0,0,,0,,0,,12,0,,17,0,,223
2016,247,Carlton,121,,0,,46,,0,,55,,0,0,44,271,,0,,0,0,978
2016,248,Carlton,20,,0,0,0,,0,0,,0,0,0,54,13,0,,0,0,0,138
2016,250,Carlton,,,0,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,674
2016,251,Carlton,,0,0,0,0,0,0,227,286,,0,0,72,109,,,0,0,,818
2016,253,Carlton,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,256,Carlton,34,,0,0,0,154,0,0,0,0,,0,,0,,0,0,0,0,296
2016,260,Carlton,60,,0,0,,0,0,0,,0,,0,,,0,0,32,0,0,147
2016,263,Carlton,21,0,0,,,,0,0,,0,0,0,348,100,,,23,0,,937
2016,265,Carlton,117,,0,0,,196,0,0,0,0,,0,134,8,,,,0,,705
2016,267,Carlton,59,,0,0,,0,0,,16,,0,0,125,38,0,0,,,0,277
2016,302,North Melbourne,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
2016,309,North Melbourne,,0,0,,,,,,0,,,0,8,,0,,0,0,0,246
2016,327,North Melbourne,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,19
2016,328,North Melbourne,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2016,331,North Melbourne,0,0,0,0,0,0,0,0,0,,,0,44,,0,0,0,0,,86
2016,332,North Melbourne,0,0,0,,0,0,0,,0,0,19,0,,,0,0,0,,0,57
2016,333,North Melbourne,,0,0,0,0,0,0,25,,,0,0,10,0,0,,8,0,0,206
2016,335,North Melbourne,26,,0,0,,,0,21,15,,,0,,52,,,17,,21,201
2016,340,North Melbourne,,0,0,0,0,0,0,0,,0,,0,10,0,0,0,0,0,,19
2016,342,North Melbourne,0,0,0,,44,,0,0,0,0,0,0,,31,,0,,0,0,90
2016,343,North Melbourne,0,0,0,,,,0,0,,0,,0,,,0,,6,0,,127
2016,345,North Melbourne,120,,0,27,0,,,23,20,,,0,38,,0,,50,,0,380
2016,347,North Melbourne,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,12
2016,355,North Melbourne,,,0,0,,0,0,22,15,,,0,,86,0,0,,0,,177
2016,358,North Melbourne,24,0,0,,0,0,0,0,0,0,,0,16,,0,0,7,20,0,300
