Geography,Year,Category,Industry Space Use,Value
City of Melbourne,2041,Jobs by space use,Office,424483
City of Melbourne,2021,Jobs by space use,Other - Employment,4669
City of Melbourne,2022,Jobs by space use,Other - Employment,4714
City of Melbourne,2024,Jobs by space use,Other - Employment,4865
City of Melbourne,2025,Jobs by space use,Other - Employment,4940
City of Melbourne,2028,Jobs by space use,Other - Employment,5217
City of Melbourne,2030,Jobs by space use,Other - Employment,5413
City of Melbourne,2033,Jobs by space use,Other - Employment,5658
City of Melbourne,2035,Jobs by space use,Other - Employment,5798
City of Melbourne,2038,Jobs by space use,Other - Employment,6007
City of Melbourne,2039,Jobs by space use,Other - Employment,6077
City of Melbourne,2040,Jobs by space use,Other - Employment,6147
City of Melbourne,2041,Jobs by space use,Other - Employment,6215
City of Melbourne,2021,Jobs by space use,Retail,24407
City of Melbourne,2025,Jobs by space use,Retail,27984
City of Melbourne,2026,Jobs by space use,Retail,28953
City of Melbourne,2028,Jobs by space use,Retail,30170
City of Melbourne,2030,Jobs by space use,Retail,31361
City of Melbourne,2031,Jobs by space use,Retail,31953
City of Melbourne,2033,Jobs by space use,Retail,33615
City of Melbourne,2039,Jobs by space use,Retail,37967
City of Melbourne,2041,Jobs by space use,Retail,39243
Carlton,2021,Jobs by industry,Accommodation,743
Carlton,2028,Jobs by industry,Accommodation,1119
Carlton,2030,Jobs by industry,Accommodation,1166
Carlton,2032,Jobs by industry,Accommodation,1203
Carlton,2037,Jobs by industry,Accommodation,1248
Carlton,2038,Jobs by industry,Accommodation,1257
Carlton,2039,Jobs by industry,Accommodation,1265
Carlton,2026,Jobs by industry,Admin and support services,130
Carlton,2028,Jobs by industry,Admin and support services,134
Carlton,2029,Jobs by industry,Admin and support services,136
Carlton,2031,Jobs by industry,Admin and support services,139
Carlton,2033,Jobs by industry,Admin and support services,146
Carlton,2034,Jobs by industry,Admin and support services,148
Carlton,2035,Jobs by industry,Admin and support services,151
Carlton,2040,Jobs by industry,Admin and support services,159
Carlton,2041,Jobs by industry,Admin and support services,161
Carlton,2021,Jobs by industry,Agriculture and mining,0
Carlton,2027,Jobs by industry,Agriculture and mining,0
Carlton,2030,Jobs by industry,Agriculture and mining,0
Carlton,2031,Jobs by industry,Agriculture and mining,0
Carlton,2035,Jobs by industry,Agriculture and mining,0
Carlton,2037,Jobs by industry,Agriculture and mining,0
Carlton,2040,Jobs by industry,Agriculture and mining,0
Carlton,2024,Jobs by industry,Arts and recreation services,745
Carlton,2031,Jobs by industry,Arts and recreation services,787
Carlton,2033,Jobs by industry,Arts and recreation services,814
Carlton,2036,Jobs by industry,Arts and recreation services,856
Carlton,2038,Jobs by industry,Arts and recreation services,873
Carlton,2022,Jobs by industry,Business services,2215
Carlton,2023,Jobs by industry,Business services,2281
Carlton,2024,Jobs by industry,Business services,2339
Carlton,2025,Jobs by industry,Business services,2359
Carlton,2027,Jobs by industry,Business services,2439
Carlton,2031,Jobs by industry,Business services,2592
Carlton,2032,Jobs by industry,Business services,2643
Carlton,2033,Jobs by industry,Business services,2687
Carlton,2034,Jobs by industry,Business services,2725
Carlton,2036,Jobs by industry,Business services,2814
Carlton,2038,Jobs by industry,Business services,2912
Carlton,2024,Jobs by industry,Construction,99
Carlton,2026,Jobs by industry,Construction,104
Carlton,2027,Jobs by industry,Construction,105
Carlton,2029,Jobs by industry,Construction,109
Carlton,2033,Jobs by industry,Construction,108
Carlton,2037,Jobs by industry,Construction,112
Carlton,2040,Jobs by industry,Construction,115
Carlton,2022,Jobs by industry,Education and training,3109
Carlton,2024,Jobs by industry,Education and training,3266
Carlton,2025,Jobs by industry,Education and training,3415
Carlton,2026,Jobs by industry,Education and training,3516
Carlton,2028,Jobs by industry,Education and training,3966
Carlton,2029,Jobs by industry,Education and training,4197
Carlton,2030,Jobs by industry,Education and training,4441
Carlton,2032,Jobs by industry,Education and training,4853
Carlton,2033,Jobs by industry,Education and training,5021
Carlton,2034,Jobs by industry,Education and training,5165
Carlton,2035,Jobs by industry,Education and training,5291
Carlton,2040,Jobs by industry,Education and training,5876
Carlton,2025,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2027,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2028,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2031,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2035,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2038,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2040,Jobs by industry,"Electricity, gas, water and waste services",0
Carlton,2023,Jobs by industry,Finance and insurance,338
Carlton,2028,Jobs by industry,Finance and insurance,366
Carlton,2038,Jobs by industry,Finance and insurance,388
Carlton,2021,Jobs by industry,Food and beverage services,1600
Carlton,2023,Jobs by industry,Food and beverage services,1693
Carlton,2025,Jobs by industry,Food and beverage services,1971
Carlton,2027,Jobs by industry,Food and beverage services,2174
Carlton,2028,Jobs by industry,Food and beverage services,2249
Carlton,2036,Jobs by industry,Food and beverage services,2655
Carlton,2037,Jobs by industry,Food and beverage services,2682
Carlton,2038,Jobs by industry,Food and beverage services,2707
Carlton,2022,Jobs by industry,Health care and social assistance,2619
Carlton,2030,Jobs by industry,Health care and social assistance,5667
Carlton,2033,Jobs by industry,Health care and social assistance,6566
Carlton,2034,Jobs by industry,Health care and social assistance,6813
Carlton,2036,Jobs by industry,Health care and social assistance,7297
Carlton,2039,Jobs by industry,Health care and social assistance,7655
Carlton,2040,Jobs by industry,Health care and social assistance,7836
Carlton,2022,Jobs by industry,Information media and telecommunications,334
Carlton,2026,Jobs by industry,Information media and telecommunications,335
Carlton,2035,Jobs by industry,Information media and telecommunications,357
Carlton,2038,Jobs by industry,Information media and telecommunications,367
Carlton,2039,Jobs by industry,Information media and telecommunications,370
Carlton,2024,Jobs by industry,Manufacturing,162
Carlton,2026,Jobs by industry,Manufacturing,163
Carlton,2029,Jobs by industry,Manufacturing,178
Carlton,2031,Jobs by industry,Manufacturing,205
Carlton,2033,Jobs by industry,Manufacturing,233
Carlton,2034,Jobs by industry,Manufacturing,248
Carlton,2040,Jobs by industry,Manufacturing,263
Carlton,2041,Jobs by industry,Manufacturing,263
Carlton,2021,Jobs by industry,Other services,1298
Carlton,2024,Jobs by industry,Other services,1397
Carlton,2027,Jobs by industry,Other services,1482
Carlton,2032,Jobs by industry,Other services,1583
Carlton,2033,Jobs by industry,Other services,1587
Carlton,2035,Jobs by industry,Other services,1605
Carlton,2036,Jobs by industry,Other services,1616
Carlton,2040,Jobs by industry,Other services,1664
Carlton,2041,Jobs by industry,Other services,1673
Carlton,2021,Jobs by industry,Public administration and safety,1016
Carlton,2025,Jobs by industry,Public administration and safety,1052
Carlton,2026,Jobs by industry,Public administration and safety,1060
Carlton,2030,Jobs by industry,Public administration and safety,1145
Carlton,2031,Jobs by industry,Public administration and safety,1167
Carlton,2037,Jobs by industry,Public administration and safety,1211
Carlton,2039,Jobs by industry,Public administration and safety,1226
Carlton,2040,Jobs by industry,Public administration and safety,1233
Carlton,2041,Jobs by industry,Public administration and safety,1242
Carlton,2025,Jobs by industry,Real estate services,101
Carlton,2026,Jobs by industry,Real estate services,104
Carlton,2027,Jobs by industry,Real estate services,106
Carlton,2031,Jobs by industry,Real estate services,112
Carlton,2034,Jobs by industry,Real estate services,116
Carlton,2037,Jobs by industry,Real estate services,119
Carlton,2041,Jobs by industry,Real estate services,124
Carlton,2024,Jobs by industry,Rental and hiring services,22
Carlton,2028,Jobs by industry,Rental and hiring services,25
Carlton,2029,Jobs by industry,Rental and hiring services,25
Carlton,2031,Jobs by industry,Rental and hiring services,26
Carlton,2032,Jobs by industry,Rental and hiring services,26
Carlton,2034,Jobs by industry,Rental and hiring services,25
Carlton,2026,Jobs by industry,Retail trade,819
Carlton,2027,Jobs by industry,Retail trade,836
Carlton,2033,Jobs by industry,Retail trade,971
Carlton,2034,Jobs by industry,Retail trade,1004
Carlton,2022,Jobs by industry,"Transport, postal and storage",19
Carlton,2023,Jobs by industry,"Transport, postal and storage",20
Carlton,2024,Jobs by industry,"Transport, postal and storage",20
Carlton,2027,Jobs by industry,"Transport, postal and storage",21
Carlton,2033,Jobs by industry,"Transport, postal and storage",22
Carlton,2035,Jobs by industry,"Transport, postal and storage",22
Carlton,2039,Jobs by industry,"Transport, postal and storage",22
Carlton,2040,Jobs by industry,"Transport, postal and storage",23
Carlton,2023,Jobs by industry,Wholesale trade,93
Carlton,2024,Jobs by industry,Wholesale trade,93
Carlton,2025,Jobs by industry,Wholesale trade,92
Carlton,2028,Jobs by industry,Wholesale trade,93
Carlton,2034,Jobs by industry,Wholesale trade,100
Carlton,2036,Jobs by industry,Wholesale trade,97
Carlton,2037,Jobs by industry,Wholesale trade,97
Carlton,2039,Jobs by industry,Wholesale trade,97
Docklands,2022,Jobs by industry,Accommodation,449
Docklands,2025,Jobs by industry,Accommodation,461
Docklands,2026,Jobs by industry,Accommodation,476
Docklands,2030,Jobs by industry,Accommodation,524
Docklands,2031,Jobs by industry,Accommodation,538
Docklands,2033,Jobs by industry,Accommodation,546
Docklands,2037,Jobs by industry,Accommodation,562
Docklands,2021,Jobs by industry,Admin and support services,1046
Docklands,2022,Jobs by industry,Admin and support services,1069
Docklands,2023,Jobs by industry,Admin and support services,1102
Docklands,2024,Jobs by industry,Admin and support services,1132
Docklands,2027,Jobs by industry,Admin and support services,1214
Docklands,2033,Jobs by industry,Admin and support services,1281
Docklands,2036,Jobs by industry,Admin and support services,1301
Docklands,2041,Jobs by industry,Admin and support services,1350
Docklands,2021,Jobs by industry,Agriculture and mining,1053
Docklands,2022,Jobs by industry,Agriculture and mining,1035
Docklands,2026,Jobs by industry,Agriculture and mining,959
Docklands,2029,Jobs by industry,Agriculture and mining,1033
Docklands,2030,Jobs by industry,Agriculture and mining,1057
Docklands,2034,Jobs by industry,Agriculture and mining,1128
Docklands,2037,Jobs by industry,Agriculture and mining,1172
Docklands,2039,Jobs by industry,Agriculture and mining,1199
Docklands,2025,Jobs by industry,Arts and recreation services,2010
Docklands,2027,Jobs by industry,Arts and recreation services,2074
Docklands,2029,Jobs by industry,Arts and recreation services,2168
Docklands,2030,Jobs by industry,Arts and recreation services,2215
Docklands,2032,Jobs by industry,Arts and recreation services,2296
Docklands,2033,Jobs by industry,Arts and recreation services,2328
Docklands,2035,Jobs by industry,Arts and recreation services,2399
Docklands,2037,Jobs by industry,Arts and recreation services,2490
Docklands,2039,Jobs by industry,Arts and recreation services,2577
Docklands,2041,Jobs by industry,Arts and recreation services,2665
Docklands,2023,Jobs by industry,Business services,12568
Docklands,2024,Jobs by industry,Business services,12713
Docklands,2027,Jobs by industry,Business services,13551
Docklands,2030,Jobs by industry,Business services,14422
Docklands,2036,Jobs by industry,Business services,15665
Docklands,2037,Jobs by industry,Business services,15962
Docklands,2038,Jobs by industry,Business services,16259
Docklands,2040,Jobs by industry,Business services,16855
Docklands,2025,Jobs by industry,Construction,408
Docklands,2028,Jobs by industry,Construction,431
Docklands,2029,Jobs by industry,Construction,438
Docklands,2036,Jobs by industry,Construction,440
Docklands,2021,Jobs by industry,Education and training,886
Docklands,2024,Jobs by industry,Education and training,1361
Docklands,2025,Jobs by industry,Education and training,1416
Docklands,2033,Jobs by industry,Education and training,1974
Docklands,2036,Jobs by industry,Education and training,2115
Docklands,2041,Jobs by industry,Education and training,2314
Docklands,2024,Jobs by industry,"Electricity, gas, water and waste services",3469
Docklands,2029,Jobs by industry,"Electricity, gas, water and waste services",3430
Docklands,2030,Jobs by industry,"Electricity, gas, water and waste services",3464
Docklands,2036,Jobs by industry,"Electricity, gas, water and waste services",3604
Docklands,2021,Jobs by industry,Finance and insurance,24783
Docklands,2024,Jobs by industry,Finance and insurance,26125
Docklands,2026,Jobs by industry,Finance and insurance,27435
Docklands,2028,Jobs by industry,Finance and insurance,27714
Docklands,2031,Jobs by industry,Finance and insurance,27989
Docklands,2036,Jobs by industry,Finance and insurance,29010
Docklands,2037,Jobs by industry,Finance and insurance,29215
Docklands,2038,Jobs by industry,Finance and insurance,29418
Docklands,2040,Jobs by industry,Finance and insurance,29817
Docklands,2027,Jobs by industry,Food and beverage services,4673
Docklands,2036,Jobs by industry,Food and beverage services,5232
Docklands,2037,Jobs by industry,Food and beverage services,5267
Docklands,2039,Jobs by industry,Food and beverage services,5339
Docklands,2022,Jobs by industry,Health care and social assistance,596
Docklands,2023,Jobs by industry,Health care and social assistance,637
Docklands,2027,Jobs by industry,Health care and social assistance,785
Docklands,2029,Jobs by industry,Health care and social assistance,854
Docklands,2033,Jobs by industry,Health care and social assistance,952
Docklands,2021,Jobs by industry,Information media and telecommunications,6339
Docklands,2025,Jobs by industry,Information media and telecommunications,6221
Docklands,2029,Jobs by industry,Information media and telecommunications,6410
Docklands,2032,Jobs by industry,Information media and telecommunications,6537
Docklands,2022,Jobs by industry,Manufacturing,257
Docklands,2025,Jobs by industry,Manufacturing,248
Docklands,2029,Jobs by industry,Manufacturing,241
Docklands,2030,Jobs by industry,Manufacturing,240
Docklands,2032,Jobs by industry,Manufacturing,237
Docklands,2034,Jobs by industry,Manufacturing,238
Docklands,2037,Jobs by industry,Manufacturing,239
Docklands,2038,Jobs by industry,Manufacturing,240
Docklands,2041,Jobs by industry,Manufacturing,242
Docklands,2027,Jobs by industry,Other services,668
Docklands,2033,Jobs by industry,Other services,721
Docklands,2036,Jobs by industry,Other services,735
Docklands,2039,Jobs by industry,Other services,752
Docklands,2040,Jobs by industry,Other services,758
Docklands,2021,Jobs by industry,Public administration and safety,8539
Docklands,2023,Jobs by industry,Public administration and safety,8547
Docklands,2026,Jobs by industry,Public administration and safety,8739
Docklands,2034,Jobs by industry,Public administration and safety,9818
Docklands,2035,Jobs by industry,Public administration and safety,9874
Docklands,2022,Jobs by industry,Real estate services,1192
Docklands,2029,Jobs by industry,Real estate services,1412
Docklands,2031,Jobs by industry,Real estate services,1451
Docklands,2039,Jobs by industry,Real estate services,1556
Docklands,2021,Jobs by industry,Rental and hiring services,24
Docklands,2028,Jobs by industry,Rental and hiring services,32
Docklands,2029,Jobs by industry,Rental and hiring services,33
Docklands,2038,Jobs by industry,Rental and hiring services,29
Docklands,2039,Jobs by industry,Rental and hiring services,29
Docklands,2023,Jobs by industry,Retail trade,2566
Docklands,2025,Jobs by industry,Retail trade,2804
Docklands,2028,Jobs by industry,Retail trade,2984
Docklands,2029,Jobs by industry,Retail trade,3033
Docklands,2034,Jobs by industry,Retail trade,3419
Docklands,2039,Jobs by industry,Retail trade,3791
Docklands,2023,Jobs by industry,"Transport, postal and storage",2674
Docklands,2025,Jobs by industry,"Transport, postal and storage",2808
Docklands,2030,Jobs by industry,"Transport, postal and storage",2970
Docklands,2031,Jobs by industry,"Transport, postal and storage",3021
Docklands,2032,Jobs by industry,"Transport, postal and storage",3040
Docklands,2035,Jobs by industry,"Transport, postal and storage",3091
Docklands,2037,Jobs by industry,"Transport, postal and storage",3095
Docklands,2039,Jobs by industry,"Transport, postal and storage",3124
Docklands,2040,Jobs by industry,"Transport, postal and storage",3140
Docklands,2041,Jobs by industry,"Transport, postal and storage",3133
Docklands,2025,Jobs by industry,Wholesale trade,778
Docklands,2026,Jobs by industry,Wholesale trade,771
Docklands,2028,Jobs by industry,Wholesale trade,775
Docklands,2031,Jobs by industry,Wholesale trade,815
Docklands,2032,Jobs by industry,Wholesale trade,825
Docklands,2033,Jobs by industry,Wholesale trade,832
Docklands,2036,Jobs by industry,Wholesale trade,813
Docklands,2037,Jobs by industry,Wholesale trade,812
Docklands,2039,Jobs by industry,Wholesale trade,808
East Melbourne,2021,Jobs by industry,Accommodation,686
East Melbourne,2022,Jobs by industry,Accommodation,685
East Melbourne,2023,Jobs by industry,Accommodation,670
East Melbourne,2024,Jobs by industry,Accommodation,673
East Melbourne,2026,Jobs by industry,Accommodation,737
East Melbourne,2027,Jobs by industry,Accommodation,757
East Melbourne,2031,Jobs by industry,Accommodation,841
East Melbourne,2034,Jobs by industry,Accommodation,862
East Melbourne,2036,Jobs by industry,Accommodation,877
East Melbourne,2037,Jobs by industry,Accommodation,884
East Melbourne,2038,Jobs by industry,Accommodation,891
East Melbourne,2040,Jobs by industry,Accommodation,908
East Melbourne,2022,Jobs by industry,Admin and support services,94
East Melbourne,2023,Jobs by industry,Admin and support services,95
East Melbourne,2026,Jobs by industry,Admin and support services,99
East Melbourne,2028,Jobs by industry,Admin and support services,97
East Melbourne,2031,Jobs by industry,Admin and support services,91
East Melbourne,2033,Jobs by industry,Admin and support services,87
East Melbourne,2035,Jobs by industry,Admin and support services,83
East Melbourne,2036,Jobs by industry,Admin and support services,82
East Melbourne,2039,Jobs by industry,Admin and support services,78
East Melbourne,2025,Jobs by industry,Agriculture and mining,1
East Melbourne,2030,Jobs by industry,Agriculture and mining,1
East Melbourne,2034,Jobs by industry,Agriculture and mining,1
East Melbourne,2035,Jobs by industry,Agriculture and mining,1
East Melbourne,2022,Jobs by industry,Arts and recreation services,2169
East Melbourne,2024,Jobs by industry,Arts and recreation services,2245
East Melbourne,2035,Jobs by industry,Arts and recreation services,2828
East Melbourne,2040,Jobs by industry,Arts and recreation services,2954
East Melbourne,2023,Jobs by industry,Business services,1026
East Melbourne,2025,Jobs by industry,Business services,1051
East Melbourne,2026,Jobs by industry,Business services,1077
East Melbourne,2027,Jobs by industry,Business services,1101
East Melbourne,2028,Jobs by industry,Business services,1126
East Melbourne,2033,Jobs by industry,Business services,1231
East Melbourne,2035,Jobs by industry,Business services,1254
East Melbourne,2038,Jobs by industry,Business services,1328
East Melbourne,2021,Jobs by industry,Construction,52
East Melbourne,2026,Jobs by industry,Construction,58
