Topic,Description,Gender,Age,Location
Vaping,Reported as vape daily or vape occassionally,Female,18-24 years,Carlton 3053
Vaping,Reported as vape daily or vape occassionally,Male,65+ years,City of Melbourne
Vaping,Reported as vape daily or vape occassionally,Female,35-44 years,East Melbourne 3002
Vaping,Reported as vape daily or vape occassionally,Male,55-64 years,Kensington / Flemington 3031
Vaping,Reported as vape daily or vape occassionally,Female,18-24 years,Parkville 3052
Vaping,Reported as vape daily or vape occassionally,Male,55-64 years,South Wharf / Southbank 3006
Vaping,Reported as vape daily or vape occassionally,Male,35-44 years,Kensington / Flemington 3031
Vaping,Reported as vape daily or vape occassionally,Female,25-34 years,Carlton 3053
Vaping,Reported as vape daily or vape occassionally,Female,45-54 years,East Melbourne 3002
Smoking,Reported as smoke daily or smoke occassionally,Male,65+ years,South Yarra 3141 / Melbourne/St Kilda Road 3004
Smoking,Reported as smoke daily or smoke occassionally,Female,35-44 years,East Melbourne 3002
Smoking,Reported as smoke daily or smoke occassionally,Male,35-44 years,City of Melbourne
Smoking,Reported as smoke daily or smoke occassionally,Male,55-64 years,South Yarra 3141 / Melbourne/St Kilda Road 3004
Smoking,Reported as smoke daily or smoke occassionally,Male,18-24 years,Melbourne 3000
Smoking,Reported as smoke daily or smoke occassionally,Male,25-34 years,City of Melbourne
Smoking,Reported as smoke daily or smoke occassionally,Male,65+ years,Docklands 3008
Smoking,Reported as smoke daily or smoke occassionally,Female,65+ years,Parkville 3052
Smoking,Reported as smoke daily or smoke occassionally,Female,45-54 years,North Melbourne 3051 / West Melbourne 3003
Smoking,Reported as smoke daily or smoke occassionally,Female,18-24 years,Docklands 3008
Smoking,Reported as smoke daily or smoke occassionally,Female,25-34 years,Parkville 3052
Smoking,Reported as smoke daily or smoke occassionally,Male,35-44 years,South Yarra 3141 / Melbourne/St Kilda Road 3005
Smoking,Reported as smoke daily or smoke occassionally,Female,35-44 years,Melbourne 3001
Smoking,Reported as smoke daily or smoke occassionally,Male,55-64 years,South Wharf / Southbank 3007
Smoking,Reported as smoke daily or smoke occassionally,Male,18-24 years,East Melbourne 3002
Smoking,Reported as smoke daily or smoke occassionally,Male,25-34 years,East Melbourne 3002
Smoking,Reported as smoke daily or smoke occassionally,Male,65+ years,Melbourne 3000
Smoking,Reported as smoke daily or smoke occassionally,Male,65+ years,Melbourne 3000
Smoking,Reported as smoke daily or smoke occassionally,Female,45-54 years,Parkville 3053
Smoking,Reported as smoke daily or smoke occassionally,Female,18-24 years,South Yarra 3141 / Melbourne/St Kilda Road 3005
Smoking,Reported as smoke daily or smoke occassionally,Female,25-34 years,Kensington / Flemington 3032
