ActivityType,Response,Year,RespondentGroup,SampleSize,Percentage,AgeRange,Gender,Suburb
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2023,Female,700,45.5,,Female,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2023,Male,540,51.7,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2023,Female,761,61.9,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,Female,761,54.2,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2023,Male,573,56.8,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2022,Female,897,61.7,,Female,
participate in organised physical activity,"yes, in the last 3 months",2022,Female,897,16.4,,Female,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,Male,588,14.6,,Male,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,Female,842,44.7,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,Male,588,62.9,,Male,
participate in organised physical activity,"yes, in the last 3 months",2022,Male,588,26.0,,Male,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,Female,897,8.0,,Female,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2022,Male,588,10.3,,Male,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2022,Female,897,6.6,,Female,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2022,Male,558,50.7,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2022,Male,588,69.9,,Male,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2022,Female,897,50.5,,Female,
