ServiceName,ServiceType,Address,Suburb,State,Postcode,Phone,full_address,Latitude,Longitude
Team Holiday - Oakleigh,Centre-Based Care,"Oakleigh Primary School, 20 Warrigal Rd",OAKLEIGH,VIC,3166,1300035000,"Oakleigh Primary School, 20 Warrigal Rd, OAKLEIGH, VIC, 3166, Australia",-37.8947809,145.0887812
Child's Play Tarneit,Centre-Based Care,642 Tarneit Rd,TARNEIT,VIC,3029,397482004,"642 Tarneit Rd, TARNEIT, VIC, 3029, Australia",-37.8516295,144.6681112
TeamKids - Port Melbourne Primary,Centre-Based Care,415 Graham Street,PORT MELBOURNE,VIC,3207,1300035000,"415 Graham Street, PORT MELBOURNE, VIC, 3207, Australia",-37.8355583,144.9329632
TeamKids - Lloyd Street Primary,Centre-Based Care,Lloyd Street,MALVERN EAST,VIC,3145,1300035000,"Lloyd Street, MALVERN EAST, VIC, 3145, Australia",-37.8728466,145.0558766
Camp Australia - St Kevin's Hampton Park OSHC,Centre-Based Care,120 Hallam Road,HAMPTON PARK,VIC,3976,429137414,"120 Hallam Road, HAMPTON PARK, VIC, 3976, Australia",-38.0394549,145.2677696
Maramba PS TheirCare,Centre-Based Care,Maramba Dr,NARRE WARREN,VIC,3805,1300072410,"Maramba Dr, NARRE WARREN, VIC, 3805, Australia",-38.0042881,145.304142
Greater Dandenong Family Day Care Scheme,Family Day Care,39 Clow Street,DANDENONG,VIC,3175,385711805,"39 Clow Street, DANDENONG, VIC, 3175, Australia",-37.9846905,145.2167528
TeamKids - Reservoir Views Primary,Centre-Based Care,110 St Vigeons Road,RESERVOIR,VIC,3073,1300035000,"110 St Vigeons Road, RESERVOIR, VIC, 3073, Australia",-37.7056221,145.0216783
TeamKids - Cheltenham East Primary,Centre-Based Care,Silver Street,CHELTENHAM,VIC,3192,1300035000,"Silver Street, CHELTENHAM, VIC, 3192, Australia",-37.9645219,145.065362
Greensborough OSHClub,Centre-Based Care,130 Grimshaw Street,GREENSBOROUGH,VIC,3088,447868204,"130 Grimshaw Street, GREENSBOROUGH, VIC, 3088, Australia",-37.7032341,145.0999797
Kelly Club OSHC St Joseph's School,Centre-Based Care,571 Glenferrie Road,HAWTHORN,VIC,3122,409192923,"571 Glenferrie Road, HAWTHORN, VIC, 3122, Australia",-37.8260347,145.0334642
"St Thomas Apostle OSHC, Greensborough",Centre-Based Care,251 Diamond Creek Road,GREENSBOROUGH,VIC,3088,493214132,"251 Diamond Creek Road, GREENSBOROUGH, VIC, 3088, Australia",-37.6820187,145.1186254
Southmoor Primary School OSHC,Centre-Based Care,2 Rica Street,MOORABBIN,VIC,3189,395814847,"2 Rica Street, MOORABBIN, VIC, 3189, Australia",-37.9416008,145.056684
Richmond CommunityOSH,Centre-Based Care,Brighton Street,RICHMOND,VIC,3121,477882819,"Brighton Street, RICHMOND, VIC, 3121, Australia",-37.8286917,144.9990024
Glenroy West Primary School- VillageOSHC,Centre-Based Care,York Street,GLENROY,VIC,3046,405275674,"York Street, GLENROY, VIC, 3046, Australia",-37.7049908,144.9098374
TeamKids - Bell Primary,Centre-Based Care,Oakover Road,PRESTON,VIC,3072,1300035000,"Oakover Road, PRESTON, VIC, 3072, Australia",-37.7486989,144.9890204
Camp Australia - Craigieburn South Primary OSHC,Centre-Based Care,102 Hothlyn Drive,CRAIGIEBURN,VIC,3064,452247774,"102 Hothlyn Drive, CRAIGIEBURN, VIC, 3064, Australia",-37.6088371,144.9357824
Child's Play Tarneit West,Centre-Based Care,4 Hermosa Dr,TARNEIT,VIC,3029,392420145,"4 Hermosa Dr, TARNEIT, VIC, 3029, Australia",-37.8437895,144.6395492
Children's Corner Learning Center,Centre-Based Care,64 Wonga Rd,RINGWOOD,VIC,3134,370379999,"64 Wonga Rd, RINGWOOD, VIC, 3134, Australia",-37.7936803,145.2433477
Aspire Early Education & Kindergarten Werribee,Centre-Based Care,1 Exploration Avenue,WERRIBEE,VIC,3030,1800978429,"1 Exploration Avenue, WERRIBEE, VIC, 3030, Australia",-37.9178148,144.6394289
Fifth Avenue Day Care Centre,Centre-Based Care,5 Fifth Avenue,DANDENONG,VIC,3175,397923073,"5 Fifth Avenue, DANDENONG, VIC, 3175, Australia",-37.9821939,145.2050593
Apollo Parkways Preschool,Centre-Based Care,31 Plenty River Drive,GREENSBOROUGH,VIC,3088,394358752,"31 Plenty River Drive, GREENSBOROUGH, VIC, 3088, Australia",-37.695424,145.1050906
Grace Park Preschool,Centre-Based Care,179 Nepean Street,GREENSBOROUGH,VIC,3088,394356179,"179 Nepean Street, GREENSBOROUGH, VIC, 3088, Australia",-37.7131638,145.102972
Greenhills Preschool,Centre-Based Care,37 St Helena Road,GREENSBOROUGH,VIC,3088,394343379,"37 St Helena Road, GREENSBOROUGH, VIC, 3088, Australia",-37.6995262,145.1128348
Wahroonga Preschool,Centre-Based Care,66 Wahroonga Crescent,GREENSBOROUGH,VIC,3088,394346089,"66 Wahroonga Crescent, GREENSBOROUGH, VIC, 3088, Australia",-37.6920349,145.1293145
Diamond Hills Preschool,Centre-Based Care,Diamond Hills Drive,GREENSBOROUGH,VIC,3088,394358694,"Diamond Hills Drive, GREENSBOROUGH, VIC, 3088, Australia",-37.6873491,145.1140384
Joyce Avenue Children's Centre,Centre-Based Care,1 Joyce Avenue,GREENSBOROUGH,VIC,3088,394346098,"1 Joyce Avenue, GREENSBOROUGH, VIC, 3088, Australia",-37.70151,145.1075262
Bulleen Preschool,Centre-Based Care,5 Derreck Avenue,BULLEEN,VIC,3105,343290426,"5 Derreck Avenue, BULLEEN, VIC, 3105, Australia",-37.7652813,145.090618
Vista Valley Kindergarten,Centre-Based Care,3 Vista Street,BULLEEN,VIC,3105,398504043,"3 Vista Street, BULLEEN, VIC, 3105, Australia",-37.77781,145.1030984
Doncaster Park Kindergarten,Centre-Based Care,18 Studley Street,DONCASTER,VIC,3108,398576774,"18 Studley Street, DONCASTER, VIC, 3108, Australia",-37.7823188,145.1134799
Donvale Preschool,Centre-Based Care,7 Florence Avenue,DONVALE,VIC,3111,398746848,"7 Florence Avenue, DONVALE, VIC, 3111, Australia",-37.8001957,145.1811566
Templestowe Preschool,Centre-Based Care,3 Swilk Street,TEMPLESTOWE,VIC,3106,343290451,"3 Swilk Street, TEMPLESTOWE, VIC, 3106, Australia",-37.7565276,145.1241041
Yarra Valley Preschool,Centre-Based Care,34 Hakea Street,TEMPLESTOWE,VIC,3106,398461836,"34 Hakea Street, TEMPLESTOWE, VIC, 3106, Australia",-37.7559722,145.1325057
Alpha Omega Early Education,Centre-Based Care,1 Hillcroft Drive,TEMPLESTOWE,VIC,3106,398463592,"1 Hillcroft Drive, TEMPLESTOWE, VIC, 3106, Australia",-37.7705103,145.1406251
Yarraleen Preschool,Centre-Based Care,92 Rocklea Road,BULLEEN,VIC,3105,398508486,"92 Rocklea Road, BULLEEN, VIC, 3105, Australia",-37.7707698,145.0882651
Doncaster Early Learning Child Care,Centre-Based Care,20 Turana Street,DONCASTER,VIC,3108,398402857,"20 Turana Street, DONCASTER, VIC, 3108, Australia",-37.7818385,145.1322446
Moresby Avenue Child Care Centre,Centre-Based Care,6 Moresby Avenue,BULLEEN,VIC,3105,398507755,"6 Moresby Avenue, BULLEEN, VIC, 3105, Australia",-37.7754382,145.0939087
Carey Early Learning Centre Donvale,Centre-Based Care,9 Era Court,DONVALE,VIC,3111,388778550,"9 Era Court, DONVALE, VIC, 3111, Australia",-37.772439,145.1856673
Montessori Early Education Centre,Centre-Based Care,36A Mitcham Road,DONVALE,VIC,3111,398410800,"36A Mitcham Road, DONVALE, VIC, 3111, Australia",-37.7956917,145.1777633
Wonderworld Childcare & Kinder,Centre-Based Care,104-106 Templestowe Rd,BULLEEN,VIC,3105,398501777,"104-106 Templestowe Rd, BULLEEN, VIC, 3105, Australia",-37.7559813,145.092562
Beaver Street Kindergarten,Centre-Based Care,13 Beaver Street,ESSENDON,VIC,3040,392431565,"13 Beaver Street, ESSENDON, VIC, 3040, Australia",-37.7570518,144.9019911
Penleigh & Essendon Grammar School - Raleigh St Kindergarten,Centre-Based Care,49-53 Raleigh St,ESSENDON,VIC,3040,390162000,"49-53 Raleigh St, ESSENDON, VIC, 3040, Australia",-37.7537732,144.9251
Montgomery Park Kindergarten,Centre-Based Care,Hilda Street,ESSENDON,VIC,3040,392431580,"Hilda Street, ESSENDON, VIC, 3040, Australia",-37.7550009,144.9318814
Montgomery Park Children's Centre,Centre-Based Care,47 Lawson Street,ESSENDON,VIC,3040,392431541,"47 Lawson Street, ESSENDON, VIC, 3040, Australia",-37.75589,144.9324555
Parkmore PS TheirCare,Centre-Based Care,"Parkmore Primary School, 38-54 Jolimont Rd",FOREST HILL,VIC,3131,1300072410,"Parkmore Primary School, 38-54 Jolimont Rd, FOREST HILL, VIC, 3131, Australia",-37.8441951,145.1764729
INSPIRE EARLY LEARNING JOURNEY PRESTON,Centre-Based Care,237-239 Murray Rd,PRESTON,VIC,3072,394781231,"237-239 Murray Rd, PRESTON, VIC, 3072, Australia",-37.7378647,145.0029824
Big Childcare - Tarneit Rise PS OSHC,Centre-Based Care,"Tarneit Rise Primary School, 51-71 Hummingbird Bvd",TARNEIT,VIC,3029,1300273162,"Tarneit Rise Primary School, 51-71 Hummingbird Bvd, TARNEIT, VIC, 3029, Australia",-37.8371258,144.6649374
South Melbourne OSHClub,Centre-Based Care,129 Ferrars St,SOUTHBANK,VIC,3006,448125999,"129 Ferrars St, SOUTHBANK, VIC, 3006, Australia",-37.8294756,144.9538306
Lilydale Lakeside Children's Centre,Centre-Based Care,40-50 Melba Ave,LILYDALE,VIC,3140,388922561,"40-50 Melba Ave, LILYDALE, VIC, 3140, Australia",-37.7612201,145.3445217
TeamKids - Methodist Ladies College,Centre-Based Care,"Methodist Ladies College, 207 Barkers Rd",KEW,VIC,3101,1300035000,"Methodist Ladies College, 207 Barkers Rd, KEW, VIC, 3101, Australia",-37.8137174,145.038613
Guardian Childcare & Education Richmond,Centre-Based Care,67-81 Hoddle St,RICHMOND,VIC,3121,386523270,"67-81 Hoddle St, RICHMOND, VIC, 3121, Australia",-37.8123102,144.9912718
Little Assets Forest Hill Early Learning Centre,Centre-Based Care,347 Burwood Hwy,FOREST HILL,VIC,3131,386092340,"347 Burwood Hwy, FOREST HILL, VIC, 3131, Australia",-37.8535439,145.1664117
Little Assets Kew Early Learning Centre,Centre-Based Care,81-89 Cotham Rd,KEW,VIC,3101,386092341,"81-89 Cotham Rd, KEW, VIC, 3101, Australia",-37.8075255,145.0379436
Papilio Early Learning Point Cook,Centre-Based Care,60 Florey Ave,POINT COOK,VIC,3030,383481735,"60 Florey Ave, POINT COOK, VIC, 3030, Australia",-37.8961311,144.7204876
Nino Early Learning Adventures - Preston,Centre-Based Care,365 Bell St,PRESTON,VIC,3072,03 8582 7000,"365 Bell St, PRESTON, VIC, 3072, Australia",-37.7449844,145.0000195
Kent Park Uniting Outside School Hours Care,Centre-Based Care,"Kent Park Primary School, 17 Greenaway Dr",FERNTREE GULLY,VIC,3156,436675696,"Kent Park Primary School, 17 Greenaway Dr, FERNTREE GULLY, VIC, 3156, Australia",-37.8831814,145.2632898
Tarneit YMCA Early Learning Centre,Centre-Based Care,53 Mulholland Dr,TARNEIT,VIC,3029,383202610,"53 Mulholland Dr, TARNEIT, VIC, 3029, Australia",-37.8335164,144.6503315
VERMONT CHILDREN'S CENTRE,Centre-Based Care,21 Stevens Rd,VERMONT,VIC,3133,398789800,"21 Stevens Rd, VERMONT, VIC, 3133, Australia",-37.8362598,145.1851453
Leapkids Fitzroy Primary,Centre-Based Care,"Fitzroy Primary School, 319 George St",FITZROY,VIC,3065,1300366235,"Fitzroy Primary School, 319 George St, FITZROY, VIC, 3065, Australia",-37.7994412,144.9811554
Ivy Kids Early Learning,Centre-Based Care,438-440 Springvale Rd,GLEN WAVERLEY,VIC,3150,389054293,"438-440 Springvale Rd, GLEN WAVERLEY, VIC, 3150, Australia",-37.8937594,145.1636378
KinderPlay Early Learning Centre,Centre-Based Care,303 Springvale Rd,FOREST HILL,VIC,3131,398940901,"303 Springvale Rd, FOREST HILL, VIC, 3131, Australia",-37.8313098,145.1737783
Wallaby Childcare Sanctuary Lakes,Centre-Based Care,80 Sanctuary Lakes North Bvd,POINT COOK,VIC,3030,370366209,"80 Sanctuary Lakes North Bvd, POINT COOK, VIC, 3030, Australia",-37.890465,144.7629416
Sparkways Early Learning Carrum Downs,Centre-Based Care,45 YAZAKI WAY,CARRUM DOWNS,VIC,3201,397828720,"45 YAZAKI WAY, CARRUM DOWNS, VIC, 3201, Australia",-38.0944837,145.1742011
Little Charlie's Early Learning Centre,Centre-Based Care,21 Selman Ave,FERNTREE GULLY,VIC,3156,397523719,"21 Selman Ave, FERNTREE GULLY, VIC, 3156, Australia",-37.885641,145.2945984
Xavier College - Burke Hall Early Years Centre,Centre-Based Care,2 Nolan Avenue,KEW,VIC,3101,398554188,"2 Nolan Avenue, KEW, VIC, 3101, Australia",-37.8058947,145.0134005
Gold Street Children's Centre - Keele Street Campus,Centre-Based Care,177 Keele Street,COLLINGWOOD,VIC,3066,384150970,"177 Keele Street, COLLINGWOOD, VIC, 3066, Australia",-37.7978919,144.9928151
Barbary Crescent Preschool,Centre-Based Care,Barbary Cres,TAYLORS LAKES,VIC,3038,394494355,"Barbary Cres, TAYLORS LAKES, VIC, 3038, Australia",-37.7101029,144.792124
Community Kids Hampton Park Early Education Centre,Centre-Based Care,47-51 Branton Dr,HAMPTON PARK,VIC,3976,397980999,"47-51 Branton Dr, HAMPTON PARK, VIC, 3976, Australia",-38.0411157,145.2529658
Caulfield Grammar Pre-Prep,Centre-Based Care,74-82 Jells Rd,WHEELERS HILL,VIC,3150,385625300,"74-82 Jells Rd, WHEELERS HILL, VIC, 3150, Australia",-37.9015507,145.1965543
Malcolm Creek Preschool,Centre-Based Care,Grand Boulevard,CRAIGIEBURN,VIC,3064,393084843,"Grand Boulevard, CRAIGIEBURN, VIC, 3064, Australia",-37.5835928,144.9364842
Laverton Community Children's Centre,Centre-Based Care,15 Crown Street,LAVERTON,VIC,3028,393600964,"15 Crown Street, LAVERTON, VIC, 3028, Australia",-37.8663309,144.7685904
Grow Early Education Tarneit,Centre-Based Care,76-84 Baden Powell Dr,TARNEIT,VIC,3029,387422800,"76-84 Baden Powell Dr, TARNEIT, VIC, 3029, Australia",-37.8413663,144.6952738
Jamieson Way Community Centre - Kindergarten,Centre-Based Care,59 Jamieson Way,POINT COOK,VIC,3030,393957922,"59 Jamieson Way, POINT COOK, VIC, 3030, Australia",-37.8958262,144.7474898
Dream Big Early Learning Centre,Centre-Based Care,97 High Street,DONCASTER,VIC,3108,98578204,"97 High Street, DONCASTER, VIC, 3108, Australia",-37.781513,145.1106944
Clever Kids Early Learning Centre,Centre-Based Care,29 McCormicks Road,CARRUM DOWNS,VIC,3201,397824450,"29 McCormicks Road, CARRUM DOWNS, VIC, 3201, Australia",-38.1143876,145.1943464
Kelly Club OSHC Barayip Primary School,Centre-Based Care,290 HUMMINGBIRD BVD,TARNEIT,VIC,3029,393842204,"290 HUMMINGBIRD BVD, TARNEIT, VIC, 3029, Australia",-37.83429,144.6412434
BILLY-BEET CREEKSIDE,Centre-Based Care,13 YUILLE ST,MELTON,VIC,3337,,"13 YUILLE ST, MELTON, VIC, 3337, Australia",-37.6792633,144.5912327
Inspire Early Learning Journey Doncaster,Centre-Based Care,456 DONCASTER RD,DONCASTER,VIC,3108,398191999,"456 DONCASTER RD, DONCASTER, VIC, 3108, Australia",-37.7878123,145.1105119
Launchpad Early Learning Centre Greensborough,Centre-Based Care,12-18 LORIMER ST,GREENSBOROUGH,VIC,3088,400916387,"12-18 LORIMER ST, GREENSBOROUGH, VIC, 3088, Australia",-37.7025881,145.0980926
Little Haven,Family Day Care,103 HEMSLEY PROM,POINT COOK,VIC,3030,,"103 HEMSLEY PROM, POINT COOK, VIC, 3030, Australia",-37.8948961,144.7375554
Wattle Hill Kindergarten,Centre-Based Care,"WATTLE PARK PRIMARY SCHOOL, 225 WARRIGAL RD",BURWOOD,VIC,3125,398088848,"WATTLE PARK PRIMARY SCHOOL, 225 WARRIGAL RD, BURWOOD, VIC, 3125, Australia",-37.8427187,145.0983432
Fawkner Kindergarten,Centre-Based Care,5 Lee St,FAWKNER,VIC,3060,93592480,"5 Lee St, FAWKNER, VIC, 3060, Australia",-37.7161283,144.9645607
First Grammar Epping,Centre-Based Care,30 Woodcutters Grove,EPPING,VIC,3076,03 8401 4723,"30 Woodcutters Grove, EPPING, VIC, 3076, Australia",-37.6291485,145.0274763
HELPING HUGS FAMILY DAY CARE PTY. LTD.,Family Day Care,3/3 Synnot Street,WERRIBEE,VIC,3030,397418241,"3/3 Synnot Street, WERRIBEE, VIC, 3030, Australia",-37.9013469,144.6640838
York Street Kindergarten at Glenroy West Primary School,Centre-Based Care,"Glenroy West Primary School, 60 William St",GLENROY,VIC,3046,393043308,"Glenroy West Primary School, 60 William St, GLENROY, VIC, 3046, Australia",-37.7059763,144.9086853
Camp Australia - Flinders Christian College OSHC,Centre-Based Care,100a Ballarto Rd,CARRUM DOWNS,VIC,3201,404801367,"100a Ballarto Rd, CARRUM DOWNS, VIC, 3201, Australia",-38.115678,145.1806027
Alamanda Kindergarten,Centre-Based Care,21 Prudence Parade,POINT COOK,VIC,3030,383531722,"21 Prudence Parade, POINT COOK, VIC, 3030, Australia",-37.9084685,144.7404257
Glen Education North Cheltenham Kindergarten,Centre-Based Care,71 Argus Street,Cheltenham,VIC,3192,417114660,"71 Argus Street, Cheltenham, VIC, 3192, Australia",-37.9591858,145.0673798
St Mary's Children Centre Kensington,Centre-Based Care,5-11 EPSOM RD,KENSINGTON,VIC,3031,414251251,"5-11 EPSOM RD, KENSINGTON, VIC, 3031, Australia",-37.7918309,144.9255112
Early Learning Victoria Muyan,Centre-Based Care,30 Leith Avenue,Sunshine,VIC,3020,370427400,"30 Leith Avenue, Sunshine, VIC, 3020, Australia",-37.7914188,144.8298665
Early Learning Victoria Wimbi,Centre-Based Care,84 LOWSON ST,FAWKNER,VIC,3060,390574444,"84 LOWSON ST, FAWKNER, VIC, 3060, Australia",-37.6991862,144.9730077
Learning Ladder ELC Narre Warren,Centre-Based Care,6-8 Meadow Walk,Narre Warren,VIC,3805,385272772,"6-8 Meadow Walk, Narre Warren, VIC, 3805, Australia",-38.0236428,145.3007947
Choklits Child Care,Centre-Based Care,319 Canterbury Road,RINGWOOD,VIC,3134,03 9879 5888,"319 Canterbury Road, RINGWOOD, VIC, 3134, Australia",-37.8321221,145.223829
Discovery Childcare and Education (Ringwood),Centre-Based Care,30 Bond Street,RINGWOOD,VIC,3134,398798055,"30 Bond Street, RINGWOOD, VIC, 3134, Australia",-37.8139732,145.2209737
North St Kilda Children's Centre,Centre-Based Care,71 Argyle Street,ST KILDA,VIC,3182,392096402,"71 Argyle Street, ST KILDA, VIC, 3182, Australia",-37.8629182,144.9882231
St Michael's Grammar School Early Learning Centre,Centre-Based Care,8-12 Marlton Crescent,ST KILDA,VIC,3182,385303268,"8-12 Marlton Crescent, ST KILDA, VIC, 3182, Australia",-37.8585239,144.9895342
Wesley College Melbourne St Kilda Road Early Childhood Learning Centre,Centre-Based Care,625 St Kilda Road,ST KILDA,VIC,3182,381026416,"625 St Kilda Road, ST KILDA, VIC, 3182, Australia",-37.8625457,144.9848168
Hampton Community Kindergarten,Centre-Based Care,1A Myrtle Road,HAMPTON,VIC,3188,395983145,"1A Myrtle Road, HAMPTON, VIC, 3188, Australia",-37.9410072,145.0117657
Helen Paul Kindergarten,Centre-Based Care,33 Kingston Street,HAMPTON,VIC,3188,03 9598 6416,"33 Kingston Street, HAMPTON, VIC, 3188, Australia",-37.9330966,145.0130973
Holy Trinity Anglican Kindergarten,Centre-Based Care,8 Thomas Street,HAMPTON,VIC,3188,395988836,"8 Thomas Street, HAMPTON, VIC, 3188, Australia",-37.9389101,145.0036825
Olinda Avenue Kindergarten,Centre-Based Care,2A Olinda Avenue,SPRINGVALE,VIC,3171,395469837,"2A Olinda Avenue, SPRINGVALE, VIC, 3171, Australia",-37.9586547,145.1440991
Springvale 2 World of Learning,Centre-Based Care,20 Clive Street,SPRINGVALE,VIC,3171,395472538,"20 Clive Street, SPRINGVALE, VIC, 3171, Australia",-37.9346127,145.1492182
Craigieburn Leisure Centre Creche,Centre-Based Care,127 Craigieburn Rd,CRAIGIEBURN,VIC,3064,392052659,"127 Craigieburn Rd, CRAIGIEBURN, VIC, 3064, Australia",-37.5940595,144.9100381
KU Dianella Kindergarten,Centre-Based Care,6 Congo Dr,TARNEIT,VIC,3029,370031700,"6 Congo Dr, TARNEIT, VIC, 3029, Australia",-37.8556745,144.6469789
Explorers Early Learning - Ashwood,Centre-Based Care,205 High Street Road,ASHWOOD,VIC,3147,392483000,"205 High Street Road, ASHWOOD, VIC, 3147, Australia",-37.867194,145.1078165
Mt Pleasant Kindergarten,Centre-Based Care,Mount Pleasant Road,NUNAWADING,VIC,3131,398781730,"Mount Pleasant Road, NUNAWADING, VIC, 3131, Australia",-37.8259496,145.1782632
PRESHIL,Centre-Based Care,395 Barkers Road,KEW,VIC,3101,398176136,"395 Barkers Road, KEW, VIC, 3101, Australia",-37.8160383,145.0522949
Craigieburn West YMCA Early Learning Centre,Centre-Based Care,265 Waterview Blvd,CRAIGIEBURN,VIC,3064,383383900,"265 Waterview Blvd, CRAIGIEBURN, VIC, 3064, Australia",-37.5850114,144.9065973
Vermont Primary School Outside School Hours Child Care Service,Centre-Based Care,10 Nurlendi Road,VERMONT,VIC,3133,398742511,"10 Nurlendi Road, VERMONT, VIC, 3133, Australia",-37.842984,145.1921936
Camp Australia - Cranbourne East Primary School OSHC,Centre-Based Care,2 Bowyer Avenue,CRANBOURNE,VIC,3977,413411834,"2 Bowyer Avenue, CRANBOURNE, VIC, 3977, Australia",-38.1057712,145.304683
St Justin's OSHC Wheelers Hill,Centre-Based Care,42 Whalley Drive,WHEELERS HILL,VIC,3150,493949170,"42 Whalley Drive, WHEELERS HILL, VIC, 3150, Australia",-37.9175853,145.1913875
Oakleigh Primary School and Kindergarten OSHC,Centre-Based Care,20 Warrigal Road,OAKLEIGH,VIC,3166,03 9568 6315,"20 Warrigal Road, OAKLEIGH, VIC, 3166, Australia",-37.8947809,145.0887812
Our Lady of Perpetual Help OSHC - Extend,Centre-Based Care,2 Wilana St,RINGWOOD,VIC,3134,1300366437,"2 Wilana St, RINGWOOD, VIC, 3134, Australia",-37.8164748,145.2320161
Camp Australia - Ringwood Heights Primary School OSHC,Centre-Based Care,Summit Crescent,RINGWOOD,VIC,3134,417768636,"Summit Crescent, RINGWOOD, VIC, 3134, Australia",-37.8022208,145.2198423
TeamKids - Kew Primary,Centre-Based Care,Peel Street,KEW,VIC,3101,1300035000,"Peel Street, KEW, VIC, 3101, Australia",-37.8026331,145.0333886
Guardian Childcare & Education Prahran,Centre-Based Care,349 High Street,PRAHRAN,VIC,3181,395100611,"349 High Street, PRAHRAN, VIC, 3181, Australia",-37.8524788,144.9996315
Camp Australia - Holy Name Primary School OSHC,Centre-Based Care,2 Robb Street,RESERVOIR,VIC,3073,418576410,"2 Robb Street, RESERVOIR, VIC, 3073, Australia",-37.7300942,145.0180329
Newlands Out of School Hours Program,Centre-Based Care,"Newlands Primary School, 2-26 Murphy St",PRESTON,VIC,3072,393542928,"Newlands Primary School, 2-26 Murphy St, PRESTON, VIC, 3072, Australia",-37.7298156,144.9854531
Camp Australia - Yarra Valley Grammar School OSHC,Centre-Based Care,Kalinda Rd,RINGWOOD,VIC,3134,424597085,"Kalinda Rd, RINGWOOD, VIC, 3134, Australia",-37.7816494,145.2562046
Mayfield Early Education Melton,Centre-Based Care,31-33 Unitt St,MELTON,VIC,3337,397467008,"31-33 Unitt St, MELTON, VIC, 3337, Australia",-37.6815991,144.5861589
Maria Montessori Preschool,Centre-Based Care,751-755 Ferntree Gully Rd,WHEELERS HILL,VIC,3150,395450764,"751-755 Ferntree Gully Rd, WHEELERS HILL, VIC, 3150, Australia",-37.9049013,145.1764777
TeamKids - Ivanhoe Girls Grammar,Centre-Based Care,123 Marshall Street,IVANHOE,VIC,3079,1300035000,"123 Marshall Street, IVANHOE, VIC, 3079, Australia",-37.7668505,145.0469317
Reservoir Primary Combined Out of School Hours Care,Centre-Based Care,Duffy Street,RESERVOIR,VIC,3073,03 9460 5798,"Duffy Street, RESERVOIR, VIC, 3073, Australia",-37.7108742,145.0073086
Camp Australia - Knox Park Primary School OSHC,Centre-Based Care,"Knox Park Primary School, 117 Kathryn Rd",KNOXFIELD,VIC,3180,404423640,"Knox Park Primary School, 117 Kathryn Rd, KNOXFIELD, VIC, 3180, Australia",-37.8830709,145.2517125
Camp Australia - St Mary's School Greensborough OSHC,Centre-Based Care,210 Grimshaw Street,GREENSBOROUGH,VIC,3088,431630835,"210 Grimshaw Street, GREENSBOROUGH, VIC, 3088, Australia",-37.7025524,145.0930957
NCCP - Early Learning Centre,Centre-Based Care,Laughlin Ave,NUNAWADING,VIC,3131,398773555,"Laughlin Ave, NUNAWADING, VIC, 3131, Australia",-37.821437,145.1727358
