location_id,sensor_description,sensor_name,installation_date,note,location_type,status,direction_1,direction_2,latitude,longitude,location
51,QVM-Franklin St (North),Fra118_T,2017-11-30,"Pushbox Upgrade, 20/07/2023",Outdoor,A,East,West,-37.80841815,144.95906316,"-37.80841815, 144.95906316"
52,Elizabeth St-Lonsdale St (South),Eli263_T,2017-07-31,"Pushbox Upgrade, 25/07/2023",Outdoor,A,East,West,-37.81252157,144.9619401,"-37.81252157, 144.9619401"
53,Collins Street (North),Col254_T,2015-09-23,,Outdoor,A,East,West,-37.81564191,144.965499,"-37.81564191, 144.965499"
54,Lincoln-Swanston (West),Swa607_T,2018-06-26,,Outdoor,A,North,South,-37.804024,144.96308399,"-37.804024, 144.96308399"
55,380 Elizabeth Street,Eli380_T,2018-07-19,Moved to 368 Elizabeth Street,Outdoor,A,,,-37.80988941,144.96134331,"-37.80988941, 144.96134331"
56,Lonsdale St - Elizabeth St (North),Lon364_T,2018-07-25,Sensor device has been replaced,Outdoor,A,East,West,-37.81234775,144.96153311,"-37.81234775, 144.96153311"
68,Flinders Ln -Degraves St (North),FLDegN_T,2020-06-03,,Outdoor,A,East,West,-37.8168479,144.96559789,"-37.8168479, 144.96559789"
69,Flinders Ln -Degraves St (Crossing),FLDegC_T,2020-06-03,,Outdoor,A,North,South,-37.81687226,144.96559144,"-37.81687226, 144.96559144"
72,Flinders St- ACMI,ACMI_T,2020-11-30,,Outdoor,A,East,West,-37.81726338,144.96872809,"-37.81726338, 144.96872809"
81,Boyd Commuinty - Front door,BoCoF_T,2021-03-30,,Indoor,A,,,-37.82579138,144.96084343,"-37.82579138, 144.96084343"
82,512 Elizabeth Street,Eli512_T,2021-11-05,,Indoor,A,,,-37.80667227,144.96005554,"-37.80667227, 144.96005554"
85,Macaulay Rd (North),488Mac_T,2021-12-21,,Outdoor,A,East,West,-37.79432415,144.92973378,"-37.79432415, 144.92973378"
86,Queensberry St - Errol St (South),574Qub_T,2021-12-21,,Outdoor,A,East,West,-37.80309992,144.94908064,"-37.80309992, 144.94908064"
89,City Library,CityLi_T,2013-12-11,,Indoor,A,,,-37.81685964,144.96586575,"-37.81685964, 144.96586575"
90,Boyd Community Hub- Library,BoCoL_T,2015-08-11,,Indoor,A,,,-37.82556207,144.96115421,"-37.82556207, 144.96115421"
93,East Melbourne Library,EastLib_T,2013-02-02,,Indoor,A,,,-37.81498411,144.98638807,"-37.81498411, 144.98638807"
96,Fitzroy Garden Visitor Centre Internal,FitGarVisIInt_T,2015-03-02,"Pushbox Upgrade, 30/06/2023",Indoor,A,,,-37.81499687,144.97925064,"-37.81499687, 144.97925064"
105,Kathleen Syme Library Lib,KatLib2_T,2018-02-02,,Indoor,A,,,-37.79861828,144.9652825,"-37.79861828, 144.9652825"
107,Flagstaff station (East),280Will_T,2022-10-08,,Outdoor,A,North,South,-37.81246271,144.95690188,"-37.81246271, 144.95690188"
116,Fitzroy Garden Visitor Centre Cafe Verandah,FitCafVis_T,2015-03-02,"Pushbox Upgrade, 30/06/2023",Indoor,A,,,-37.81493732,144.97932442,"-37.81493732, 144.97932442"
117,114 Flinders Street Car Park Footpath,Fli114F_T,2022-12-06,,Outdoor,A,East,West,-37.81629332,144.97090877,"-37.81629332, 144.97090877"
123,Birrarung Marr East - Batman Ave Bridge Entry,BirBridge_T,2023-06-02,<Null>,Outdoor,A,East,West,-37.81753741,144.97329734,"-37.81753741, 144.97329734"
132,I-Hub Corner of King Street and Latrobe Street (317-335 King),King335_T,2023-09-25,,Outdoor,A,North,South,-37.81267639,144.95386444,"-37.81267639, 144.95386444"
133,I-Hub Southern Cross Station - Lonsdale Street Entrance - South,Spen229_T,2023-09-25,,Outdoor,A,North,South,-37.81531435,144.95227769,"-37.81531435, 144.95227769"
136,"COM Pole 1120 - Towards the City, Near Federation Square Bridge",BirFed1120_T,2023-11-03,,Outdoor,A,East,West,-37.8184141,144.97357915,"-37.8184141, 144.97357915"
139,COM Pole 1647 - Sandridge Bridge Signal Box,Signal1647_T,2023-11-20,,Outdoor,A,East,West,-37.81959923,144.9632832,"-37.81959923, 144.9632832"
140,COM Pole 2837 - Boyd Park,Boyd2837_T,2023-11-02,,Outdoor,A,North,South,-37.82590962,144.96185972,"-37.82590962, 144.96185972"
142,COM Pole 1584 - Hammer Hall Entrance,Hammer1584_T,2023-11-03,,Outdoor,A,East,West,-37.81970749,144.96795734,"-37.81970749, 144.96795734"
144,narrm ngarrgu Library - Level 1 - Lift 1,narrLibL1L1_T,2023-10-23,,Indoor,A,In,Out,-37.80760657,144.95862847,"-37.80760657, 144.95862847"
146,narrm ngarrgu Library - Level 1 - Lift 3,narrLibL1L3_T,2023-10-23,,Indoor,A,,,-37.80766922,144.95840594,"-37.80766922, 144.95840594"
150,narrm ngarrgu Library - Level 1 Main Stairs B,narrLibL1MB_T,2023-10-23,,Indoor,A,,,-37.80791198,144.95820087,"-37.80791198, 144.95820087"
151,narrm ngarrgu Library - Level 2 - Collections Stairs A,narrLibL2CA_T,2023-10-23,,Indoor,A,In,Out,-37.80771581,144.9586238,"-37.80771581, 144.9586238"
154,narrm ngarrgu Library - Level 3 Children's Library Door 1,narrLibL3C1_T,2023-10-23,,Indoor,A,In,Out,-37.80778437,144.95862772,"-37.80778437, 144.95862772"
155,narrm ngarrgu Library - Level 3 Children's Library Door 2,narrLibL#C2_T,2023-10-23,,Indoor,A,,,-37.80783201,144.95845043,"-37.80783201, 144.95845043"
160,"City Baths, 420 Swanston Street - Main Entry",Swa420_T,2024-06-04,,Indoor,A,,,-37.80699526,144.96306214,"-37.80699526, 144.96306214"
161,Birrarung Marr - COM - Pole 1109,BirArt1109_T,2024-06-04,,Outdoor,A,East,West,-37.81851276,144.97131336,"-37.81851276, 144.97131336"
165,475 Spencer Street,Spen475_T,2024-08-14,,Outdoor,A,North,South,-37.80953359,144.94939004,"-37.80953359, 144.94939004"
181,368 Elizabeth Street,Eli368_T,2025-03-26,Moved from 380 Elizabeth Street,Outdoor,A,North,South,-37.81009465,144.96143149,"-37.81009465, 144.96143149"
184,124 Elizabeth Street,Eli124_T,2025-06-28,,Outdoor,A,In,Out,-37.81512416,144.96371988,"-37.81512416, 144.96371988"
184,124 Elizabeth Street,Eli124_T,2025-06-28,,Outdoor,A,North,InOut,-37.81512416,144.96371988,"-37.81512416, 144.96371988"
185,197 Elizabeth Street,Eli197_T,2025-06-28,,Outdoor,A,North,InOut,-37.81374643,144.96276183,"-37.81374643, 144.96276183"
188,RMIT Building 51 - 80-92 Victoria Street,RMIT51_T,2025-10-17,,Outdoor,A,North,South,-37.80663222,144.96456557,"-37.80663222, 144.96456557"
1,Bourke Street Mall (North),Bou292_T,2009-03-24,,Outdoor,A,East,West,-37.81349441,144.96515323,"-37.81349441, 144.96515323"
4,Town Hall (West),Swa123_T,2009-03-23,,Outdoor,A,North,South,-37.81487988,144.9660878,"-37.81487988, 144.9660878"
10,Victoria Point,BouHbr_T,2009-04-23,,Outdoor,A,East,West,-37.81876474,144.94710545,"-37.81876474, 144.94710545"
11,Waterfront City,WatCit_T,2009-01-20,,Outdoor,A,East,West,-37.81564989,144.93970694,"-37.81564989, 144.93970694"
24,Spencer St-Collins St (North),Col620_T,2013-09-02,,Outdoor,A,East,West,-37.81887963,144.95449198,"-37.81887963, 144.95449198"
31,Lygon St (West),Lyg161_T,2013-10-10,"Pushbox Upgrade, 25/07/2023",Outdoor,A,North,South,-37.80169681,144.96658911,"-37.80169681, 144.96658911"
36,Queen St (West),Que85_T,2015-01-20,"Pushbox Upgrade, 03/08/2023",Outdoor,A,North,South,-37.81652527,144.96121062,"-37.81652527, 144.96121062"
39,Alfred Place,AlfPl_T,2019-12-04,In 4/12/2019 sensor upgraded,Outdoor,A,North,South,-37.81379749,144.96995745,"-37.81379749, 144.96995745"
45,Little Collins St-Swanston St (East),Swa148_T,2017-06-29,"Pushbox Upgrade, 03/08/2023",Outdoor,A,North,South,-37.81414075,144.96609379,"-37.81414075, 144.96609379"
49,QVM-Therry St (South),Eli501_T,2017-11-29,"Pushbox Upgrade, 20/07/2023",Outdoor,A,East,West,-37.80730068,144.95956055,"-37.80730068, 144.95956055"
58,Bourke St - Spencer St (North),Bou688_T,2018-09-27,,Outdoor,A,East,West,-37.81686075,144.95358075,"-37.81686075, 144.95358075"
59,Building 80 RMIT,RMIT_T,2019-02-13,,Outdoor,A,North,South,-37.80825648,144.96304859,"-37.80825648, 144.96304859"
61,RMIT Building 14,RMIT14_T,2019-06-28,,Outdoor,A,North,South,-37.80767455,144.96309114,"-37.80767455, 144.96309114"
62,La Trobe St (North),Lat224_T,2019-09-25,,Outdoor,A,East,West,-37.80996494,144.96216521,"-37.80996494, 144.96216521"
65,Swanston St - City Square,SwaCs_T,2020-03-12,,Outdoor,A,North,South,-37.81569416,144.9668064,"-37.81569416, 144.9668064"
75,Spring St- Flinders st (West),SprFli_T,2020-12-18,,Outdoor,A,North,South,-37.81515276,144.97467661,"-37.81515276, 144.97467661"
77,Harbour Esplanade (West) - Pedestrian path,HarEsP_T,2021-03-25,Replaced - water damaged,Outdoor,A,North,South,-37.81441438,144.94433026,"-37.81441438, 144.94433026"
79,Flinders St (South),FliSS_T,2021-09-10,,Outdoor,A,East,West,-37.81794046,144.96616678,"-37.81794046, 144.96616678"
80,Boyd Commuinty - Rear door,BoCoR_T,2021-03-30,,Indoor,A,,,-37.8254567,144.96131206,"-37.8254567, 144.96131206"
83,510 Elizabeth Street,Eli510_T,2021-11-05,,Indoor,A,,,-37.8067319,144.96005113,"-37.8067319, 144.96005113"
84,Elizabeth St - Flinders St (East) - New footpath,ElFi_T,2021-12-03,,Outdoor,A,North,South,-37.81798049,144.96503383,"-37.81798049, 144.96503383"
87,Errol St (West),Errol23_T,2022-05-20,,Outdoor,A,North,South,-37.80454949,144.94921863,"-37.80454949, 144.94921863"
91,Library at The Dock-North side,DocLib1_T,2015-06-05,,Indoor,A,,,-37.8200188,144.94029861,"-37.8200188, 144.94029861"
94,Fitzroy Garden- The Conservatory,FitConVis_T,2015-03-02,,Indoor,A,,,-37.81424531,144.97851861,"-37.81424531, 144.97851861"
95,Fitzroy Garden Visitor Centre External,FitGarExtVisExt_T,2015-03-02,"Pushbox Upgrade, 30/06/2023",Indoor,A,,,-37.81488315,144.97926569,"-37.81488315, 144.97926569"
102,North Melbourne Library,NtMelLib_T,2018-02-02,,Indoor,A,,,-37.80340543,144.94977011,"-37.80340543, 144.94977011"
103,Kensington Town Hall,KenTown_T,2018-02-02,Device Replace,Indoor,A,,,-37.7893527,144.9286055,"-37.7893527, 144.9286055"
108,William St - Little Lonsdale St (West),261Will_T,2022-10-08,,Outdoor,A,North,South,-37.81295822,144.95678789,"-37.81295822, 144.95678789"
109,La Trobe St- William St (South),LatWill_T,2022-10-08,,Outdoor,A,East,West,-37.81193681,144.95621105,"-37.81193681, 144.95621105"
124,Birrarung Marr East - Batman Ave Bridge Entry,BirBridge_T,2023-06-02,,Outdoor,A,North,South,-37.81757416,144.97329934,"-37.81757416, 144.97329934"
135,I-Hub Southern Cross Station - Bourke Street Entrance - South,Spen161_T,2023-09-25,,Outdoor,A,North,South,-37.8172861,144.95319102,"-37.8172861, 144.95319102"
137,"COM Pole 2353 - Towards the city, NAB Building",BouHbr2353_T,2023-11-03,,Outdoor,A,East,West,-37.81894815,144.94612292,"-37.81894815, 144.94612292"
138,"COM Pole 1671 - Enterprize Park, Queens Bridge",EntPark1671_T,2023-11-20,,Outdoor,A,East,West,-37.81996544,144.95981454,"-37.81996544, 144.95981454"
141,Awning of Nationwide Parking 474 Flinders Street,474Fl_T,2023-11-10,,Outdoor,A,East,West,-37.81997273,144.95834911,"-37.81997273, 144.95834911"
148,narrm ngarrgu Library - Level 1 - Meeting Room Lift 2,narrLibMRL2_T,2023-10-23,,Indoor,A,,,-37.80772224,144.95823515,"-37.80772224, 144.95823515"
149,narrm ngarrgu Library - Level 1 Main Stairs A,narrLibL1MA_T,2023-10-23,,Indoor,A,,,-37.80781158,144.9582219,"-37.80781158, 144.9582219"
153,narrm ngarrgu Library - Level 2 - Study Area Lifts 2,narrLibL2S2_T,2023-10-23,,Indoor,A,,,-37.80780367,144.95829765,"-37.80780367, 144.95829765"
158,514 Elizebeth Street,Eli514_T,2024-01-29,,Indoor,A,,,-37.80657467,144.96007044,"-37.80657467, 144.96007044"
164,I-Hub 526 La Trobe Street (Footpath),Lat526_T,2024-08-14,,Outdoor,A,East,West,-37.813005,144.95160411,"-37.813005, 144.95160411"
180,"Pumping Station No.2, 330 Macaulay Road",Mac330_T,2025-03-11,,Outdoor,A,East,West,-37.79497059,144.93530329,"-37.79497059, 144.93530329"
185,197 Elizabeth Street,Eli197_T,2025-06-28,,Outdoor,A,In,Out,-37.81374643,144.96276183,"-37.81374643, 144.96276183"
185,197 Elizabeth Street,Eli197_T,2025-06-28,,Outdoor,A,North,South,-37.81374643,144.96276183,"-37.81374643, 144.96276183"
