census_year,property_id,building_address,trading_name,number_of_patrons,longitude,latitude,location
2015,110148,98-110 William Street MELBOURNE 3000,The Australian Club,280,144.95912288463865,-37.816746354550006,"-37.816746354550006, 144.95912288463865"
2012,110184,27 Windsor Place MELBOURNE 3000,The Melbourne RSL,240,144.97249159363227,-37.81194668805,"-37.81194668805, 144.97249159363227"
2007,110266,Brunton Avenue JOLIMONT 3002,Spotless Services,2800,144.98319738818486,-37.82000821319277,"-37.82000821319277, 144.98319738818486"
2019,110326,4 Riverside Quay SOUTHBANK VIC 3006,Soho Restaurant & Bar,200,144.9633741325051,-37.82092447295,"-37.82092447295, 144.9633741325051"
2012,110335,1-9 Southbank Boulevard SOUTHBANK 3006,Left Bank Melbourne,400,144.96286674090527,-37.8210393494,"-37.8210393494, 144.96286674090527"
2018,110343,27-45 Whiteman Street SOUTHBANK 3006,Kingpin Bowling Crown / Playtime,347,144.9582948,-37.8251819,"-37.8251819, 144.9582948"
2022,110349,1-23 City Road SOUTHBANK VIC 3006,Testing Ground,500,144.96752308838842,-37.8213758077,"-37.8213758077, 144.96752308838842"
2011,110385,174-184 City Road SOUTHBANK 3006,Olla Messa,250,144.9619185367833,-37.823835739100005,"-37.823835739100005, 144.9619185367833"
2019,110399,105-107 Clarendon Street SOUTHBANK VIC 3006,The Cloakroom Bar,50,144.9582570056776,-37.82713113065,"-37.82713113065, 144.9582570056776"
2012,110401,334-342 City Road SOUTHBANK 3006,Eve Bar Lounge,500,144.9573512904132,-37.82783772195,"-37.82783772195, 144.9573512904132"
2014,110473,65-73 Haig Street SOUTHBANK 3006,The Backlot Studios,80,144.956556491421,-37.827885359350006,"-37.827885359350006, 144.956556491421"
2013,110537,1-27 South Wharf Promenade SOUTH WHARF 3006,The Boatbuilders Yard,1438,144.95342716164834,-37.82431515095,"-37.82431515095, 144.95342716164834"
2017,110542,20-30 Convention Centre Place SOUTH WHARF 3006,Aerial Events,900,144.95231930285,-37.82542998795,"-37.82542998795, 144.95231930285"
2011,110606,3 Southgate Avenue SOUTHBANK 3006,P J O'Briens Irish Pub & Side Bar,550,144.96630309908272,-37.82071821935,"-37.82071821935, 144.96630309908272"
2022,110655,Federation Square Vaults 1-19 Princes Walk MELBOURNE VIC 3000,Riverland Bar,300,144.96865384918814,-37.81867874765,"-37.81867874765, 144.96865384918814"
2003,110669,353 Little Collins Street MELBOURNE 3000,Grosvenor Tavern,230,144.9629855,-37.8155378,"-37.8155378, 144.9629855"
2022,110684,Shed M Queen Victoria Market 50 Peel Street MELBOURNE VIC 3000,BRICK LANE SHED,85,144.9576272223,-37.80783257422127,"-37.807832574221266, 144.9576272223"
2021,110690,507-523 Elizabeth Street MELBOURNE VIC 3000,Meet Sando,20,144.9576272223,-37.80783257422127,"-37.807832574221266, 144.9576272223"
2002,110716,42-44 Lonsdale Street MELBOURNE 3000,44 Bar,260,144.9710871,-37.8097472,"-37.8097472, 144.9710871"
2011,110721,33-39 Little Lonsdale Street MELBOURNE 3000,Oddfellows Hotel,400,144.97072895315,-37.80919615113536,"-37.80919615113536, 144.97072895315"
2022,110724,17 Casselden Place MELBOURNE VIC 3000,Little Lon Distilling Co,30,144.97072895345,-37.809196151079576,"-37.809196151079576, 144.97072895345"
2020,110747,499-511 Swanston Street MELBOURNE VIC 3000,Podium,200,144.96192497362023,-37.80693100035,"-37.80693100035, 144.96192497362023"
2006,110920,161-163 Errol Street NORTH MELBOURNE 3051,Limerick Castle Hotel & Restaurant,175,144.9496475098828,-37.80115938855124,"-37.80115938855124, 144.9496475098828"
2007,110988,7-9 South Wharf SOUTHBANK 3006,Atlantic South Wharf Function Centre,1300,144.94934455622283,-37.82400245608464,"-37.82400245608464, 144.94934455622283"
2008,111071,46-74 Flinders Street MELBOURNE 3000,The Press Club Restuarant & Bar Pty Ltd,90,144.97272087728078,-37.81546171375,"-37.81546171375, 144.97272087728078"
2010,111175,8 Whiteman Street SOUTHBANK 3006,Studio 3,900,144.95833558284,-37.82316159535,"-37.82316159535, 144.95833558284"
2013,111394,16-30 Russell Place MELBOURNE 3000,Bar Ampere,60,144.9674365318,-37.813539026856645,"-37.813539026856645, 144.9674365318"
2007,222221,183-265 La Trobe Street MELBOURNE 3000,Kingpin Melbourne Central,760,144.9628483153142,-37.8109031097348,"-37.810903109734795, 144.9628483153142"
2011,503031,19-23 Meyers Place MELBOURNE 3000,Loop Project Space & Bar,152,144.97210474836243,-37.8121532295,"-37.8121532295, 144.97210474836243"
2002,508976,42 Courtney Street NORTH MELBOURNE 3051,Metropolitan Hotel,120,144.9541083709252,-37.8014314471986,"-37.801431447198595, 144.9541083709252"
2005,515538,4-6 Goldie Place MELBOURNE 3000,Paris Cat Jazz Club,200,144.9605705,-37.8132486,"-37.8132486, 144.9605705"
2013,541562,121-131 Collins Street MELBOURNE 3000,RU-CO,400,144.9698079667972,-37.81511565165,"-37.81511565165, 144.9698079667972"
2006,556742,419-443 Royal Parade PARKVILLE 3052,Vibe Hotel,96,144.95882491805455,-37.78289972149981,"-37.78289972149981, 144.95882491805455"
2019,558180,122-148 Harbour Esplanade DOCKLANDS 3008,The Medallion Club,5000,144.94756024120727,-37.81674197865,"-37.81674197865, 144.94756024120727"
2018,558610,256 Collins Street MELBOURNE 3000,The Butterfly Club,190,144.96529077485002,-37.815523727614426,"-37.815523727614426, 144.96529077485002"
2006,559161,3-7 Riverside Quay SOUTHBANK 3006,Belgian Beer Cafe Eureka,638,144.9645481020912,-37.82168190393536,"-37.82168190393536, 144.9645481020912"
2016,560004,24-42 Newquay Promenade DOCKLANDS 3008,Vacant,321,144.94218002877324,-37.81436269910686,"-37.81436269910686, 144.94218002877324"
2006,573414,788-812 Bourke Street DOCKLANDS 3008,Watermark Bar,300,144.94508950794062,-37.81885245528146,"-37.81885245528146, 144.94508950794062"
2013,574438,84-94 Flinders Street MELBOURNE 3000,Eau-De-Vie,150,144.97168700995002,-37.81594836933732,"-37.81594836933732, 144.97168700995002"
2006,575820,1-9 Freshwater Place SOUTHBANK 3006,BLVD Bar,562,144.96219203595228,-37.821716438356745,"-37.821716438356745, 144.96219203595228"
2022,576024,Site One 747-757 Bourke Street DOCKLANDS VIC 3008,The Nixon Hotel,320,144.94799200964053,-37.8193808754,"-37.8193808754, 144.94799200964053"
2004,576967,184 Rathdowne Street CARLTON 3053,Rathdowne Tavern,248,144.9712397941015,-37.7947671021019,"-37.7947671021019, 144.9712397941015"
2020,578321,Atrium Federation Square 2 Swanston Street MELBOURNE VIC 3000,Beer De Luxe,1000,144.96994164279243,-37.817777826050005,"-37.817777826050005, 144.96994164279243"
2006,578324,2 Swanston Street MELBOURNE 3000,Transport,900,144.9699510419009,-37.8177791473443,"-37.8177791473443, 144.9699510419009"
2007,578325,2 Swanston Street MELBOURNE 3000,The big Group,350,144.9699510419009,-37.8177791473443,"-37.8177791473443, 144.9699510419009"
2006,578327,2 Swanston Street MELBOURNE 3000,Zinc at Federation Square,1000,144.9699510419009,-37.8177791473443,"-37.8177791473443, 144.9699510419009"
2019,579293,230 Grattan Street PARKVILLE 3010,University House Club,611,144.9612087442,-37.79677169577826,"-37.79677169577826, 144.9612087442"
2010,585863,175-191 Dryburgh Street NORTH MELBOURNE 3051,The Oasis Oz Hotel,390,144.94336001515,-37.80205377560336,"-37.802053775603355, 144.94336001515"
2004,587492,91-93 Flinders Lane MELBOURNE 3000,Returned & Services League - Melbourne Sub-branch,90,144.97122719454467,-37.815414152739145,"-37.815414152739145, 144.97122719454467"
2010,589841,221 Little Lonsdale Street MELBOURNE 3000,Three Degrees,775,144.96572505310365,-37.8106786168,"-37.8106786168, 144.96572505310365"
2010,592048,188-202 King Street MELBOURNE 3000,La Di Da,458,144.9556241849,-37.815513584634886,"-37.815513584634886, 144.9556241849"
2012,593739,99-127 Pearl River Road DOCKLANDS 3008,Medibank Icehouse,100,144.93563148365,-37.81213814994177,"-37.81213814994177, 144.93563148365"
2013,595153,166 Albert Street EAST MELBOURNE 3002,Cohen Cellars Wine Bar,40,144.98562421364923,-37.8100473338,"-37.8100473338, 144.98562421364923"
2017,597183,121-131 Collins Street MELBOURNE 3000,Spice Market,800,144.96980796645528,-37.81511565165,"-37.81511565165, 144.96980796645528"
2015,597190,8 Whiteman Street SOUTHBANK 3006,Club 23,450,144.9583356388194,-37.823161595550005,"-37.823161595550005, 144.9583356388194"
2014,598987,Evan Walker Bridge SOUTHBANK 3006,Ponyfish Island,150,144.9651296,-37.8196329,"-37.8196329, 144.9651296"
2015,600431,816 Lorimer Street PORT MELBOURNE 3207,Underbridge Sports Bar & Cafe,60,144.9309547,-37.8221281,"-37.8221281, 144.9309547"
2014,601809,425-427 Docklands Drive DOCKLANDS 3008,Waterfront Venues,1059,144.93931047649968,-37.8152440667,"-37.8152440667, 144.93931047649968"
2013,604125,143-175 Harbour Esplanade DOCKLANDS 3008,Alumbra At Central Pier,690,144.94591,-37.81741,"-37.81741, 144.94591"
2010,604143,11 Collins Street MELBOURNE 3000,Recorded Music Salon,110,144.97346124155,-37.81376862299815,"-37.81376862299815, 144.97346124155"
2012,606461,607-623 Collins Street MELBOURNE 3000,Batman's Hill On Collins Hotel,1500,144.9541476,-37.8190018,"-37.8190018, 144.9541476"
2011,606638,124 La Trobe Street MELBOURNE 3000,Pearson and Murph'y Cafe,156,144.96458869514856,-37.80821791505,"-37.80821791505, 144.96458869514856"
2011,606674,344 Swanston Street MELBOURNE 3000,Caffeine At Re Vault,150,144.96458869514856,-37.80821791505,"-37.80821791505, 144.96458869514856"
2006,609329,334-342 City Road SOUTHBANK 3006,Eve Bar Lounge,600,144.95736075837317,-37.82783909985716,"-37.82783909985716, 144.95736075837317"
2015,614830,524 Macaulay Road KENSINGTON 3031,Lost and Found,40,144.9286062,-37.794177,"-37.794177, 144.9286062"
2011,616125,25-27 Rankins Road KENSINGTON 3031,Flemington & Kensington RSL Club,90,144.93211,-37.78929,"-37.78929, 144.93211"
2021,616156,40-48 Stubbs Street KENSINGTON VIC 3031,Bonehead Brewing,80,144.93519173586924,-37.79045306815,"-37.79045306815, 144.93519173586924"
2010,616160,265-271 Racecourse Road KENSINGTON 3031,The Quiet Man Irish Pub,400,144.93225,-37.78858,"-37.78858, 144.93225"
2009,616966,2 Boundary Road NORTH MELBOURNE 3051,Vodka Locka & Red Leaf Restaurant,40,144.9392476268893,-37.7953162502,"-37.7953162502, 144.9392476268893"
2021,620312,NW Building 23-37 Star Crescent DOCKLANDS VIC 3008,Urban Alley Brewery,700,144.93799836630816,-37.8132875163,"-37.8132875163, 144.93799836630816"
2022,620318,3-43 Waterfront Way DOCKLANDS VIC 3008,Melbourne Marriott Hotel Docklands,62,144.93913840305,-37.81372143046202,"-37.813721430462024, 144.93913840305"
2020,623559,Pan Pacific Melbourne 2 Convention Centre Place SOUTH WHARF VIC 3006,Pan Pacific,60,144.95231930285,-37.82542998795,"-37.82542998795, 144.95231930285"
2017,628712,717-731 Collins Street DOCKLANDS 3008,Bar Nicional,75,144.9505,-37.8149,"-37.8149, 144.9505"
2019,635138,13 Heffernan Lane MELBOURNE 3000,Union Electric,100,144.966599,-37.811798,"-37.811798, 144.966599"
2019,640970,14-24 Batmans Hill Drive DOCKLANDS 3008,Hightail,900,144.94982202525404,-37.82131269085,"-37.82131269085, 144.94982202525404"
2016,664626,230 Grattan Street PARKVILLE 3010,HJC Bar,200,144.9611927667791,-37.79677692115583,"-37.796776921155825, 144.9611927667791"
2020,692410,Novotel Melbourne South Wharf Hotel 7 Convention Centre Place SOUTH WHARF VIC 3006,Novotel Melbourne South Wharf,50,144.95231930285,-37.82542998795,"-37.82542998795, 144.95231930285"
2021,709873,95-109 Exhibition Street MELBOURNE VIC 3000,Nick & Nora's,476,144.9706863215771,-37.81363930815,"-37.81363930815, 144.9706863215771"
2022,709874,101-107 Little Collins Street MELBOURNE VIC 3000,Handpicked Urban Cellar Door Melbourne,353,144.9706863215771,-37.81363930815,"-37.81363930815, 144.9706863215771"
