postcode,avg_solar_irradiance_kwh_m2_day,peak_sun_hours
3173,4.17,4.2
3174,4.12,4.1
3175,4.29,4.3
3176,4.27,4.3
3177,4.2,4.2
3178,4.3,4.3
3179,4.12,4.1
3180,4.22,4.2
3181,4.2,4.2
3182,4.28,4.3
3183,4.14,4.1
3184,4.11,4.1
3185,4.21,4.2
3186,4.07,4.1
3187,4.04,4.0
3188,4.03,4.0
3189,4.06,4.1
3190,4.09,4.1
3191,4.02,4.0
3192,4.04,4.0
3193,4.06,4.1
3194,4.22,4.2
3195,4.2,4.2
3196,4.11,4.1
3197,4.17,4.2
3198,4.16,4.2
3199,4.2,4.2
3200,4.27,4.3
3201,4.28,4.3
3202,4.29,4.3
3203,4.16,4.2
3204,4.23,4.2
3205,4.21,4.2
3206,4.16,4.2
3207,4.29,4.3
3208,4.21,4.2
3209,4.16,4.2
3210,4.12,4.1
3335,4.25,4.2
3336,4.1,4.1
3337,4.23,4.2
3338,4.19,4.2
3339,4.12,4.1
3340,4.12,4.1
3427,4.23,4.2
3428,4.16,4.2
3429,4.15,4.1
3430,4.19,4.2
3431,4.22,4.2
3750,4.15,4.1
3751,4.11,4.1
3752,4.16,4.2
3753,4.21,4.2
3754,4.26,4.3
3755,4.25,4.3
3756,4.16,4.2
3757,4.16,4.2
3758,4.23,4.2
3759,4.16,4.2
3760,4.15,4.1
3761,4.2,4.2
3762,4.15,4.2
3763,4.15,4.1
3764,4.24,4.2
3765,4.26,4.3
3766,4.21,4.2
3767,4.28,4.3
3768,4.29,4.3
3769,4.15,4.1
3770,4.24,4.2
3771,4.24,4.2
3772,4.12,4.1
3773,4.12,4.1
3774,4.14,4.1
3775,4.28,4.3
3776,4.13,4.1
3777,4.28,4.3
3778,4.17,4.2
3779,4.29,4.3
3780,4.21,4.2
3781,4.2,4.2
3782,4.12,4.1
3783,4.17,4.2
3784,4.16,4.2
3785,4.12,4.1
3786,4.1,4.1
3787,4.27,4.3
3788,4.22,4.2
3789,4.13,4.1
3790,4.18,4.2
3791,4.1,4.1
3792,4.2,4.2
3793,4.13,4.1
3794,4.15,4.2
3795,4.26,4.3
3796,4.24,4.2
3797,4.27,4.3
3798,4.26,4.3
3799,4.16,4.2
3800,4.25,4.3
3801,4.21,4.2
3802,4.12,4.1
3803,4.15,4.2
3804,4.12,4.1
3805,4.1,4.1
3806,4.25,4.3
3807,4.18,4.2
3808,4.12,4.1
3809,4.21,4.2
3910,4.1,4.1
3911,4.12,4.1
3912,4.25,4.3
3913,4.13,4.1
3914,4.22,4.2
3915,4.28,4.3
3916,4.29,4.3
3917,4.19,4.2
3918,4.15,4.2
3919,4.25,4.2
3926,4.13,4.1
3927,4.14,4.1
3928,4.16,4.2
3929,4.21,4.2
3930,4.12,4.1
3931,4.12,4.1
3932,4.28,4.3
3933,4.21,4.2
3934,4.21,4.2
3935,4.1,4.1
3936,4.16,4.2
3937,4.17,4.2
3938,4.3,4.3
3939,4.29,4.3
3940,4.15,4.2
3941,4.26,4.3
3942,4.26,4.3
3943,4.19,4.2
3975,4.11,4.1
3976,4.25,4.2
3977,4.22,4.2
