ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Address,Latitude,Longitude
Creswick Primary School OSHC - Extend,Extend (Australia) Pty Ltd,Centre-Based Care,"Creswick Primary School, 67 Napier St",CRESWICK,VIC,3363,,"Creswick Primary School, 67 Napier St, CRESWICK, VIC, 3363, Australia",-37.4237818,143.8911368
St Albans Heights CommunityOSH,COMMUNITYOSH PTY LTD,Centre-Based Care,"St Albans Heights Primary, 1 Norwich St",ST ALBANS,VIC,3021,413544966,"St Albans Heights Primary, 1 Norwich St, ST ALBANS, VIC, 3021, Australia",,
Astra Early Learning Narre Warren South,Enlighten Learning Pty Ltd,Centre-Based Care,75 Shrives Rd,NARRE WARREN SOUTH,VIC,3805,390888887,"75 Shrives Rd, NARRE WARREN SOUTH, VIC, 3805, Australia",-38.0313226,145.2893199
Karmai Community Childrens Centre KPS,Karmai Community Children's Centre Inc,Centre-Based Care,Corner 16 Mine Road & John  Street,KORUMBURRA,VIC,3950,356552121,"Corner 16 Mine Road & John  Street, KORUMBURRA, VIC, 3950, Australia",,
Nido Early School Melbourne Square,NEST EARLY EDUCATION SERVICES PTY LTD,Centre-Based Care,97-101 Kavanagh Street,SOUTHBANK,VIC,3006,385667259,"97-101 Kavanagh Street, SOUTHBANK, VIC, 3006, Australia",-37.8229386,144.9663883
Journey Early Learning Centre  - Delacombe,Journey ELC Pty Ltd,Centre-Based Care,330 Glenelg Hwy,WINTER VALLEY,VIC,3358,387466921,"330 Glenelg Hwy, WINTER VALLEY, VIC, 3358, Australia",-37.5898892,143.8042098
Marriott Waters Kindergarten,Casey City Council,Centre-Based Care,25 Boland Drive,LYNDHURST,VIC,3975,397980189,"25 Boland Drive, LYNDHURST, VIC, 3975, Australia",-38.0730215,145.2533383
Quality Kids,Quality Kids Pty Ltd,Centre-Based Care,1 Raglan St,WALLAN,VIC,3756,90203080,"1 Raglan St, WALLAN, VIC, 3756, Australia",-37.4188503,144.974424
Balnarring Early Learning Centre,MAYFIELD CHILDCARE LIMITED,Centre-Based Care,2984 Frankston-Flinders Rd,BALNARRING,VIC,3926,359832021,"2984 Frankston-Flinders Rd, BALNARRING, VIC, 3926, Australia",-38.3721668,145.1288332
Knox Central Primary School OSHC,KNOX CENTRAL PRIMARY SCHOOL Council,Centre-Based Care,39 Darwin Rd,BORONIA,VIC,3155,398013289,"39 Darwin Rd, BORONIA, VIC, 3155, Australia",-37.8614156,145.2543757
Aspire Early Education & Kindergarten Bella Estate,"ASPIRE EARLY EDUCATION & KINDERGARTEN BELLA ESTATE, CLYDE NORTH PTY LTD",Centre-Based Care,40s Bellavita Ave,CLYDE,VIC,3978,1800978429,"40s Bellavita Ave, CLYDE, VIC, 3978, Australia",-38.1305725,145.3660972
Lucas LEAP,Lucas Primary School,Centre-Based Care,"Lucas Primary School, 46 Oshannassy Pde",LUCAS,VIC,3350,353385004,"Lucas Primary School, 46 Oshannassy Pde, LUCAS, VIC, 3350, Australia",,
Strathcona Early Years,Strathcona Baptist Girls Grammar School Ltd,Centre-Based Care,31 Scott St,CANTERBURY,VIC,3126,387797500,"31 Scott St, CANTERBURY, VIC, 3126, Australia",-37.8298521,145.0794929
Terra Early Learning,GS GILL & CO PTY LTD,Centre-Based Care,104 Balwyn Rd,BALWYN,VIC,3103,370449620,"104 Balwyn Rd, BALWYN, VIC, 3103, Australia",-37.8113379,145.0818441
Green Leaves Early Learning Rosebud,GREEN LEAVES (VIC8) EARLY LEARNING CENTRES PTY LTD,Centre-Based Care,26 McDowell St,ROSEBUD,VIC,3939,359118176,"26 McDowell St, ROSEBUD, VIC, 3939, Australia",-38.356589,144.9066635
South Street Early Learning Centre,The Trustee for South Street Childcare Trust,Centre-Based Care,87 South St,HADFIELD,VIC,3046,386528502,"87 South St, HADFIELD, VIC, 3046, Australia",-37.7148558,144.9438175
Inspire Early Learning Journey Langwarrin,INSPIRE O2 EDUCATION HOLDING GROUP PTY LTD,Centre-Based Care,60 Aqueduct Road,LANGWARRIN,VIC,3910,398538999,"60 Aqueduct Road, LANGWARRIN, VIC, 3910, Australia",-38.1615939,145.2051566
Ripplebrook OSHC,RIPPLEBROOK PRIMARY SCHOOL COUNCIL,Centre-Based Care,"Ripplebrook Primary School, 2260 Westernport Rd",RIPPLEBROOK,VIC,3818,468646692,"Ripplebrook Primary School, 2260 Westernport Rd, RIPPLEBROOK, VIC, 3818, Australia",-38.2038287,145.7579044
DS Sports Bass Valley,SPORTS DS PTY LTD,Centre-Based Care,"Bass Valley Primary School, 70 Corinella Rd",CORINELLA,VIC,3984,466998067,"Bass Valley Primary School, 70 Corinella Rd, CORINELLA, VIC, 3984, Australia",-38.4303991,145.4888435
Bani Manya Kindergarten,Horsham & District Kindergarten Association Inc,Centre-Based Care,2b Rasmussen Rd,HORSHAM,VIC,3400,,"2b Rasmussen Rd, HORSHAM, VIC, 3400, Australia",-36.6976575,142.2046131
Harkaway Early Learning Centre,PARED VICTORIA LTD,Centre-Based Care,20i Abeckett Rd,NARRE WARREN NORTH,VIC,3804,397969821,"20i Abeckett Rd, NARRE WARREN NORTH, VIC, 3804, Australia",,
Bluebird Early Education Berwick,VOXARK PTY LTD,Centre-Based Care,322 Centre Rd,BERWICK,VIC,3806,89053871,"322 Centre Rd, BERWICK, VIC, 3806, Australia",-38.050592,145.3386394
OSHC-Keysborough,SELIMIYE FOUNDATION LIMITED,Centre-Based Care,139 Chapel Rd,KEYSBOROUGH,VIC,3173,393098111,"139 Chapel Rd, KEYSBOROUGH, VIC, 3173, Australia",-38.0048568,145.1623983
OSHC-Dallas,SELIMIYE FOUNDATION LIMITED,Centre-Based Care,147-165 Dallas Dr,DALLAS,VIC,3047,393098111,"147-165 Dallas Dr, DALLAS, VIC, 3047, Australia",-37.6715175,144.936011
Randall Street Kindergarten,TRY AUSTRALIA CHILDREN'S SERVICES,Centre-Based Care,9 RANDALL ST,MARIBYRNONG,VIC,3032,408610755,"9 RANDALL ST, MARIBYRNONG, VIC, 3032, Australia",-37.7670959,144.8877149
Laa Yulta Primary School Kindergarten,TRY AUSTRALIA CHILDREN'S SERVICES,Centre-Based Care,20 Lecture Circuit,MAMBOURIN,VIC,3024,408428390,"20 Lecture Circuit, MAMBOURIN, VIC, 3024, Australia",-37.8853455,144.5958334
Little Saints Early Learning Centre - Drouin Princes Way,Davmat Investments Pty Ltd,Centre-Based Care,207 Princes Way,DROUIN,VIC,3818,356220301,"207 Princes Way, DROUIN, VIC, 3818, Australia",-38.1364725,145.8577839
DS Sports Topirum,SPORTS DS PTY LTD,Centre-Based Care,451 Hardys Rd,CLYDE NORTH,VIC,3978,468401612,"451 Hardys Rd, CLYDE NORTH, VIC, 3978, Australia",-38.1083335,145.3842345
Glen Education Fern St Kindergarten,Glen Education Inc,Centre-Based Care,2 Fern St,BLACK ROCK,VIC,3193,395987874,"2 Fern St, BLACK ROCK, VIC, 3193, Australia",-37.9647716,145.0191201
Wesburn Primary School OSHC,WESBURN PRIMARY SCHOOL COUNCIL,Centre-Based Care,"Wesburn Primary School, 2850 Warburton Hwy",WESBURN,VIC,3799,359671302,"Wesburn Primary School, 2850 Warburton Hwy, WESBURN, VIC, 3799, Australia",-37.768967,145.6476071
Children First Early Education Mernda,7TH EDGE PTY LTD,Centre-Based Care,7 Harvard Ave,MERNDA,VIC,3754,387644940,"7 Harvard Ave, MERNDA, VIC, 3754, Australia",-37.5993921,145.0811973
Children First Early Education Mitcham,14TH EDGE PTY LTD,Centre-Based Care,762-764 Whitehorse Rd,MITCHAM,VIC,3132,388273090,"762-764 Whitehorse Rd, MITCHAM, VIC, 3132, Australia",-37.8176456,145.2131553
Tarnagulla Primary School OSHC,TARNAGULLA PRIMARY SCHOOL COUNCIL,Centre-Based Care,"TARNAGULLA Primary School, 51-53 Stanley St",TARNAGULLA,VIC,3551,354387355,"TARNAGULLA Primary School, 51-53 Stanley St, TARNAGULLA, VIC, 3551, Australia",-36.7709831,143.828273
Hoppers Crossing Family Centre Kindergarten,Early Childhood Management Services Inc,Centre-Based Care,150-164 Heaths Rd,HOPPERS CROSSING,VIC,3029,1300615191,"150-164 Heaths Rd, HOPPERS CROSSING, VIC, 3029, Australia",-37.8782077,144.6912955
West Wimmera Health Service,WEST WIMMERA HEALTH SERVICE,Centre-Based Care,35 Queen St,NHILL,VIC,3418,353914223,"35 Queen St, NHILL, VIC, 3418, Australia",-36.3299321,141.6606237
TeamKids - Yubup Primary,TEAM HOLIDAY PTY LTD,Centre-Based Care,120 Ellscott Bvd,MICKLEHAM,VIC,3064,1300 035 000,"120 Ellscott Bvd, MICKLEHAM, VIC, 3064, Australia",-37.5421242,144.8937269
Yaluk Burron Early Learning,BALLARAT AND DISTRICT ABORIGINAL CO-OPERATIVE LIMITED,Centre-Based Care,14 Stead St,BALLAN,VIC,3342,353681628,"14 Stead St, BALLAN, VIC, 3342, Australia",-37.6009603,144.2283766
KU Monash Children's Centre and Kindergarten,KU Children's Services,Centre-Based Care,1a Holmes St,FRANKSTON,VIC,3199,370031703,"1a Holmes St, FRANKSTON, VIC, 3199, Australia",-38.1547498,145.1360353
Farmhouse Kinder,"LUTHERAN EDUCATION VIC, NSW, TAS AND ACT LTD",Centre-Based Care,"Farmhouse Kindergarten, 580 Tarneit Rd",TARNEIT,VIC,3029,370663315,"Farmhouse Kindergarten, 580 Tarneit Rd, TARNEIT, VIC, 3029, Australia",,
Kelly Club OSHC Broadford Primary School,KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST,Centre-Based Care,"Broadford Primary School, 17-23 Powlett St",BROADFORD,VIC,3658,,"Broadford Primary School, 17-23 Powlett St, BROADFORD, VIC, 3658, Australia",-37.2022277,145.0468427
BENTLEIGH EARLY CHILD EDUCATION COOPERATIVE,Bentleigh Family & Child Care Co-op,Centre-Based Care,16 TUCKER RD,BENTLEIGH,VIC,3204,394866578,"16 TUCKER RD, BENTLEIGH, VIC, 3204, Australia",-37.9280278,145.0494636
Kidscape Early Learning Centre Leopold,Vantage Education Pty. Ltd.,Centre-Based Care,141-149 Kensington Rd,LEOPOLD,VIC,3224,03 4245 1168,"141-149 Kensington Rd, LEOPOLD, VIC, 3224, Australia",,
Story House Early Learning Nunawading,Story House Early Learning No 1 Pty Ltd,Centre-Based Care,329 Springvale Rd,FOREST HILL,VIC,3131,387643300,"329 Springvale Rd, FOREST HILL, VIC, 3131, Australia",-37.8334711,145.173407
Blairholme Early Learning Centre,Lauriston Girls' School,Centre-Based Care,1034-1040 Malvern Rd,ARMADALE,VIC,3143,398647555,"1034-1040 Malvern Rd, ARMADALE, VIC, 3143, Australia",-37.850986,145.0240485
Mackillop Early Learning Centre,SANDHURST CATHOLIC EARLY CHILDHOOD EDUCATION & CARE LIMITED,Centre-Based Care,11A CHURCH ST,NAGAMBIE,VIC,3608,493867981,"11A CHURCH ST, NAGAMBIE, VIC, 3608, Australia",-36.7811633,145.1538124
Inspira Kids Early Learning Centre Archer Street,INSPIRA KIDS EARLY LEARNING CENTRE @ ARCHER STREET PTY LTD,Centre-Based Care,2 Lisburn St,SHEPPARTON,VIC,3630,,"2 Lisburn St, SHEPPARTON, VIC, 3630, Australia",-36.38189,145.4135094
Little Penguin Early Learning Centre,LITTLE PENGUIN KILSYTH PTY LTD,Centre-Based Care,37 Durham Rd,KILSYTH,VIC,3137,370034207,"37 Durham Rd, KILSYTH, VIC, 3137, Australia",-37.8010882,145.3204984
SchoolsOUT! Banum Warrik,ACN 639 977 816 PTY LTD,Centre-Based Care,2 Koeks Vsta,KALKALLO,VIC,3064,498841359,"2 Koeks Vsta, KALKALLO, VIC, 3064, Australia",-37.520845,144.9556966
TeamKids - Silverton Primary,TEAM HOLIDAY PTY LTD,Centre-Based Care,77-123 Jacksons Rd,NOBLE PARK NORTH,VIC,3174,1300035000,"77-123 Jacksons Rd, NOBLE PARK NORTH, VIC, 3174, Australia",-37.9487916,145.1928968
Goodstart Early Learning Rosanna - Bellevue Avenue,Goodstart Early Learning Ltd,Centre-Based Care,21-25 Bellevue Ave,ROSANNA,VIC,3084,370390918,"21-25 Bellevue Ave, ROSANNA, VIC, 3084, Australia",-37.7412542,145.0637545
Glorious family day care,GLORIOUS FAMILY DAY CARE PTY LTD,Family Day Care,14 Godwin St,MERNDA,VIC,3754,,"14 Godwin St, MERNDA, VIC, 3754, Australia",-37.6065878,145.0676939
TeamKids - Clyde Grammar,TEAM HOLIDAY PTY LTD,Centre-Based Care,110 Smiths Lane,CLYDE NORTH,VIC,3978,1300035000,"110 Smiths Lane, CLYDE NORTH, VIC, 3978, Australia",-38.1062032,145.3787362
TeamKids - Mornington Primary,TEAM HOLIDAY PTY LTD,Centre-Based Care,Vale Street,MORNINGTON,VIC,3931,1300035000,"Vale Street, MORNINGTON, VIC, 3931, Australia",-38.2225187,145.04204
Dandenong CommunityOSH,COMMUNITYOSH PTY LTD,Centre-Based Care,174 Foster Road,DANDENONG,VIC,3175,413544966,"174 Foster Road, DANDENONG, VIC, 3175, Australia",,
Eden Academy Oak Park,Eden Academy Childcare Pty Ltd,Centre-Based Care,1 - 3 Station Road,OAK PARK,VIC,3046,370202363,"1 - 3 Station Road, OAK PARK, VIC, 3046, Australia",-37.7119777,144.9193044
COUNTRY KIDZ PRESCHOOL,ANM Business Services Pty Ltd,Centre-Based Care,715 Henderson Rd,TONGALA,VIC,3621,358590194,"715 Henderson Rd, TONGALA, VIC, 3621, Australia",-36.254093,144.9484925
Explorers Early Learning - Frankston North,JML Trading Frankston North Pty Ltd,Centre-Based Care,2-8 Ballarto Rd,FRANKSTON NORTH,VIC,3200,90070973,"2-8 Ballarto Rd, FRANKSTON NORTH, VIC, 3200, Australia",-38.1129864,145.1590164
Elsternwick Montessori Academy,MAG VIC OPERATIONS PTY LTD,Centre-Based Care,21 Sandham Street,ELSTERNWICK,VIC,3185,399079395,"21 Sandham Street, ELSTERNWICK, VIC, 3185, Australia",-37.8820628,145.004615
AMIGA Montessori Maddingley,AMIGA MONTESSORI HOLDINGS PTY. LTD.,Centre-Based Care,10 McCormacks Rd,MADDINGLEY,VIC,3340,343286100,"10 McCormacks Rd, MADDINGLEY, VIC, 3340, Australia",-37.6889896,144.411872
Explorers Early Learning - Essendon,JML Trading Essendon Pty Ltd,Centre-Based Care,30-32 Lincoln Rd,ESSENDON,VIC,3040,392679060,"30-32 Lincoln Rd, ESSENDON, VIC, 3040, Australia",-37.7528123,144.9088365
TeamKids - Wollert Primary,TEAM HOLIDAY PTY LTD,Centre-Based Care,131 De Rossi Boulevard,WOLLERT,VIC,3750,1300035000,"131 De Rossi Boulevard, WOLLERT, VIC, 3750, Australia",-37.6104863,145.0268656
CARECREST FAMILY DAY CARE,CARECREST FAMILY DAYCARE PTY LTD ATF CARECREST FAMILY DAYCARE TRUST,Family Day Care,71 George St,DONCASTER EAST,VIC,3109,449123276,"71 George St, DONCASTER EAST, VIC, 3109, Australia",-37.7813397,145.1545968
Inspire Early Learning Journey Rowville,INSPIRE O2 EDUCATION HOLDING GROUP PTY LTD,Centre-Based Care,2-4 Superior Ave,ROWVILLE,VIC,3178,,"2-4 Superior Ave, ROWVILLE, VIC, 3178, Australia",-37.9152886,145.2395119
Goodstart Early Learning Watsonia,Goodstart Early Learning Ltd,Centre-Based Care,69-71 Devonshire Road,WATSONIA,VIC,3087,384374500,"69-71 Devonshire Road, WATSONIA, VIC, 3087, Australia",-37.7127615,145.0813638
Bluebird Early Education Clyde North,VOXARK PTY LTD,Centre-Based Care,4 Panther Cl,CLYDE NORTH,VIC,3978,359292019,"4 Panther Cl, CLYDE NORTH, VIC, 3978, Australia",-38.0897226,145.3427366
Inspire Early Learning Journey Cranbourne,INSPIRE O2 EDUCATION HOLDING GROUP PTY LTD,Centre-Based Care,6 Huon Park Road,CRANBOURNE NORTH,VIC,3977,398193999,"6 Huon Park Road, CRANBOURNE NORTH, VIC, 3977, Australia",-38.0745649,145.2735858
First Early Learning Narre Warren North,FUTUREFEL PTY LTD ATF FUTUREFEL TRUST,Centre-Based Care,1 - 3 Mattsera Ct,NARRE WARREN NORTH,VIC,3804,91234452,"1 - 3 Mattsera Ct, NARRE WARREN NORTH, VIC, 3804, Australia",-37.9783948,145.3187464
Nido Early School Avondale Heights,NEST EARLY EDUCATION SERVICES PTY LTD,Centre-Based Care,7 Clarendon St,AVONDALE HEIGHTS,VIC,3034,370360139,"7 Clarendon St, AVONDALE HEIGHTS, VIC, 3034, Australia",-37.7662144,144.8619329
DS Sports,SPORTS DS PTY LTD,Centre-Based Care,"St James Catholic School, 60 Nar Nar Goon Rd",NAR NAR GOON,VIC,3812,466733407,"St James Catholic School, 60 Nar Nar Goon Rd, NAR NAR GOON, VIC, 3812, Australia",,
TEDDY BEAR CARE FAMILY DAY CARE,TEDDY BEAR CARE PTY LTD,Family Day Care,1 Examiner St,MARIBYRNONG,VIC,3032,448558261,"1 Examiner St, MARIBYRNONG, VIC, 3032, Australia",-37.7864048,144.8934004
Cooke Court Uniting SEED Program,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,22 Church St,RICHMOND,VIC,3121,,"22 Church St, RICHMOND, VIC, 3121, Australia",-37.8114203,145.0002676
Champs oshc colac vic,JUMOKE BALOGUN,Centre-Based Care,"Colac South West Primary, 238 Wilson St",COLAC,VIC,3250,409992544,"Colac South West Primary, 238 Wilson St, COLAC, VIC, 3250, Australia",,
Launchpad Diamond Creek,Edukids Enterprises Pty Ltd,Centre-Based Care,18 Hyde St,DIAMOND CREEK,VIC,3089,384182727,"18 Hyde St, DIAMOND CREEK, VIC, 3089, Australia",-37.6739032,145.1512368
Journey Early Learning Centre Knoxfield,Journey ELC Pty Ltd,Centre-Based Care,52 Kathryn Road,KNOXFIELD,VIC,3180,387466987,"52 Kathryn Road, KNOXFIELD, VIC, 3180, Australia",-37.8896426,145.2492831
TLC Early Learning Mordialloc,Great Oaks Pty Ltd,Centre-Based Care,113 McDonald Street,MORDIALLOC,VIC,3195,394587721,"113 McDonald Street, MORDIALLOC, VIC, 3195, Australia",-38.0011366,145.0968816
Our Patch OSHC at Immaculate Heart of Mary Catholic Primary School - Newborough,OUR PATCH EDUCATION PTY LTD,Centre-Based Care,50-54 Monash Road,NEWBOROUGH,VIC,3825,475597158,"50-54 Monash Road, NEWBOROUGH, VIC, 3825, Australia",-38.1827946,146.2954014
Guardian Childcare & Education Langwarrin South,Guardian Community Early Learning Centres Pty Ltd,Centre-Based Care,200 Warrandyte Rd,LANGWARRIN,VIC,3910,390952600,"200 Warrandyte Rd, LANGWARRIN, VIC, 3910, Australia",-38.1702216,145.1879318
Sacred Heart OSHC Preston,MELBOURNE ARCHDIOCESE CATHOLIC SCHOOLS EARLY YEARS EDUCATION LTD,Centre-Based Care,1-3 Clifton Gr,PRESTON,VIC,3072,493947707,"1-3 Clifton Gr, PRESTON, VIC, 3072, Australia",-37.743996,145.0043358
Toot Toot Werribee,39 CANDY ROAD PTY LTD,Centre-Based Care,19 Werribee St S,WERRIBEE,VIC,3030,391400990,"19 Werribee St S, WERRIBEE, VIC, 3030, Australia",-37.9070559,144.6574604
Story House Early Learning New Gisborne,Story House Early Learning No 1 Pty Ltd,Centre-Based Care,20-24 Ferrier Road,NEW GISBORNE,VIC,3438,354283458,"20-24 Ferrier Road, NEW GISBORNE, VIC, 3438, Australia",-37.4614255,144.5830858
Genius Learning Mont Albert,Vertical 4 Pty Ltd,Centre-Based Care,451-453 Belmore Road,MONT ALBERT NORTH,VIC,3129,,"451-453 Belmore Road, MONT ALBERT NORTH, VIC, 3129, Australia",-37.8011742,145.1088377
The Sanctuary At Hillside,THE SANCTUARY AT HILLSIDE PTY LTD AS TRUSTEE FOR THE SANCTUARY AT HILLSIDE UNIT TRUST,Centre-Based Care,2 Sunningdale Drive,HILLSIDE,VIC,3037,1300 131 958/ 03 8361 5011,"2 Sunningdale Drive, HILLSIDE, VIC, 3037, Australia",-37.690697,144.7300159
The Geelong College Outside School Hours Care and Vacation Care Program,The Geelong College,Centre-Based Care,"The Geelong College Junior School, Minerva Road",NEWTOWN,VIC,3220,352268435,"The Geelong College Junior School, Minerva Road, NEWTOWN, VIC, 3220, Australia",-38.145487,144.3278367
Newbury Child and Community Centre,Hume City Council,Centre-Based Care,450 Grand Boulevard,CRAIGIEBURN,VIC,3064,436928811,"450 Grand Boulevard, CRAIGIEBURN, VIC, 3064, Australia",-37.5710818,144.9071024
Swan Early Learning,Loni Education Pty Ltd,Centre-Based Care,4 Castro Way,DERRIMUT,VIC,3026,383584148,"4 Castro Way, DERRIMUT, VIC, 3026, Australia",-37.79233,144.7719924
Academy of Early Education,ACADEMY OF EARLY EDUCATION PTY LTD ATF AEE Family Trust,Centre-Based Care,2 Salisbury Court,SYDENHAM,VIC,3037,370316672,"2 Salisbury Court, SYDENHAM, VIC, 3037, Australia",-37.6930411,144.7601584
Cranbourne Park PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,"Cranbourne Park Primary School, 1 Tucker St",CRANBOURNE,VIC,3977,1300072410,"Cranbourne Park Primary School, 1 Tucker St, CRANBOURNE, VIC, 3977, Australia",-38.1036924,145.2772415
Ilim Learning Sanctuary - Glenroy,ILIM LEARNING SANCTUARY LIMITED,Centre-Based Care,48-50 Box Forest Rd,GLENROY,VIC,3046,393594444,"48-50 Box Forest Rd, GLENROY, VIC, 3046, Australia",-37.7023494,144.9558524
North Edge Early Learning,Mpower Communities Pty Ltd,Centre-Based Care,11 Wangoom Rd,WARRNAMBOOL,VIC,3280,03 4504 2180,"11 Wangoom Rd, WARRNAMBOOL, VIC, 3280, Australia",-38.3567999,142.5027323
MAYFIELD EARLY EDUCATION LYREBIRD DRIVE,MAYFIELD CHILDCARE LIMITED,Centre-Based Care,32 Partridge Cres,CARRUM DOWNS,VIC,3201,397828818,"32 Partridge Cres, CARRUM DOWNS, VIC, 3201, Australia",-38.1035139,145.1864314
Busy Bees at Belmont,ELEMENTS LEARNING PTY LTD,Centre-Based Care,322-328 High St,BELMONT,VIC,3216,352433888,"322-328 High St, BELMONT, VIC, 3216, Australia",-38.1879655,144.3286728
OMEGA FAMILY DAYCARE,OMEGA CARE PTY LTD,Family Day Care,10 Birch Ave,DANDENONG NORTH,VIC,3175,03 8774 4804,"10 Birch Ave, DANDENONG NORTH, VIC, 3175, Australia",-37.9638551,145.2047099
Orana Early Learning - Belmont,MITCHELL STREET EARLY LEARNING CENTRE PTY LTD,Centre-Based Care,23-25 Mitchell St,BELMONT,VIC,3216,03 5245 7670,"23-25 Mitchell St, BELMONT, VIC, 3216, Australia",-38.1751757,144.3497195
Story House Early Learning Black Rock,Story House Early Learning No 12 Pty Ltd,Centre-Based Care,173 Bluff Rd,BLACK ROCK,VIC,3193,395984103,"173 Bluff Rd, BLACK ROCK, VIC, 3193, Australia",-37.9624235,145.0186134
Youth Leadership Victoria Clayton South,Youth Leadership Victoria Inc,Centre-Based Care,"Clayton South Primary School, 539-541 Clayton Rd",CLAYTON SOUTH,VIC,3169,412958601,"Clayton South Primary School, 539-541 Clayton Rd, CLAYTON SOUTH, VIC, 3169, Australia",,
