Species,Common name(s),Certain,Beach and Dunes,Saltmarsh,Coastal marshlands and brackish flats,Swamp scrub,Woodlands and heathlands on sand,"Woodlands and forests on sedimentary hills, valleys and ridges",Grasslands and Woodlands on fertile plains,Cliffs and escarpments,River banks and creeklines,Wet heathland,Freshwater wetland,Saltwater wetland,Most likely occurrence,EPBC Category of threat,FFG Extinction Risk,FFG Category of Threat
Juncus radula,Hoary Rush,,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,1.0,0,2.1,,,
Juncus revolutus,Creeping Rush,,1.0,1.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,Victoria,Endangered
Juncus sarophorus,Broom Rush,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,0,2.1,,,
Juncus semisolidus,Plains Rush,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Juncus usitatus,Billabong Rush,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,0,2.1,,,
Juncus vaginatus,"Clustered Rush, Toolim",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Kunzea leptospermoides,Yarra Burgan,,0.0,0.0,0.0,0.0,1.0,2.1,0.0,0.0,1.0,0.0,0.0,0,2.1,,,
Lachnagrostis billardierei subsp. billardierei,Coast Blown-grass,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Lachnagrostis punicea subsp. punicea,Purple Blown-grass,,0.0,0.0,2.1,0.0,0.0,0.0,2.1,0.0,0.0,0.0,1.0,0,2.1,,,
Lagenophora huegelii,Coarse Bottle-daisy,,0.0,0.0,0.0,0.0,1.0,3.1,1.0,0.0,0.0,0.0,0.0,0,3.1,,,
Landoltia punctata,Thin or Spotted Duckweed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0,2.1,,,
Lasiopetalum baueri,Slender Velvet-bush,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Lawrencia glomerata,Clustered Lawrencia,,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Leiocarpa panaetioides,Woolly Buttons,,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0,2.1,,,
Lemna disperma,Common Duckweed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0,3.1,,,
Lepidium aschersonii,"Swamp Peppercress, Spiny Peppercress",,0.0,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.1,Vulnerable,Victoria,Endangered
Lepidium hyssopifolium,"Basalt Peppercress, Perennial Peppercress, Dittander",1,0.0,0.0,2.1,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,Endangered,Victoria,Endangered
Lepidium pseudohyssopifolium,Native Peppercress,1,0.0,0.0,2.1,0.0,0.0,0.0,3.1,0.0,1.0,0.0,0.0,0,3.1,,,
Lepidosperma congestum,Clustered Sword-sedge,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Lepidosperma elatius,Tall Sword-sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Lepidosperma filiforme,Common Rapier-sedge,,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.0,0.0,0,2.1,,,
Lepidosperma gladiatum,Coast Sword-sedge,,3.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.2,,,
Lepidosperma neesii,Stiff Rapier-sedge,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Lepilaena bilocularis,"Small-fruited Water-mat, Feather-style Water-mat",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2,2.2,,,
Lepilaena cylindrocarpa,Long-fruit Water-mat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,3,3.2,,,
Lepilaena preissii,Slender Water-mat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.2,,,
Leptocarpus tenax,Slender Twine-rush,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Leptospermum continentale,Prickly Tea-tree,,1.0,0.0,1.0,2.1,3.1,2.1,0.0,0.0,0.0,3.2,0.0,0,3.2,,,
Leptospermum scoparium,"Black Tea-tree, Broom Tea-tree, Manuka",,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Leucochrysum albicans var. albicans,Hoary Sunray,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Liparophyllum exaltatum,"Erect Marsh-flower, Yellow Marsh-flower",,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0,2.1,,,
Lomandra multiflora subsp. multiflora,Many-flowered Mat-rush,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Ludwigia peploides var. montevidensis,"Water Primrose, Clove-strip",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0,2.1,,,
Lycopodiella lateralis,Slender Clubmoss,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Lyperanthus suaveolens,Brown Beaks,,0.0,0.0,0.0,0.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Lysiana exocarpi,Harlequin Mistletoe,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,,,
Machaerina arthrophylla,Fine Twig-sedge,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,0,2.1,,,
Machaerina tetragona,Square Twig-sedge,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Malva preissiana,Australian Hollyhock,1,0.0,2.1,2.1,1.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0,3.1,,Victoria,Endangered
Marsilea drummondii,Common Nardoo,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.1,0,3.1,,,
Melicytus angustifolius subsp. divaricatus,No Common Name,,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.1,0.0,0.0,0.0,0,3.1,,,
Melicytus dentatus,Tree Violet,,0.0,0.0,0.0,0.0,0.0,2.1,3.1,3.1,3.2,0.0,0.0,0,3.2,,,
Mentha satureoides,"Creeping Mint, Native Pennyroyal",,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1.0,,,
Microtis arenaria,Notched Onion-orchid,1,2.1,0.0,2.1,1.0,3.1,3.1,1.0,1.0,1.0,1.0,0.0,0,3.1,,,
Millotia tenuifolia var. tenuifolia,Soft Millotia,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,,,
Muehlenbeckia adpressa,Climbing Lignum,,3.1,0.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Muellerina eucalyptoides,Creeping Mistletoe,1,0.0,0.0,0.0,0.0,1.0,3.1,3.1,3.1,3.1,0.0,0.0,0,3.1,,,
Myoporum insulare,"Common Boobialla, Coast Boobialla",,3.1,0.0,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Myoporum petiolatum,Sticky Boobialla,1,0.0,0.0,0.0,0.0,0.0,3.1,0.0,2.1,0.0,0.0,0.0,0,3.1,,,
Myosotis australis,Austral forget-me-not,,2.1,0.0,2.1,2.1,3.1,1.0,0.0,2.1,2.1,0.0,0.0,0,3.1,,,
Myriophyllum amphibium,Broad Water-milfoil,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Myriophyllum caput-medusae,Coarse Water-milfoil,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0,2.1,,,
Myriophyllum glomeratum,Clustered Water-milfoil,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Myriophyllum muelleri,Hooded Water-milfoil,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,
Myriophyllum pedunculatum subsp. longibracteolatum,Mat Water-milfoil,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Myriophyllum simulans,Amphibious Water-milfoil,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,0,2.1,,,
Myriophyllum variifolium,Variable Water-milfoil,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Myrsine howittiana,"Muttonwood, Tulipwood",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Olearia ramulosa var. ramulosa,Twiggy Daisy-bush,,1.0,0.0,0.0,0.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Orthoceras strictum,"Horned Orchid, Crow Orchid",,1.0,0.0,0.0,1.0,2.1,0.0,0.0,0.0,0.0,2.1,0.0,0,2.1,,,
Ottelia ovalifolia subsp. ovalifolia,Swamp Lily,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0,3.1,,,
Ozothamnus ferrugineus,Tree Everlasting,1,0.0,0.0,0.0,0.0,1.0,3.1,1.0,1.0,2.1,0.0,0.0,0,3.1,,,
Ozothamnus obcordatus,Grey Everlasting,,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Patersonia fragilis,Short Purple-flag,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1,0.0,0,3.1,,,
Patersonia occidentalis var. occidentalis,Long Purple-flag,,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Pelargonium rodneyanum,Magenta Stork's-bill,1,0.0,0.0,0.0,0.0,0.0,3.1,3.1,1.0,1.0,0.0,0.0,0,3.1,,,
Persicaria decipiens,Slender Knotweed,1,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,3.1,0.0,3.1,0,3.1,,,
Persicaria hydropiper,Water Pepper,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1,0.0,3.1,0,3.1,,,
Phragmites australis,Common Reed,1,1.0,1.0,3.2,3.1,0.0,0.0,0.0,0.0,3.2,1.0,3.2,3,3.2,,,
Phyllangium distylis,Tiny Mitrewort,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0,2.1,,,
Picris angustifolia subsp. angustifolia,"Coast Picris, Native Picris",,2.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Pimelea humilis,"Common Rice-flower, Small Rice-flower",1,0.0,0.0,1.0,1.0,3.1,3.1,3.1,3.1,2.1,0.0,0.0,0,3.1,,,
Pimelea linifolia subsp. linifolia,Slender Rice-flower,,0.0,0.0,0.0,0.0,0.0,2.1,1.0,0.0,0.0,0.0,0.0,0,2.1,,,
Plantago varia,Variable Plantain,,0.0,0.0,0.0,1.0,1.0,3.1,1.0,0.0,0.0,0.0,0.0,0,3.1,,,
Pleurosorus rutifolius,Blanket Fern,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Poa labillardierei var. labillardierei,Common Tussock-grass,1,0.0,0.0,2.2,3.1,3.1,2.1,3.1,1.0,3.2,1.0,3.1,0,3.2,,,
Poa morrisii,"Velvet Tussock-grass, Soft Tussock-grass",,0.0,0.0,0.0,0.0,2.1,3.2,2.1,2.1,2.1,0.0,0.0,0,3.2,,,
Poa sieberiana var. sieberiana,Grey Tussock-grass,,0.0,0.0,0.0,0.0,1.0,3.2,2.1,1.0,1.0,0.0,0.0,0,3.2,,,
Podolepis jaceoides,Showy Podolepis,,0.0,0.0,0.0,0.0,0.0,3.1,2.1,1.0,1.0,0.0,0.0,0,3.1,,,
Pomaderris aspera,Hazel Pomaderris,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0,2.1,,,
Potamogeton crispus,Curly Pondweed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,1,3.1,,,
Potamogeton ochreatus,Blunt Pondweed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0,3.1,,,
Prasophyllum australe,Austral Leek-orchid,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Prasophyllum lindleyanum,Green Leek-orchid,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,Victoria,Endangered
Prostanthera lasianthos var. lasianthos,Victorian Christmas Bush,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.1,0.0,0.0,0,3.1,,,
Pterostylis falcata,Sickle Greenhood,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,1.0,,,
Pterostylis pedoglossa,Prawn Greenhood,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,Victoria,Endangered
Pterostylis pedunculata,Maroon Hood,,1.0,0.0,0.0,3.1,3.1,3.1,0.0,1.0,1.0,1.0,0.0,0,3.1,,,
Pterostylis sanguinea,Banded Greenhood,,0.0,0.0,0.0,0.0,1.0,2.1,0.0,0.0,0.0,1.0,0.0,0,2.1,,,
Pterostylis truncata,"Brittle Greenhood, Little Dumpies",,0.0,0.0,0.0,0.0,0.0,1.0,3.1,1.0,0.0,0.0,0.0,0,3.1,,Victoria,Critically Endangered
Puccinellia perlaxa,Plains Saltmarsh-grass,1,0.0,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,,,
Pultenaea gunnii subsp. gunnii,Golden Bush-pea,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Pultenaea pedunculata,Matted Bush-pea,,0.0,0.0,0.0,0.0,2.1,2.1,0.0,2.1,0.0,0.0,0.0,0,2.1,,,
Pycnosorus chrysanthes,Golden Billy Buttons,1,0.0,0.0,1.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,2.1,0,3.1,,,
Ranunculus amplus,"Feather-leaf Buttercup, Lacey River Buttercup",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,Australia,Critically Endangered
Ranunculus glabrifolius,Shining Buttercup,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,,,
Ranunculus lappaceus,"Common Buttercup, Australian Buttercup",,0.0,0.0,0.0,0.0,2.1,3.1,1.0,0.0,1.0,0.0,0.0,0,3.1,,,
Ranunculus papulentus,Large River Buttercup,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,0,2.1,,,
Rubus parvifolius,"Small-leaf Bramble, Native Raspberry",,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.1,3.1,1.0,0.0,0,3.1,,,
Rumex bidens,Mud Dock,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0,3.1,,,
Rytidosperma duttonianum,Brown-back Wallaby-grass,1,0.0,0.0,2.1,0.0,0.0,1.0,3.1,1.0,2.1,0.0,3.1,0,3.1,,,
Rytidosperma bipartitum,Leafy Wallaby-grass,1,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,1.0,0.0,1.0,0,3.1,,,
Rytidosperma carphoides var. carphoides,Short Wallaby-grass,1,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.0,0.0,0.0,0.0,0,3.1,,,
Rytidosperma erianthum,Hill Wallaby-grass,,0.0,0.0,0.0,0.0,1.0,3.2,3.1,3.1,1.0,0.0,0.0,0,3.2,,,
Rytidosperma pallidum,"Red-anther Wallaby-grass, Silvertop Wallaby-grass",,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Rytidosperma penicillatum,"Weeping Wallaby-grass, Slender Wallaby-grass",,0.0,0.0,0.0,1.0,3.1,3.1,1.0,1.0,2.1,1.0,0.0,0,3.1,,,
Rytidosperma semiannulare,"Wetland Wallaby-grass, Tasmanian Wallaby-grass",,0.0,0.0,0.0,1.0,0.0,0.0,2.1,0.0,1.0,0.0,0.0,0,2.1,,,
Schoenus apogon,Common Bog-sedge,,1.0,0.0,2.1,1.0,3.1,3.1,3.1,2.1,3.1,1.0,1.0,0,3.1,,,
Schoenus lepidosperma subsp. lepidosperma,Slender Bog-sedge,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Scutellaria humilis,Dwarf Skull Cap,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0,1.0,,,
Sebaea ovata,Yellow Sebaea,1,0.0,0.0,1.0,0.0,0.0,3.1,3.1,1.0,0.0,0.0,0.0,0,3.1,,,
Selaginella uliginosa,"Swamp Selaginella, Club Moss",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.1,0.0,0,2.1,,,
Senecio campylocarpus,Floodplain Fireweed,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,Victoria,Endangered
Senecio cunninghamii var. cunninghamii,"Branching Groundsel, Bushy Groundsel",1,0.0,0.0,2.1,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,,Victoria,Endangered
Senecio glomeratus subsp. glomeratus,Annual Fireweed,,2.1,0.0,2.1,2.1,2.1,2.1,1.0,2.1,2.1,1.0,0.0,0,2.1,,Victoria,Vulnerable
Senecio hispidulus,Rough Fireweed,1,2.1,0.0,2.1,2.1,2.1,3.1,1.0,2.1,2.1,1.0,0.0,0,3.1,,,
Senecio phelleus,"Stony Fireweed, Slender Fireweed",,0.0,0.0,0.0,0.0,1.0,2.1,0.0,0.0,1.0,0.0,0.0,0,2.1,,,
Senecio pinnatifolius var. lanceolatus,Lance-leaf Groundsel,,3.1,0.0,3.1,2.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Senecio prenanthoides,Beaked Fireweed,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Senecio quadridentatus,Cottony Fireweed,1,2.1,0.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,1.0,0,3.1,,,
Sigesbeckia orientalis subsp. orientalis,Indian Weed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0,2.1,,,
Siloxerus multiflorus,Small Wrinklewort,,1.0,0.0,0.0,0.0,1.0,2.1,1.0,1.0,0.0,0.0,0.0,0,2.1,,,
Solanum aviculare,Kangaroo Apple,,2.1,0.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,0.0,0,2.1,,,
Solanum laciniatum,Large Kangaroo-apple,,2.1,0.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,0.0,0,2.1,,,
Solenogyne dominii,Smooth Solenogyne,,0.0,0.0,0.0,0.0,1.0,3.1,3.2,2.1,2.1,0.0,0.0,0,3.2,,,
Spergularia marina,"Lesser Sea-spurrey, Salt Sand-spurrey",,2.1,3.1,2.1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,3.1,,,
Spergularia sp. 1,Native Sea-spurrey,,2.1,2.1,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Sporobolus virginicus,"Salt Couch, Sand Couch",,2.1,1.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Spyridium parvifolium,Australian Dusty Miller,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Stackhousia monogyna,"Candles, Creamy Stackhousiana",,0.0,0.0,0.0,0.0,1.0,3.1,1.0,1.0,2.1,0.0,0.0,0,3.1,,,
Stackhousia spathulata,Coast Stackhousia,,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Stackhousia viminea,"Slender Stackhousia, Yellow Stackhousia",,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.1,0.0,0,2.1,,,
Stellaria caespitosa,Matted Starwort,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,0,2.1,,,
Stellaria multiflora,Rayless Starwort,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,,,
Stenopetalum lineare,Narrow Thread-petal,,2.1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,2.1,,,
Stuartina muelleri,Spoon Cudweed,,1.0,0.0,0.0,0.0,2.1,3.1,3.1,1.0,0.0,0.0,0.0,0,3.1,,,
Stylidium armeria,Thrift-leaved Triggerplant,,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,1.0,0.0,0.0,0,2.1,,,
Stypandra glauca,Nodding Blue-lily,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Suaeda australis,Austral Seablite,1,1.0,3.2,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.2,,,
Swainsona behriana,"Southern Swainson-pea, Behr’s Swainson-pea",,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0,2.1,,Victoria,Endangered
Tecticornia halocnemoides subsp. halocnemoides,"Shrubby Samphire, Grey Glasswort",,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.2,,,
Tetragonia implexicoma,Bower Spinach,1,3.1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Teucrium corymbosum,Forest Germander,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Teucrium racemosum,Grey Germander,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,,,
Thelionema caespitosum,Blue Grass-lily,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Thelymitra antennifera,"Rabbit Ears, Lemon Orchid",,0.0,0.0,0.0,0.0,2.1,2.1,1.0,0.0,1.0,1.0,0.0,0,2.1,,,
Thelymitra carnea,Pink Sun-orchid,,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,1.0,0.0,0,2.1,,,
Thelymitra epipactoides,Metallic Sun-orchid,,1.0,0.0,0.0,2.1,3.1,2.1,0.0,0.0,0.0,2.1,0.0,0,3.1,Endangered,Victoria,Endangered
Thelymitra x truncata,Short Sun-orchid,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Themeda triandra,Kangaroo Grass,1,1.0,0.0,2.1,0.0,2.1,3.2,3.2,3.1,3.1,1.0,0.0,0,3.2,,,
Thysanotus patersonii,Twining Fringe-lily,,0.0,0.0,0.0,1.0,3.1,3.1,1.0,1.0,1.0,1.0,0.0,0,3.1,,,
Thysanotus tuberosus subsp. tuberosus,Common Fringe-lily,,0.0,0.0,0.0,0.0,3.1,2.1,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Triglochin minutissima,Tiny Arrowgrass,1,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,Victoria,Endangered
Triglochin nana,Dwarf Arrowgrass,,1.0,1.0,2.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Typha domingensis,"Narrow-leaf Bullrush, Narrow-leaf Cumbungi, Gumbung",,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0,3.1,,,
Typha orientalis,"Broad-leaf Bullrush, Broad-leaf Cumbungi",,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0,3.1,,,
Urtica incisa,"Scrub Nettle, Stinging Nettle",,0.0,0.0,1.0,3.1,0.0,0.0,0.0,0.0,1.0,0.0,2.1,0,3.1,,,
Utricularia australis,Yellow Bladderwort,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0,2.1,,,
