pipe_id,installation_year,material,pipe_age,diameter_inches,length_feet,soil_corrosivity,soil_moisture,num_previous_repairs,pressure_psi,zone,failure_probability,risk_score,risk_level,priority_rank,estimated_repair_cost,expected_loss,maintenance_action,urgency_days
PIPE-02534,1950,cast_iron,74,20,648.6,highly_corrosive,42.7,3,95.8,mixed,0.9302221178156211,93.0,CRITICAL,33,145935.0,135752.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04398,1952,cast_iron,72,8,309.2,moderately_corrosive,84.9,3,100.3,commercial,0.9302091140744505,93.0,CRITICAL,34,34785.0,32357.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01365,1971,asbestos_cement,53,8,401.4,moderately_corrosive,94.9,4,109.5,commercial,0.9298876878891387,93.0,CRITICAL,35,60210.0,55989.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00108,1946,asbestos_cement,78,8,207.0,mildly_corrosive,62.4,1,50.4,residential,0.929506215496613,93.0,CRITICAL,36,20700.0,19241.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01248,1946,cast_iron,78,8,280.9,mildly_corrosive,65.1,3,115.8,commercial,0.9292640539576849,92.9,CRITICAL,37,31601.0,29366.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03356,1969,cast_iron,55,6,1176.3,highly_corrosive,84.2,0,113.0,commercial,0.9292175210900916,92.9,CRITICAL,38,99250.0,92225.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01503,1948,cast_iron,76,12,590.1,highly_corrosive,57.5,1,104.6,residential,0.9287892401406515,92.9,CRITICAL,39,66386.0,61659.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04329,1962,cast_iron,62,12,1840.3,moderately_corrosive,63.1,2,81.7,industrial,0.9280041171341425,92.8,CRITICAL,40,269144.0,249767.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04284,1962,cast_iron,62,8,673.3,corrosive,32.1,3,45.4,mixed,0.9279600843697676,92.8,CRITICAL,41,60597.0,56232.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04290,1942,galvanized_steel,82,6,752.2,moderately_corrosive,60.5,0,87.3,residential,0.9276962874089876,92.8,CRITICAL,42,36670.0,34019.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03564,1922,pvc,102,12,1891.1,highly_corrosive,34.4,2,65.4,residential,0.9270696711661518,92.7,CRITICAL,43,113466.0,105191.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00899,1932,cast_iron,92,10,626.8,non_corrosive,81.3,2,61.6,residential,0.9261794994179915,92.6,CRITICAL,44,58762.0,54424.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00080,1944,cast_iron,80,10,1037.6,moderately_corrosive,25.2,2,75.8,residential,0.9261670815438441,92.6,CRITICAL,45,97275.0,90093.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02917,1967,asbestos_cement,57,8,1080.6,corrosive,85.7,3,55.4,residential,0.9260340354298128,92.6,CRITICAL,46,108060.0,100067.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03162,1942,cast_iron,82,10,594.5,mildly_corrosive,69.4,3,49.0,residential,0.9259397124179327,92.6,CRITICAL,47,55734.0,51606.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04394,1972,cast_iron,52,8,618.8,moderately_corrosive,93.3,2,86.4,residential,0.9259282125906529,92.6,CRITICAL,48,46410.0,42972.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01369,1951,cast_iron,73,8,1723.8,corrosive,52.0,2,72.9,commercial,0.9258603243452179,92.6,CRITICAL,49,193928.0,179550.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04137,1946,asbestos_cement,78,8,1261.6,moderately_corrosive,54.1,4,33.8,industrial,0.9258281664320456,92.6,CRITICAL,50,164008.0,151843.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01742,1955,asbestos_cement,69,12,347.0,moderately_corrosive,89.2,3,64.2,commercial,0.9256834279434455,92.6,CRITICAL,51,78075.0,72273.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01161,1967,galvanized_steel,57,8,269.7,corrosive,53.9,2,62.0,mixed,0.9256119229798578,92.6,CRITICAL,52,21037.0,19472.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02669,1963,asbestos_cement,61,12,1006.1,corrosive,61.2,0,112.3,residential,0.9256044062317496,92.6,CRITICAL,53,150915.0,139688.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01607,1968,cast_iron,56,10,1695.5,moderately_corrosive,59.2,2,88.0,residential,0.9249847566662508,92.5,CRITICAL,54,158953.0,147029.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00681,1967,galvanized_steel,57,8,781.6,corrosive,52.0,3,36.1,residential,0.9243010493004203,92.4,CRITICAL,55,50804.0,46958.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01245,1966,asbestos_cement,58,10,1658.0,highly_corrosive,84.3,1,94.0,industrial,0.9242025008998246,92.4,CRITICAL,56,269425.0,249003.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00461,1962,cast_iron,62,16,1294.1,corrosive,66.1,3,84.7,industrial,0.9240896079543296,92.4,CRITICAL,57,252349.0,233193.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04673,1967,asbestos_cement,57,12,1077.5,moderately_corrosive,30.7,2,49.2,residential,0.923599996513862,92.4,CRITICAL,58,161625.0,149277.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00841,1972,cast_iron,52,10,815.5,corrosive,94.1,4,105.6,mixed,0.9235333152570379,92.4,CRITICAL,59,91744.0,84729.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01405,1972,steel,52,12,218.4,corrosive,89.4,1,54.2,residential,0.9232296843300223,92.3,CRITICAL,60,21294.0,19659.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02647,1957,clay,67,10,424.5,mildly_corrosive,42.0,3,100.7,residential,0.9222875261860882,92.2,CRITICAL,61,31838.0,29364.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01297,1965,cast_iron,59,8,1775.9,moderately_corrosive,91.5,1,109.4,commercial,0.920985789117823,92.1,CRITICAL,62,199789.0,184003.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00506,1941,cast_iron,83,24,481.4,highly_corrosive,15.1,3,101.4,mixed,0.9204251077192477,92.0,CRITICAL,63,129978.0,119635.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02188,1963,asbestos_cement,61,8,289.6,corrosive,42.8,2,42.5,residential,0.9203488305046358,92.0,CRITICAL,64,28960.0,26653.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00975,1964,cast_iron,60,10,1269.1,moderately_corrosive,25.6,3,93.7,mixed,0.9198410963367377,92.0,CRITICAL,65,142774.0,131329.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00983,1929,cast_iron,95,8,900.3,highly_corrosive,74.9,1,45.7,residential,0.9198213212751801,92.0,CRITICAL,66,67522.0,62108.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04660,1942,asbestos_cement,82,16,1307.2,moderately_corrosive,56.5,4,95.5,mixed,0.9197618010753251,92.0,CRITICAL,67,313728.0,288555.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01916,1960,asbestos_cement,64,8,630.0,moderately_corrosive,36.0,0,37.8,residential,0.9192152781359111,91.9,CRITICAL,68,63000.0,57911.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02945,1964,asbestos_cement,60,10,1636.3,highly_corrosive,41.2,4,41.0,residential,0.9191864850049566,91.9,CRITICAL,69,204538.0,188009.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00335,1941,cast_iron,83,8,950.6,corrosive,26.1,1,70.5,commercial,0.9191102788264848,91.9,CRITICAL,70,106942.0,98291.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00651,1950,cast_iron,74,16,62.0,mildly_corrosive,32.6,5,75.0,residential,0.9185019097663343,91.9,CRITICAL,71,9300.0,8542.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02418,1941,cast_iron,83,12,69.8,highly_corrosive,21.8,5,82.0,residential,0.9180111778444205,91.8,CRITICAL,72,7852.0,7208.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02761,1947,cast_iron,77,10,278.1,moderately_corrosive,61.9,0,72.9,residential,0.917480110903308,91.7,CRITICAL,73,26072.0,23921.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00093,1970,asbestos_cement,54,12,1058.6,moderately_corrosive,77.2,0,55.8,industrial,0.9174182650650246,91.7,CRITICAL,74,206427.0,189380.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04408,1959,cast_iron,65,8,1808.6,moderately_corrosive,71.0,3,58.6,commercial,0.9173458138716313,91.7,CRITICAL,75,203468.0,186651.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01869,1958,cast_iron,66,8,1877.9,corrosive,93.9,2,117.0,residential,0.91701883856965,91.7,CRITICAL,76,140842.0,129155.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03224,1967,cast_iron,57,8,363.4,highly_corrosive,62.4,4,65.1,industrial,0.9168500704349818,91.7,CRITICAL,77,35432.0,32486.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00413,1958,clay,66,8,915.0,moderately_corrosive,70.4,4,68.5,residential,0.9168031231789325,91.7,CRITICAL,78,54900.0,50332.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00388,1932,cast_iron,92,8,328.2,moderately_corrosive,88.9,0,60.7,industrial,0.916669363152669,91.7,CRITICAL,79,32000.0,29333.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00564,1965,cast_iron,59,8,589.3,moderately_corrosive,43.9,3,66.9,commercial,0.9165906411512407,91.7,CRITICAL,80,66296.0,60766.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02053,1965,cast_iron,59,8,697.9,moderately_corrosive,55.5,2,55.9,mixed,0.9165865895905174,91.7,CRITICAL,81,62811.0,57572.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04336,1969,cast_iron,55,6,153.0,highly_corrosive,44.5,0,78.4,residential,0.9165539254817835,91.7,CRITICAL,82,8606.0,7888.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01057,1958,asbestos_cement,66,10,1270.9,moderately_corrosive,22.1,2,72.1,residential,0.916414417782608,91.6,CRITICAL,83,158863.0,145584.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00399,1966,asbestos_cement,58,8,1071.3,non_corrosive,93.3,5,104.5,residential,0.9163475307393465,91.6,CRITICAL,84,107130.0,98168.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03750,1956,hdpe,68,4,1155.7,corrosive,78.6,4,59.9,residential,0.916087619915206,91.6,CRITICAL,85,20225.0,18528.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01191,1973,cast_iron,51,6,1331.2,corrosive,52.9,2,88.3,residential,0.9159532839961215,91.6,CRITICAL,86,74880.0,68587.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04925,1969,cast_iron,55,6,1480.7,moderately_corrosive,78.4,2,53.5,industrial,0.9156526813757631,91.6,CRITICAL,87,108276.0,99143.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01402,1932,cast_iron,92,6,1194.6,moderately_corrosive,46.4,4,37.2,industrial,0.9155921075215959,91.6,CRITICAL,88,87355.0,79982.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00404,1954,galvanized_steel,70,8,243.7,moderately_corrosive,59.1,0,76.6,residential,0.9153188363877234,91.5,CRITICAL,89,15840.0,14499.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00355,1958,cast_iron,66,16,933.1,mildly_corrosive,48.7,2,110.8,residential,0.9146720704207081,91.5,CRITICAL,90,139965.0,128022.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00743,1960,asbestos_cement,64,6,1965.4,corrosive,48.3,1,97.1,mixed,0.9144714088397227,91.4,CRITICAL,91,176886.0,161757.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01970,1957,cast_iron,67,10,692.4,corrosive,31.1,3,69.1,residential,0.914438125941895,91.4,CRITICAL,92,64912.0,59358.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00431,1964,cast_iron,60,4,1464.3,corrosive,27.8,3,49.4,residential,0.9143539521172774,91.4,CRITICAL,93,54911.0,50208.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00087,1973,asbestos_cement,51,12,950.9,highly_corrosive,67.0,3,46.2,mixed,0.9138152817522015,91.4,CRITICAL,94,171162.0,156410.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03941,1925,asbestos_cement,99,10,1256.5,corrosive,72.4,2,56.9,residential,0.9137956709218211,91.4,CRITICAL,95,157062.0,143523.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03922,1924,pvc,100,12,1363.6,corrosive,42.9,3,65.0,industrial,0.9135969614131882,91.4,CRITICAL,96,106361.0,97171.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00939,1961,cast_iron,63,12,1038.6,moderately_corrosive,56.6,4,43.5,residential,0.9135436889835786,91.4,CRITICAL,97,116842.0,106740.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02152,1932,cast_iron,92,6,988.9,mildly_corrosive,33.7,2,88.9,industrial,0.9131193844851572,91.3,CRITICAL,98,72313.0,66030.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02093,1947,ductile_iron,77,6,332.0,highly_corrosive,63.2,0,87.6,commercial,0.9128829460123523,91.3,CRITICAL,99,22410.0,20458.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01971,1966,cast_iron,58,16,1390.1,corrosive,79.0,2,105.6,commercial,0.9127254714770089,91.3,CRITICAL,100,312772.0,285475.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00314,1926,clay,98,16,916.9,corrosive,81.6,0,82.1,mixed,0.9124401404182,91.2,CRITICAL,101,132034.0,120473.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00071,1961,asbestos_cement,63,16,1554.0,highly_corrosive,53.1,3,97.5,residential,0.9120443672668634,91.2,CRITICAL,102,310800.0,283463.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04268,1967,cast_iron,57,12,1323.6,highly_corrosive,79.4,2,38.5,industrial,0.9114362078104802,91.1,CRITICAL,103,193576.0,176432.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00011,1970,cast_iron,54,6,654.4,moderately_corrosive,86.1,1,64.8,residential,0.911300090045012,91.1,CRITICAL,104,36810.0,33545.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01749,1940,asbestos_cement,84,10,1692.9,mildly_corrosive,48.9,1,46.1,industrial,0.9112885370182761,91.1,CRITICAL,105,275096.0,250692.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00471,1961,cast_iron,63,12,1032.4,mildly_corrosive,47.6,1,89.7,industrial,0.9107732537573544,91.1,CRITICAL,106,150989.0,137517.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02517,1935,cast_iron,89,6,263.5,non_corrosive,86.8,0,79.8,residential,0.9103226556356655,91.0,CRITICAL,107,14822.0,13493.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01004,1963,asbestos_cement,61,8,215.2,non_corrosive,74.6,2,111.7,residential,0.9099062981955472,91.0,CRITICAL,108,21520.0,19581.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00347,1954,steel,70,24,287.6,highly_corrosive,74.5,4,100.7,commercial,0.909863336558004,91.0,CRITICAL,109,84123.0,76540.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02380,1951,galvanized_steel,73,12,1735.8,mildly_corrosive,86.4,3,48.7,mixed,0.90906335388666,90.9,CRITICAL,110,203089.0,184621.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02166,1967,clay,57,6,571.5,corrosive,64.5,3,62.7,residential,0.9086185123630108,90.9,CRITICAL,111,25718.0,23368.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01651,1928,cast_iron,96,10,1511.2,corrosive,59.4,3,91.5,mixed,0.9082354121691939,90.8,CRITICAL,112,170010.0,154409.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01832,1967,concrete,57,10,156.4,highly_corrosive,94.1,1,85.1,residential,0.9081681451163608,90.8,CRITICAL,113,10752.0,9765.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04853,1962,asbestos_cement,62,6,343.1,moderately_corrosive,26.9,1,95.1,mixed,0.908063572771766,90.8,CRITICAL,114,30879.0,28040.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02027,1960,asbestos_cement,64,10,79.2,moderately_corrosive,94.9,2,77.7,commercial,0.9080388743441196,90.8,CRITICAL,115,14850.0,13484.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04412,1951,cast_iron,73,8,1979.4,mildly_corrosive,25.2,1,85.2,residential,0.9080283957864975,90.8,CRITICAL,116,148455.0,134801.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01765,1968,cast_iron,56,8,722.0,moderately_corrosive,77.8,2,85.1,residential,0.907933671294129,90.8,CRITICAL,117,54150.0,49165.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04010,1960,cast_iron,64,4,482.2,moderately_corrosive,73.6,0,86.1,mixed,0.9076636781990661,90.8,CRITICAL,118,21699.0,19695.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02667,1972,cast_iron,52,4,1758.0,corrosive,69.6,2,39.9,residential,0.9076099992021107,90.8,CRITICAL,119,65925.0,59834.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02157,1949,cast_iron,75,6,1947.3,mildly_corrosive,55.3,1,83.5,residential,0.9075357142625144,90.8,CRITICAL,120,109536.0,99408.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04136,1960,cast_iron,64,10,463.8,highly_corrosive,64.1,0,102.6,residential,0.907477384536035,90.7,CRITICAL,121,43481.0,39458.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03965,1971,cast_iron,53,8,1084.7,highly_corrosive,90.2,1,60.0,industrial,0.9074232521039456,90.7,CRITICAL,122,105758.0,95967.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03877,1923,cast_iron,101,12,1940.1,highly_corrosive,27.9,2,82.4,residential,0.9072161715396493,90.7,CRITICAL,123,218261.0,198010.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00810,1971,cast_iron,53,4,615.7,corrosive,65.9,4,94.6,mixed,0.907039607934568,90.7,CRITICAL,124,27707.0,25131.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00128,1969,copper,55,6,94.2,corrosive,52.8,1,105.3,mixed,0.9069491986725675,90.7,CRITICAL,125,5935.0,5383.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03799,1934,cast_iron,90,16,198.3,moderately_corrosive,34.8,1,60.7,commercial,0.9069183885132062,90.7,CRITICAL,126,44618.0,40465.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03631,1937,asbestos_cement,87,8,1779.2,moderately_corrosive,26.6,1,61.9,industrial,0.9067871258038789,90.7,CRITICAL,127,231296.0,209736.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01861,1962,asbestos_cement,62,16,1228.4,moderately_corrosive,67.0,0,86.8,industrial,0.9066609644352989,90.7,CRITICAL,128,319384.0,289573.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03481,1938,cast_iron,86,10,1529.5,moderately_corrosive,17.7,3,52.0,industrial,0.9065615810099262,90.7,CRITICAL,129,186408.0,168990.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02833,1942,cast_iron,82,4,792.4,mildly_corrosive,45.4,0,103.3,residential,0.9064481646127314,90.6,CRITICAL,130,29715.0,26935.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04987,1942,asbestos_cement,82,12,184.0,moderately_corrosive,50.7,3,103.8,industrial,0.906185857650604,90.6,CRITICAL,131,35880.0,32514.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04252,1932,cast_iron,92,12,461.8,mildly_corrosive,88.4,0,79.6,mixed,0.9060672952554736,90.6,CRITICAL,132,62343.0,56487.0,IMMEDIATE REPLACEMENT - within 30 days,30
