pipe_id,source,material,pipe_age,diameter_inches,length_feet,soil_corrosivity,num_previous_repairs,pressure_psi,zone,failure_probability,risk_score,risk_level,priority_rank,repair_cost,expected_loss,action
SYR-0746,Syracuse_Real_Data,pvc,92,4,893.3,highly_corrosive,2,52.7,mixed,0.9524194971821149,95.2,CRITICAL,45,21439.0,20419.0,Immediate replacement within 30 days
SYR-0166,Syracuse_Real_Data,galvanized_steel,86,10,1543.9,corrosive,1,43.8,industrial,0.9522937766269892,95.2,CRITICAL,46,163074.0,155294.0,Immediate replacement within 30 days
SYR-0108,Syracuse_Real_Data,asbestos_cement,78,12,1902.9,corrosive,2,91.5,commercial,0.9521028199213091,95.2,CRITICAL,47,428152.0,407645.0,Immediate replacement within 30 days
SYR-0243,Syracuse_Real_Data,asbestos_cement,95,8,1678.0,moderately_corrosive,1,62.2,residential,0.9519643839079664,95.2,CRITICAL,48,167800.0,159740.0,Immediate replacement within 30 days
SYR-0248,Syracuse_Real_Data,cast_iron,101,20,585.6,corrosive,5,59.8,commercial,0.9516506582965476,95.2,CRITICAL,49,164700.0,156737.0,Immediate replacement within 30 days
SYR-0337,Syracuse_Real_Data,cast_iron,89,8,1542.8,corrosive,1,91.6,residential,0.9515574480319962,95.2,CRITICAL,50,115710.0,110105.0,Immediate replacement within 30 days
SYR-0710,Syracuse_Real_Data,steel,69,20,1429.5,highly_corrosive,0,66.1,mixed,0.9505900334278217,95.1,CRITICAL,51,278752.0,264979.0,Immediate replacement within 30 days
SYR-0436,Syracuse_Real_Data,cast_iron,71,8,1335.8,moderately_corrosive,1,70.0,mixed,0.950271599076184,95.0,CRITICAL,52,120222.0,114244.0,Immediate replacement within 30 days
SYR-0179,Syracuse_Real_Data,asbestos_cement,97,12,284.7,corrosive,6,32.3,residential,0.9500021221931383,95.0,CRITICAL,53,42705.0,40570.0,Immediate replacement within 30 days
SYR-0218,Syracuse_Real_Data,steel,77,20,967.0,highly_corrosive,0,115.7,mixed,0.9498144281763249,95.0,CRITICAL,54,188565.0,179102.0,Immediate replacement within 30 days
SYR-0090,Syracuse_Real_Data,cast_iron,53,12,1072.9,moderately_corrosive,1,56.8,residential,0.9496786809826132,95.0,CRITICAL,55,120701.0,114627.0,Immediate replacement within 30 days
SYR-0193,Syracuse_Real_Data,ductile_iron,93,12,242.1,highly_corrosive,1,90.4,mixed,0.9493364549790029,94.9,CRITICAL,56,26147.0,24822.0,Immediate replacement within 30 days
SYR-0972,Syracuse_Real_Data,galvanized_steel,98,20,1904.7,corrosive,5,101.6,residential,0.948217015129288,94.8,CRITICAL,57,309514.0,293486.0,Immediate replacement within 30 days
SYR-0413,Syracuse_Real_Data,cast_iron,98,24,1245.0,moderately_corrosive,1,107.2,residential,0.94773181286108,94.8,CRITICAL,58,280125.0,265483.0,Immediate replacement within 30 days
SYR-0747,Syracuse_Real_Data,cast_iron,50,16,1070.4,highly_corrosive,2,41.9,residential,0.9465813902970202,94.7,CRITICAL,59,160560.0,151983.0,Immediate replacement within 30 days
SYR-0116,Syracuse_Real_Data,concrete,90,16,1332.3,corrosive,2,110.0,commercial,0.9465297238510189,94.7,CRITICAL,60,219830.0,208076.0,Immediate replacement within 30 days
SYR-0980,Syracuse_Real_Data,galvanized_steel,65,8,1430.3,mildly_corrosive,0,67.9,residential,0.9458833025331416,94.6,CRITICAL,61,92970.0,87939.0,Immediate replacement within 30 days
SYR-0796,Syracuse_Real_Data,cast_iron,89,8,1415.0,moderately_corrosive,2,65.9,residential,0.9452691981783545,94.5,CRITICAL,62,106125.0,100317.0,Immediate replacement within 30 days
SYR-0729,Syracuse_Real_Data,galvanized_steel,41,10,638.1,corrosive,2,74.4,mixed,0.9439624435325856,94.4,CRITICAL,63,62215.0,58729.0,Immediate replacement within 30 days
SYR-0938,Syracuse_Real_Data,galvanized_steel,96,6,1367.0,moderately_corrosive,0,97.9,commercial,0.9432952964753543,94.3,CRITICAL,64,99962.0,94294.0,Immediate replacement within 30 days
SYR-0807,Syracuse_Real_Data,steel,96,20,137.9,moderately_corrosive,0,116.9,residential,0.9430659302298513,94.3,CRITICAL,65,22409.0,21133.0,Immediate replacement within 30 days
SYR-0141,Syracuse_Real_Data,galvanized_steel,101,8,907.9,moderately_corrosive,1,49.0,commercial,0.9429814293498602,94.3,CRITICAL,66,88520.0,83473.0,Immediate replacement within 30 days
SYR-0028,Syracuse_Real_Data,galvanized_steel,56,4,1207.9,corrosive,3,54.7,mixed,0.9428378099381957,94.3,CRITICAL,67,47108.0,44415.0,Immediate replacement within 30 days
SYR-0576,Syracuse_Real_Data,cast_iron,98,16,938.0,highly_corrosive,2,91.0,mixed,0.942284317315294,94.2,CRITICAL,68,168840.0,159095.0,Immediate replacement within 30 days
SYR-0575,Syracuse_Real_Data,cast_iron,88,16,939.1,non_corrosive,2,42.0,residential,0.9417565999920271,94.2,CRITICAL,69,140865.0,132661.0,Immediate replacement within 30 days
SYR-0718,Syracuse_Real_Data,steel,99,20,389.5,corrosive,0,53.9,residential,0.9411344276835778,94.1,CRITICAL,70,63294.0,59568.0,Immediate replacement within 30 days
SYR-0202,Syracuse_Real_Data,cast_iron,38,10,529.9,highly_corrosive,2,68.8,commercial,0.9408170089715178,94.1,CRITICAL,71,74517.0,70107.0,Immediate replacement within 30 days
SYR-0240,Syracuse_Real_Data,cast_iron,42,16,1283.8,moderately_corrosive,1,110.5,mixed,0.9407536550644715,94.1,CRITICAL,72,231084.0,217393.0,Immediate replacement within 30 days
SYR-0128,Syracuse_Real_Data,ductile_iron,88,12,400.4,corrosive,2,99.6,industrial,0.9392762587186674,93.9,CRITICAL,73,46847.0,44002.0,Immediate replacement within 30 days
SYR-0697,Syracuse_Real_Data,cast_iron,44,16,1900.2,highly_corrosive,2,98.3,commercial,0.9391817151211596,93.9,CRITICAL,74,427545.0,401542.0,Immediate replacement within 30 days
SYR-0906,Syracuse_Real_Data,cast_iron,93,10,1283.6,highly_corrosive,3,68.5,mixed,0.9389433975124626,93.9,CRITICAL,75,144405.0,135588.0,Immediate replacement within 30 days
SYR-0402,Syracuse_Real_Data,cast_iron,92,16,402.6,highly_corrosive,3,115.2,commercial,0.9386218978603984,93.9,CRITICAL,76,90585.0,85025.0,Immediate replacement within 30 days
SYR-0638,Syracuse_Real_Data,cast_iron,42,24,1054.4,corrosive,0,92.9,industrial,0.9378450451340128,93.8,CRITICAL,77,308412.0,289243.0,Immediate replacement within 30 days
SYR-0305,Syracuse_Real_Data,steel,76,8,552.4,corrosive,2,107.4,commercial,0.9376906515789957,93.8,CRITICAL,78,53859.0,50503.0,Immediate replacement within 30 days
SYR-0366,Syracuse_Real_Data,cast_iron,52,16,494.3,corrosive,2,73.3,commercial,0.93768035889835,93.8,CRITICAL,79,111218.0,104287.0,Immediate replacement within 30 days
SYR-0398,Syracuse_Real_Data,cast_iron,54,12,1720.3,corrosive,2,79.4,commercial,0.9376796100356181,93.8,CRITICAL,80,290301.0,272209.0,Immediate replacement within 30 days
SYR-0250,Syracuse_Real_Data,steel,88,8,1324.6,highly_corrosive,2,90.6,residential,0.9375342224286262,93.8,CRITICAL,81,86099.0,80721.0,Immediate replacement within 30 days
SYR-0673,Syracuse_Real_Data,galvanized_steel,36,6,539.4,corrosive,1,87.6,commercial,0.9374300329951476,93.7,CRITICAL,82,39444.0,36976.0,Immediate replacement within 30 days
SYR-0738,Syracuse_Real_Data,cast_iron,86,24,1137.7,moderately_corrosive,0,48.6,residential,0.9371270784468053,93.7,CRITICAL,83,255982.0,239888.0,Immediate replacement within 30 days
SYR-0662,Syracuse_Real_Data,pvc,102,6,1612.7,non_corrosive,2,64.9,industrial,0.9369477502520694,93.7,CRITICAL,84,62895.0,58929.0,Immediate replacement within 30 days
SYR-0370,Syracuse_Real_Data,cast_iron,39,6,1547.8,highly_corrosive,0,104.5,industrial,0.9368205675800114,93.7,CRITICAL,85,113183.0,106032.0,Immediate replacement within 30 days
SYR-0716,Syracuse_Real_Data,clay,94,6,1271.0,corrosive,0,35.9,commercial,0.9363890494607523,93.6,CRITICAL,86,85792.0,80335.0,Immediate replacement within 30 days
SYR-0826,Syracuse_Real_Data,pvc,98,10,1737.1,corrosive,1,75.7,commercial,0.9362647506799128,93.6,CRITICAL,87,130282.0,121978.0,Immediate replacement within 30 days
SYR-0054,Syracuse_Real_Data,asbestos_cement,89,10,675.4,corrosive,0,38.3,industrial,0.936061859434076,93.6,CRITICAL,88,109752.0,102735.0,Immediate replacement within 30 days
SYR-0298,Syracuse_Real_Data,cast_iron,44,20,479.0,highly_corrosive,4,85.6,residential,0.9359590572674712,93.6,CRITICAL,89,89812.0,84060.0,Immediate replacement within 30 days
SYR-0811,Syracuse_Real_Data,steel,104,16,968.3,moderately_corrosive,4,69.4,mixed,0.9358773353038561,93.6,CRITICAL,90,151055.0,141369.0,Immediate replacement within 30 days
SYR-0111,Syracuse_Real_Data,galvanized_steel,46,20,1332.3,corrosive,2,86.3,commercial,0.9355346380788364,93.6,CRITICAL,91,324748.0,303813.0,Immediate replacement within 30 days
SYR-0601,Syracuse_Real_Data,cast_iron,40,8,1936.4,corrosive,1,63.8,mixed,0.9350874855935638,93.5,CRITICAL,92,174276.0,162963.0,Immediate replacement within 30 days
SYR-0155,Syracuse_Real_Data,steel,104,20,241.3,moderately_corrosive,1,88.3,residential,0.9345043745129391,93.5,CRITICAL,93,39211.0,36643.0,Immediate replacement within 30 days
SYR-0496,Syracuse_Real_Data,steel,47,6,518.1,highly_corrosive,3,97.1,industrial,0.9343050845301648,93.4,CRITICAL,94,32835.0,30678.0,Immediate replacement within 30 days
SYR-0152,Syracuse_Real_Data,galvanized_steel,44,4,1415.4,highly_corrosive,1,47.6,commercial,0.9342388909783339,93.4,CRITICAL,95,69001.0,64463.0,Immediate replacement within 30 days
SYR-0957,Syracuse_Real_Data,steel,60,10,1874.9,corrosive,4,89.8,residential,0.9341639352304368,93.4,CRITICAL,96,152336.0,142307.0,Immediate replacement within 30 days
SYR-0780,Syracuse_Real_Data,galvanized_steel,67,16,1720.5,corrosive,0,99.5,residential,0.9339918771686628,93.4,CRITICAL,97,223665.0,208901.0,Immediate replacement within 30 days
SYR-0537,Syracuse_Real_Data,cast_iron,85,10,1028.9,moderately_corrosive,2,96.6,residential,0.9335924637521846,93.4,CRITICAL,98,96459.0,90053.0,Immediate replacement within 30 days
SYR-0921,Syracuse_Real_Data,steel,90,6,1178.5,corrosive,0,79.2,residential,0.9329677902020819,93.3,CRITICAL,99,57452.0,53601.0,Immediate replacement within 30 days
SYR-0274,Syracuse_Real_Data,cast_iron,95,24,1131.7,highly_corrosive,1,85.3,commercial,0.9322399986434549,93.2,CRITICAL,100,381949.0,356068.0,Immediate replacement within 30 days
SYR-0229,Syracuse_Real_Data,clay,92,20,124.9,highly_corrosive,0,67.9,mixed,0.9316110220019528,93.2,CRITICAL,101,22482.0,20944.0,Immediate replacement within 30 days
SYR-0685,Syracuse_Real_Data,cast_iron,94,16,1984.9,highly_corrosive,1,66.3,residential,0.9315811126974433,93.2,CRITICAL,102,297735.0,277364.0,Immediate replacement within 30 days
SYR-0306,Syracuse_Real_Data,galvanized_steel,103,4,1307.8,highly_corrosive,0,113.4,mixed,0.9311370305455552,93.1,CRITICAL,103,51004.0,47492.0,Immediate replacement within 30 days
SYR-0948,Syracuse_Real_Data,cast_iron,94,6,699.4,highly_corrosive,1,116.0,residential,0.9309738560347843,93.1,CRITICAL,104,39341.0,36625.0,Immediate replacement within 30 days
SYR-0124,Syracuse_Real_Data,galvanized_steel,39,4,455.8,mildly_corrosive,2,108.3,industrial,0.9308848639315584,93.1,CRITICAL,105,19258.0,17927.0,Immediate replacement within 30 days
SYR-0603,Syracuse_Real_Data,cast_iron,42,24,1340.2,highly_corrosive,0,102.2,industrial,0.9307368911109795,93.1,CRITICAL,106,392008.0,364856.0,Immediate replacement within 30 days
SYR-0861,Syracuse_Real_Data,asbestos_cement,84,10,97.1,moderately_corrosive,2,75.0,residential,0.9307286950557655,93.1,CRITICAL,107,12138.0,11297.0,Immediate replacement within 30 days
SYR-0781,Syracuse_Real_Data,cast_iron,71,6,1169.2,non_corrosive,0,67.1,mixed,0.9306201101091492,93.1,CRITICAL,108,78921.0,73445.0,Immediate replacement within 30 days
SYR-0171,Syracuse_Real_Data,steel,71,6,1113.6,highly_corrosive,0,84.1,commercial,0.9305381045121827,93.1,CRITICAL,109,81432.0,75776.0,Immediate replacement within 30 days
SYR-0001,Syracuse_Real_Data,cast_iron,48,20,261.0,corrosive,2,100.1,mixed,0.9304627617363082,93.0,CRITICAL,110,58725.0,54641.0,Immediate replacement within 30 days
SYR-0518,Syracuse_Real_Data,copper,81,10,1771.8,corrosive,3,93.1,commercial,0.930299233035473,93.0,CRITICAL,111,232549.0,216340.0,Immediate replacement within 30 days
SYR-0679,Syracuse_Real_Data,cast_iron,99,4,838.2,corrosive,1,76.4,commercial,0.9301135956489778,93.0,CRITICAL,112,47149.0,43854.0,Immediate replacement within 30 days
SYR-0217,Syracuse_Real_Data,cast_iron,48,16,1976.6,corrosive,3,104.2,commercial,0.9300648077852051,93.0,CRITICAL,113,444735.0,413632.0,Immediate replacement within 30 days
SYR-0821,Syracuse_Real_Data,cast_iron,85,20,1301.1,moderately_corrosive,2,53.9,industrial,0.9300388962811446,93.0,CRITICAL,114,317143.0,294955.0,Immediate replacement within 30 days
SYR-0810,Syracuse_Real_Data,cast_iron,42,6,904.0,highly_corrosive,1,92.3,commercial,0.9295063593838019,93.0,CRITICAL,115,76275.0,70898.0,Immediate replacement within 30 days
SYR-0885,Syracuse_Real_Data,cast_iron,86,16,56.9,corrosive,1,92.9,commercial,0.9288234092519694,92.9,CRITICAL,116,12802.0,11891.0,Immediate replacement within 30 days
SYR-0352,Syracuse_Real_Data,concrete,89,20,919.6,non_corrosive,2,89.8,residential,0.9288192147938579,92.9,CRITICAL,117,126445.0,117445.0,Immediate replacement within 30 days
SYR-0808,Syracuse_Real_Data,cast_iron,95,6,1463.9,mildly_corrosive,3,106.7,commercial,0.9287962301070595,92.9,CRITICAL,118,123517.0,114722.0,Immediate replacement within 30 days
SYR-0302,Syracuse_Real_Data,hdpe,61,20,549.0,highly_corrosive,2,58.1,residential,0.9287849782457587,92.9,CRITICAL,119,48038.0,44617.0,Immediate replacement within 30 days
SYR-0031,Syracuse_Real_Data,cast_iron,62,10,785.4,highly_corrosive,6,87.2,industrial,0.9269265443732047,92.7,CRITICAL,120,95721.0,88726.0,Immediate replacement within 30 days
SYR-0646,Syracuse_Real_Data,asbestos_cement,90,6,1534.7,corrosive,0,108.3,commercial,0.9267748636139157,92.7,CRITICAL,121,172654.0,160011.0,Immediate replacement within 30 days
SYR-0784,Syracuse_Real_Data,steel,48,10,1154.8,corrosive,5,39.8,residential,0.9264721352404257,92.6,CRITICAL,122,93828.0,86929.0,Immediate replacement within 30 days
SYR-0415,Syracuse_Real_Data,pvc,66,12,897.6,highly_corrosive,1,39.4,commercial,0.9261990796938395,92.6,CRITICAL,123,80784.0,74822.0,Immediate replacement within 30 days
SYR-0954,Syracuse_Real_Data,asbestos_cement,96,12,1932.0,highly_corrosive,1,39.5,industrial,0.9253512893139408,92.5,CRITICAL,124,376740.0,348617.0,Immediate replacement within 30 days
SYR-0122,Syracuse_Real_Data,hdpe,92,20,1351.1,mildly_corrosive,1,80.7,commercial,0.9248869676234763,92.5,CRITICAL,125,177332.0,164012.0,Immediate replacement within 30 days
SYR-0542,Syracuse_Real_Data,cast_iron,64,6,1428.4,moderately_corrosive,1,89.4,commercial,0.9247138950734151,92.5,CRITICAL,126,120521.0,111447.0,Immediate replacement within 30 days
SYR-0788,Syracuse_Real_Data,steel,51,8,1403.1,highly_corrosive,2,50.3,mixed,0.9246245918587327,92.5,CRITICAL,127,109442.0,101193.0,Immediate replacement within 30 days
SYR-0430,Syracuse_Real_Data,galvanized_steel,37,12,1009.6,corrosive,1,56.4,residential,0.9246151786011997,92.5,CRITICAL,128,98436.0,91015.0,Immediate replacement within 30 days
SYR-0615,Syracuse_Real_Data,ductile_iron,88,6,1794.8,corrosive,3,95.2,commercial,0.9242240694489968,92.4,CRITICAL,129,121149.0,111969.0,Immediate replacement within 30 days
SYR-0853,Syracuse_Real_Data,galvanized_steel,47,20,1216.4,moderately_corrosive,1,72.2,commercial,0.9241408999175966,92.4,CRITICAL,130,296498.0,274006.0,Immediate replacement within 30 days
SYR-0063,Syracuse_Real_Data,asbestos_cement,82,24,661.0,corrosive,1,81.6,industrial,0.9237455582627323,92.4,CRITICAL,131,257790.0,238132.0,Immediate replacement within 30 days
SYR-0749,Syracuse_Real_Data,asbestos_cement,93,20,314.9,corrosive,0,113.3,commercial,0.9236986134355621,92.4,CRITICAL,132,118087.0,109077.0,Immediate replacement within 30 days
SYR-0636,Syracuse_Real_Data,cast_iron,53,12,1404.1,corrosive,3,39.6,commercial,0.9232150428679762,92.3,CRITICAL,133,236942.0,218748.0,Immediate replacement within 30 days
SYR-0448,Syracuse_Real_Data,galvanized_steel,75,24,331.1,corrosive,2,44.1,residential,0.9231770949558075,92.3,CRITICAL,134,64564.0,59604.0,Immediate replacement within 30 days
SYR-0127,Syracuse_Real_Data,cast_iron,84,10,481.7,corrosive,1,61.9,residential,0.9230655816353586,92.3,CRITICAL,135,45159.0,41685.0,Immediate replacement within 30 days
SYR-0246,Syracuse_Real_Data,steel,96,16,600.3,moderately_corrosive,1,55.6,commercial,0.9226058519393956,92.3,CRITICAL,136,117058.0,107998.0,Immediate replacement within 30 days
SYR-0151,Syracuse_Real_Data,steel,94,20,839.9,moderately_corrosive,3,109.8,residential,0.9221675949273579,92.2,CRITICAL,137,136484.0,125861.0,Immediate replacement within 30 days
SYR-0610,Syracuse_Real_Data,concrete,72,20,1289.1,highly_corrosive,0,63.8,residential,0.9219464435454737,92.2,CRITICAL,138,177251.0,163416.0,Immediate replacement within 30 days
SYR-0759,Syracuse_Real_Data,cast_iron,91,16,87.2,moderately_corrosive,1,115.0,mixed,0.921911917438539,92.2,CRITICAL,139,15696.0,14470.0,Immediate replacement within 30 days
SYR-0581,Syracuse_Real_Data,cast_iron,54,8,300.6,highly_corrosive,0,106.6,residential,0.9217429061828443,92.2,CRITICAL,140,22545.0,20781.0,Immediate replacement within 30 days
SYR-0495,Syracuse_Real_Data,steel,54,20,1309.6,highly_corrosive,3,62.5,commercial,0.9216533857258232,92.2,CRITICAL,141,319215.0,294206.0,Immediate replacement within 30 days
SYR-0800,Syracuse_Real_Data,cast_iron,95,12,549.2,mildly_corrosive,0,95.5,residential,0.9214900005718683,92.1,CRITICAL,142,61785.0,56934.0,Immediate replacement within 30 days
SYR-0797,Syracuse_Real_Data,steel,96,24,1728.2,corrosive,0,53.2,residential,0.9211838897418767,92.1,CRITICAL,143,336999.0,310438.0,Immediate replacement within 30 days
SYR-0997,Syracuse_Real_Data,hdpe,96,16,1421.4,moderately_corrosive,0,98.0,industrial,0.9199169112055807,92.0,CRITICAL,144,129347.0,118988.0,Immediate replacement within 30 days
SYR-0391,Syracuse_Real_Data,cast_iron,104,8,193.4,highly_corrosive,3,61.7,residential,0.9197122143920882,92.0,CRITICAL,145,14505.0,13340.0,Immediate replacement within 30 days
