Order_ID,User_ID,Restaurant_ID,Driver_ID,Item_Name,Quantity,Total_Price,Order_Time,Delivery_Time,Delivery_Duration_Minutes,City,Payment_Method,Order_Status,Driver_Vehicle,Restaurant_Lat,Restaurant_Lon,Customer_Lat,Customer_Lon,Driver_Lat,Driver_Lon,Delivery_Distance_km,Traffic_Level,Driver_Availability
11,U7405,890,112,Sushi,2,296.24,04-06-2025 22:11,04-06-2025 22:43,32,Assiut,Wallet,Delivered,Car,27.16172338,31.16412625,27.16664047,31.19045621,27.20041808,31.1948395,2.66584235,Low,Online
12,U8337,164,471,Burger,1,111.55,02-06-2025 16:33,02-06-2025 17:04,31,Tanta,Credit Card,Delivered,Car,30.80529639,31.01301113,30.76903369,31.00106083,30.78113678,31.01529058,4.17984627,High,Online
13,U5398,718,189,Burger,1,39.45,02-06-2025 04:17,02-06-2025 04:37,20,Giza,Cash,Cancelled,Bicycle,30.02639771,31.19871583,30.00055061,31.2179035,30.02838209,31.21055277,3.411164309,Low,Online
14,U9001,157,303,Sushi,1,116.96,08-06-2025 03:35,08-06-2025 04:03,28,Tanta,Credit Card,Delivered,Bicycle,30.77499356,30.99584366,30.78024656,31.00918633,30.80481007,30.97861588,1.403737005,Low,Online
15,U8797,563,340,Burger,4,562.72,06-06-2025 13:21,06-06-2025 13:57,36,Cairo,Credit Card,Cancelled,Motorbike,30.031673,31.22180202,30.03140246,31.22529476,30.03248639,31.22406643,0.338227399,Medium,Online
16,U4706,463,82,Salad,1,65.31,05-06-2025 20:23,05-06-2025 21:17,54,Alexandria,Wallet,Delivered,Motorbike,31.18743618,29.92582434,31.19856713,29.91898746,31.21656761,29.92968594,1.395591438,Low,Online
17,U9985,51,129,Pizza,1,39.1,14-06-2025 10:24,14-06-2025 11:18,54,Zagazig,Cash,Delivered,Motorbike,30.57986969,31.50381191,30.60066735,31.50432445,30.57370699,31.48455883,2.306203224,Medium,Online
18,U2654,114,285,Koshary,1,34.94,03-06-2025 02:34,03-06-2025 03:09,35,Alexandria,Credit Card,Delivered,Car,31.20109026,29.91329159,31.2131217,29.91616897,31.20097433,29.92517854,1.361853875,Low,Online
19,U3339,433,234,Salad,5,251,08-06-2025 23:17,08-06-2025 23:54,37,Assiut,Wallet,Delivered,Motorbike,27.1781778,31.18510775,27.1744853,31.17910704,27.19324477,31.17330314,0.721828124,Low,Offline
20,U4958,119,396,Shawarma,5,511.4,15-06-2025 18:14,15-06-2025 18:42,28,Assiut,Credit Card,Delivered,Car,27.17254917,31.17044946,27.1739668,31.20155615,27.17518603,31.18981697,3.086744075,High,Online
21,U4475,772,321,Sandwich,2,168.84,12-06-2025 07:02,12-06-2025 07:40,38,Giza,Wallet,Delivered,Motorbike,30.01757412,31.21992554,30.02293014,31.19333015,29.99937236,31.22471201,2.633374129,High,Online
22,U9036,295,441,Pizza,4,316.44,07-06-2025 14:17,07-06-2025 15:02,45,Cairo,Wallet,In Transit,Car,30.02997975,31.22633837,30.04100291,31.22067114,30.03724192,31.2365808,1.338637904,Medium,Online
23,U5581,525,359,Sushi,1,103.71,06-06-2025 01:02,06-06-2025 01:42,40,Alexandria,Credit Card,In Transit,Car,31.19178579,29.92330098,31.21890464,29.92335155,31.20328524,29.90140636,3.006752684,Low,Online
24,U2186,432,179,Salad,1,126.03,03-06-2025 20:43,03-06-2025 21:09,26,Assiut,Cash,Delivered,Motorbike,27.17555447,31.199676,27.17869816,31.17343651,27.17577579,31.17969478,2.623532929,Low,Online
25,U1250,410,16,Shawarma,2,65.88,08-06-2025 18:30,08-06-2025 19:11,41,Tanta,Cash,Delivered,Bicycle,30.7847428,30.97974342,30.77622723,31.01815533,30.79735032,31.01608681,3.796145264,High,Online
26,U9226,667,315,Shawarma,3,352.89,03-06-2025 23:29,04-06-2025 00:24,55,Assiut,Wallet,Delivered,Car,27.19230704,31.17920136,27.16129281,31.16704427,27.18880692,31.19937606,3.641629934,Low,Online
27,U6560,283,400,Fried Chicken,2,99.36,05-06-2025 21:51,05-06-2025 22:21,30,Assiut,Cash,Delivered,Bicycle,27.16888695,31.16909671,27.19906451,31.19336918,27.19023878,31.19044706,4.119050405,Low,Online
28,U6714,536,288,Shawarma,4,473.88,12-06-2025 14:36,12-06-2025 15:23,47,Giza,Credit Card,Delivered,Car,30.01366938,31.22524631,29.99784975,31.21768002,30.01745569,31.19101701,1.899519436,Medium,Online
29,U9034,376,175,Salad,5,308.2,06-06-2025 19:31,06-06-2025 20:20,49,Assiut,Wallet,Cancelled,Car,27.18459658,31.1781031,27.16790707,31.19297408,27.16488248,31.17416661,2.364686462,High,Online
30,U6352,73,268,Koshary,3,350.37,02-06-2025 06:29,02-06-2025 07:20,51,Cairo,Cash,Delivered,Bicycle,30.02625802,31.22423364,30.02593348,31.242529,30.06274445,31.23531818,1.765156367,Low,Online
31,U3527,387,130,Pasta,1,135.15,10-06-2025 00:57,10-06-2025 01:44,47,Tanta,Wallet,Delivered,Bicycle,30.79080179,31.00525906,30.7850975,30.98136627,30.77467399,30.99619339,2.372728851,Low,Online
32,U5680,31,247,Koshary,3,383.04,07-06-2025 05:15,07-06-2025 05:54,39,Assiut,Credit Card,Delivered,Motorbike,27.16772096,31.18542771,27.17723544,31.17673248,27.1610098,31.17112642,1.361631036,Low,Online
33,U7501,552,468,Salad,3,297.96,12-06-2025 22:50,12-06-2025 23:15,25,Alexandria,Credit Card,Delivered,Bicycle,31.18270206,29.93137747,31.21273066,29.9029155,31.21591158,29.90282993,4.294518574,Low,Online
34,U5249,479,299,Sushi,5,224.85,02-06-2025 11:34,02-06-2025 12:08,34,Mansoura,Cash,Delivered,Motorbike,31.05585542,31.39162273,31.04011433,31.38780484,31.05277292,31.37166559,1.78286477,Medium,Online
35,U2503,955,477,Pizza,3,193.32,04-06-2025 05:35,04-06-2025 06:15,40,Assiut,Credit Card,Delivered,Car,27.19952528,31.20268679,27.18419174,31.17268983,27.19988323,31.1948725,3.423626491,Low,Online
36,U2121,970,478,Koshary,4,175.92,09-06-2025 18:56,09-06-2025 19:24,28,Zagazig,Wallet,Delivered,Motorbike,30.60003589,31.48562129,30.59930977,31.50399913,30.58317968,31.48413423,1.764289007,High,Online
37,U8163,634,166,Pasta,4,334.44,07-06-2025 07:00,07-06-2025 07:53,53,Giza,Cash,Delivered,Car,30.00528455,31.19211091,30.01641729,31.22848185,30.03145369,31.20485295,3.719606392,High,Online
38,U7014,838,148,Salad,4,517.08,13-06-2025 11:44,13-06-2025 12:17,33,Mansoura,Cash,Delivered,Bicycle,31.02180688,31.39779443,31.04051517,31.36498251,31.05072525,31.37791721,3.757100041,Medium,Online
39,U7194,254,441,Sushi,3,358.56,14-06-2025 10:41,14-06-2025 11:15,34,Zagazig,Cash,In Transit,Car,30.59506932,31.52022929,30.60484103,31.51906289,30.5954229,31.50816918,1.089076383,Medium,Online
40,U9507,855,492,Pizza,3,147.3,01-06-2025 16:10,01-06-2025 16:31,21,Giza,Credit Card,Delivered,Car,30.0107061,31.20516537,30.01058198,31.20717759,29.99450128,31.19058389,0.194617585,High,Online
41,U4192,38,83,Koshary,3,97.05,03-06-2025 02:18,03-06-2025 02:52,34,Mansoura,Cash,Cancelled,Car,31.02278153,31.37973479,31.04327744,31.38385921,31.04512294,31.37361602,2.30624647,Low,Online
42,U9682,467,397,Pizza,5,357.85,02-06-2025 21:22,02-06-2025 22:02,40,Tanta,Wallet,Delivered,Car,30.78630708,30.99294793,30.78187331,31.01032061,30.79126358,30.99258498,1.734021624,Low,Online
43,U7627,678,91,Pasta,1,83.75,12-06-2025 07:46,12-06-2025 08:19,33,Assiut,Cash,Delivered,Car,27.16227554,31.19480748,27.18692698,31.19449169,27.16727164,31.19614277,2.731712848,High,Online
44,U4731,943,148,Shawarma,2,253.98,03-06-2025 10:50,03-06-2025 11:36,46,Tanta,Wallet,Delivered,Motorbike,30.80287282,31.00903146,30.76690225,30.97946278,30.79403887,30.99288616,4.890166133,Medium,Online
45,U2786,79,170,Burger,2,186.48,12-06-2025 23:31,12-06-2025 23:56,25,Giza,Wallet,Delivered,Car,30.0034512,31.19771679,30.0221673,31.21114562,30.01319451,31.22003807,2.445997694,Low,Online
46,U2840,330,330,Koshary,1,113.28,04-06-2025 08:20,04-06-2025 09:11,51,Zagazig,Cash,Delivered,Car,30.59420089,31.49735577,30.59897044,31.52047267,30.5966118,31.50949635,2.279185972,High,Online
47,U6356,643,151,Shawarma,1,79.01,07-06-2025 17:11,07-06-2025 17:56,45,Tanta,Cash,Delivered,Car,30.77896844,30.98669747,30.8015948,30.9975098,30.78339937,31.0047304,2.713576698,High,Offline
48,U6759,922,317,Fried Chicken,2,130.8,03-06-2025 14:05,03-06-2025 14:49,44,Assiut,Credit Card,Delivered,Motorbike,27.18170272,31.16556497,27.18089325,31.20031063,27.19132473,31.17829928,3.444297269,Medium,Online
49,U4435,137,243,Koshary,4,302.68,06-06-2025 15:05,06-06-2025 15:54,49,Mansoura,Cash,Delivered,Motorbike,31.03976841,31.36374486,31.02934723,31.37002887,31.04098534,31.37026083,1.301868718,Medium,Online
50,U2969,53,480,Shawarma,4,239.84,06-06-2025 09:09,06-06-2025 10:07,58,Giza,Credit Card,Delivered,Motorbike,30.00049418,31.19477292,30.02231915,31.2169666,30.03105001,31.21565292,3.23075245,High,Online
51,U3229,601,350,Pizza,3,266.31,14-06-2025 05:52,14-06-2025 06:19,27,Zagazig,Wallet,Delivered,Car,30.60648339,31.48319528,30.60566073,31.50546463,30.5866563,31.51896272,2.137457265,Low,Online
52,U1054,630,111,Sushi,2,247.3,02-06-2025 22:14,02-06-2025 22:36,22,Assiut,Wallet,Delivered,Car,27.19190531,31.18062701,27.19169408,31.16895685,27.16731811,31.17865722,1.156585469,Low,Online
53,U7545,476,276,Shawarma,2,194.82,07-06-2025 12:02,07-06-2025 12:32,30,Tanta,Cash,Delivered,Car,30.80407996,30.98076078,30.80294731,30.98421991,30.79975341,30.98617057,0.354053991,Medium,Online
54,U4644,9,297,Shawarma,4,227.72,02-06-2025 10:28,02-06-2025 11:01,33,Tanta,Wallet,Delivered,Bicycle,30.80229309,31.01209646,30.77127352,31.00620847,30.79719303,31.00173766,3.484882569,Medium,Online
55,U8650,657,263,Sandwich,4,551.32,11-06-2025 02:38,11-06-2025 03:12,34,Cairo,Credit Card,Delivered,Car,30.048316,31.24418328,30.06137034,31.2204199,30.03687766,31.23082864,2.710254659,Low,Offline
56,U4046,695,80,Fried Chicken,4,469.2,09-06-2025 03:05,09-06-2025 03:42,37,Tanta,Cash,Delivered,Bicycle,30.80337497,31.00954571,30.79493109,31.00373684,30.76800357,30.98392234,1.088767873,Low,Online
57,U3423,912,133,Koshary,2,258.74,14-06-2025 16:29,14-06-2025 17:22,53,Giza,Wallet,Cancelled,Car,29.9966397,31.2135992,30.02599135,31.22441995,30.01945187,31.21957226,3.417076889,High,Online
58,U5408,124,480,Pizza,3,225.45,15-06-2025 10:46,15-06-2025 11:14,28,Assiut,Cash,Cancelled,Car,27.16873931,31.19025509,27.17773588,31.1761149,27.1726042,31.17857931,1.719731507,Medium,Online
59,U9368,747,269,Burger,2,284.86,11-06-2025 22:08,11-06-2025 22:56,48,Zagazig,Wallet,Delivered,Car,30.56950909,31.4865364,30.59049884,31.49153086,30.58671677,31.50426587,2.375774402,Low,Online
60,U1711,714,160,Fried Chicken,2,232.84,12-06-2025 14:02,12-06-2025 14:54,52,Alexandria,Wallet,Delivered,Car,31.19311321,29.90102671,31.20463338,29.92025926,31.18320852,29.9338351,2.234099694,Medium,Online
61,U5744,769,298,Pizza,4,165.72,13-06-2025 23:16,14-06-2025 00:11,55,Mansoura,Cash,Cancelled,Bicycle,31.03344709,31.40106856,31.03865094,31.39861101,31.02781063,31.37812966,0.622830739,Low,Online
62,U6994,884,394,Fried Chicken,4,562.68,06-06-2025 03:49,06-06-2025 04:41,52,Cairo,Credit Card,In Transit,Bicycle,30.03525396,31.23061797,30.02826306,31.21866028,30.03610177,31.23658636,1.389555828,Low,Online
63,U6712,692,121,Pizza,4,183.08,10-06-2025 06:04,10-06-2025 06:55,51,Giza,Credit Card,Delivered,Car,30.0262495,31.1909508,30.00237949,31.22397715,29.99714793,31.19115325,4.141623355,Low,Online
64,U2160,282,263,Salad,3,168.93,04-06-2025 11:29,04-06-2025 11:59,30,Zagazig,Credit Card,Delivered,Car,30.58197013,31.48838584,30.57328187,31.48810451,30.57909642,31.49801449,0.963578176,Medium,Online
65,U7127,853,177,Pizza,2,119.04,16-06-2025 05:44,16-06-2025 06:19,35,Tanta,Cash,Delivered,Car,30.77773738,31.01316824,30.79962437,30.99497781,30.77679789,31.01631037,2.986530492,Low,Online
66,U3898,225,238,Salad,4,416.76,12-06-2025 04:57,12-06-2025 05:30,33,Cairo,Credit Card,Cancelled,Bicycle,30.04610784,31.22393195,30.03930346,31.24858627,30.0369021,31.23727891,2.494556111,Low,Offline
67,U6253,925,320,Pizza,1,115.91,06-06-2025 12:39,06-06-2025 13:13,34,Tanta,Credit Card,Delivered,Bicycle,30.77213697,30.99688168,30.7780196,31.00077525,30.80577885,31.00393506,0.75117383,Medium,Online
68,U1979,643,58,Pizza,1,90.62,07-06-2025 00:45,07-06-2025 01:42,57,Cairo,Wallet,In Transit,Motorbike,30.05648788,31.24239897,30.03313315,31.22667772,30.04996481,31.23484423,3.00025208,Low,Online
69,U6147,95,35,Sandwich,2,125.78,12-06-2025 23:47,13-06-2025 00:25,38,Assiut,Wallet,Delivered,Bicycle,27.16388203,31.20233471,27.18898783,31.16861701,27.18813104,31.18299687,4.347857806,Low,Online
70,U9582,82,99,Burger,4,319.52,13-06-2025 07:06,13-06-2025 07:53,47,Alexandria,Credit Card,Cancelled,Car,31.21957548,29.8992637,31.20090273,29.92396962,31.19866288,29.90111166,3.135127608,High,Online
71,U8284,438,166,Pasta,4,447.52,11-06-2025 14:17,11-06-2025 14:48,31,Tanta,Wallet,Delivered,Car,30.79738979,30.99770331,30.79018282,31.01086389,30.79523614,30.99044441,1.49163592,Medium,Online
72,U3080,49,308,Salad,3,253.38,15-06-2025 05:46,15-06-2025 06:02,16,Giza,Credit Card,Delivered,Car,30.00104863,31.22874127,30.02335368,31.20809235,30.03306776,31.21239832,3.175226473,Low,Online
73,U4581,824,221,Sushi,3,429.63,12-06-2025 12:21,12-06-2025 12:54,33,Giza,Wallet,Delivered,Car,29.99332088,31.19376888,30.03189332,31.21658096,30.02545134,31.19163354,4.808987297,Medium,Offline
74,U9571,955,267,Salad,2,163.62,02-06-2025 23:26,03-06-2025 00:00,34,Zagazig,Wallet,Delivered,Motorbike,30.60031846,31.48694868,30.59734759,31.50447594,30.58989414,31.51890011,1.712857867,Low,Online
75,U3460,687,277,Sushi,5,153.85,01-06-2025 13:19,01-06-2025 13:55,36,Alexandria,Credit Card,Cancelled,Bicycle,31.20837429,29.90218169,31.2189448,29.9274145,31.19667425,29.9343247,2.67487094,Medium,Offline
76,U9232,399,321,Salad,4,575.96,11-06-2025 04:06,11-06-2025 05:00,54,Alexandria,Wallet,Delivered,Motorbike,31.20926029,29.91901376,31.20800601,29.93548159,31.20401529,29.90387454,1.575462655,Low,Online
77,U8505,372,243,Sushi,5,599.3,01-06-2025 14:51,01-06-2025 15:28,37,Alexandria,Cash,Delivered,Car,31.21095081,29.91263645,31.20718871,29.91372695,31.1937419,29.9255363,0.429866413,Medium,Online
78,U3076,210,42,Koshary,3,356.94,05-06-2025 02:47,05-06-2025 03:30,43,Zagazig,Credit Card,Delivered,Car,30.57066179,31.51065016,30.57346936,31.51124892,30.58817866,31.50443675,0.316509293,Low,Online
79,U4010,603,218,Koshary,1,47.91,02-06-2025 21:29,02-06-2025 22:02,33,Assiut,Credit Card,Delivered,Bicycle,27.17523863,31.18655187,27.16461899,31.20194397,27.16578444,31.16956486,1.926560827,Low,Online
80,U4596,156,390,Sandwich,5,238.6,06-06-2025 15:09,06-06-2025 15:44,35,Cairo,Wallet,Delivered,Car,30.02903476,31.2389336,30.02535717,31.22467717,30.04537786,31.23681278,1.434329696,Medium,Online
81,U7464,666,221,Pizza,3,234.93,06-06-2025 09:17,06-06-2025 09:34,17,Zagazig,Wallet,Delivered,Car,30.60222414,31.50244236,30.5954488,31.51880002,30.60551683,31.50103871,1.739282639,High,Online
82,U4250,506,312,Burger,5,686.7,06-06-2025 05:13,06-06-2025 05:50,37,Mansoura,Wallet,Delivered,Car,31.04283193,31.4011826,31.04386232,31.37815995,31.05491717,31.38621954,2.200732729,Low,Online
83,U4459,98,432,Fried Chicken,3,206.25,03-06-2025 09:27,03-06-2025 10:05,38,Cairo,Cash,Delivered,Motorbike,30.03763592,31.23726196,30.04965319,31.21785591,30.02836179,31.24451174,2.297282914,High,Online
84,U7979,716,8,Sushi,3,124.41,09-06-2025 07:37,09-06-2025 08:29,52,Cairo,Cash,Delivered,Bicycle,30.02694233,31.21859452,30.04940298,31.22451592,30.04809337,31.22706679,2.5544928,High,Online
85,U8000,664,283,Pizza,4,391.28,11-06-2025 23:50,12-06-2025 00:47,57,Giza,Wallet,Delivered,Car,30.00553929,31.20178779,30.02063445,31.22442482,30.03013741,31.22179766,2.751250052,Low,Online
86,U9811,363,188,Fried Chicken,5,282.45,07-06-2025 12:31,07-06-2025 13:22,51,Zagazig,Wallet,Delivered,Bicycle,30.58070733,31.5132271,30.60112087,31.50419297,30.5815982,31.48378857,2.423293267,Medium,Online
87,U5699,631,333,Burger,4,375,06-06-2025 17:29,06-06-2025 17:58,29,Cairo,Credit Card,Cancelled,Motorbike,30.05358425,31.24083821,30.05344424,31.25243711,30.0417381,31.23899194,1.118641863,High,Online
88,U7553,502,171,Pasta,4,277.04,11-06-2025 01:50,11-06-2025 02:16,26,Alexandria,Cash,In Transit,Motorbike,31.2056023,29.92605791,31.20407183,29.92014546,31.2028146,29.92338359,0.588450712,Low,Offline
89,U1411,293,187,Pizza,2,230.18,11-06-2025 03:54,11-06-2025 04:20,26,Assiut,Credit Card,Delivered,Car,27.19638851,31.20057225,27.16961735,31.16384586,27.19017294,31.18426196,4.695159918,Low,Online
90,U3631,761,198,Fried Chicken,5,534.6,15-06-2025 20:18,15-06-2025 20:54,36,Cairo,Cash,Delivered,Motorbike,30.0432886,31.23345121,30.05509082,31.24350987,30.05651376,31.23528377,1.628702951,Low,Online
91,U4672,159,110,Fried Chicken,1,53.5,11-06-2025 00:57,11-06-2025 01:41,44,Alexandria,Credit Card,Delivered,Motorbike,31.18488377,29.89948088,31.19008499,29.91663146,31.18383904,29.91057825,1.73347284,Low,Online
92,U6502,597,270,Pizza,2,201.42,08-06-2025 07:13,08-06-2025 07:42,29,Alexandria,Cash,Delivered,Car,31.20862979,29.9383036,31.20731249,29.90182083,31.20524051,29.91468209,3.479742026,High,Online
93,U5810,665,77,Pasta,2,244.34,13-06-2025 13:51,13-06-2025 14:17,26,Tanta,Wallet,Delivered,Motorbike,30.7969314,30.99638311,30.77188817,30.98880597,30.78319422,30.99923389,2.869603619,Medium,Offline
94,U5500,458,488,Sandwich,4,129.28,02-06-2025 12:28,02-06-2025 12:55,27,Mansoura,Cash,Delivered,Bicycle,31.04035109,31.36540447,31.03830168,31.3674517,31.05494541,31.37915855,0.299707803,Medium,Online
95,U4838,895,318,Salad,4,327.16,11-06-2025 09:29,11-06-2025 10:05,36,Alexandria,Cash,Cancelled,Motorbike,31.21093869,29.92064336,31.20541633,29.91671153,31.18708118,29.91161624,0.717829598,High,Online
96,U4915,551,78,Salad,2,220.78,14-06-2025 09:54,14-06-2025 10:41,47,Alexandria,Wallet,Delivered,Motorbike,31.19985182,29.92230813,31.21270734,29.91077586,31.21737377,29.93727111,1.799825856,High,Online
97,U3700,822,347,Sushi,5,363.55,15-06-2025 01:51,15-06-2025 02:37,46,Alexandria,Wallet,Delivered,Bicycle,31.20100931,29.92127334,31.20820152,29.90707206,31.20031629,29.9130759,1.570832079,Low,Online
98,U3944,812,142,Koshary,4,495.04,12-06-2025 21:44,12-06-2025 22:17,33,Alexandria,Wallet,Delivered,Bicycle,31.19720164,29.93729672,31.21235745,29.92460729,31.18372323,29.90250522,2.070276461,Low,Online
99,U8168,194,104,Burger,2,188.44,02-06-2025 14:56,02-06-2025 15:50,54,Tanta,Credit Card,Delivered,Bicycle,30.76751677,30.99098542,30.80070849,31.01602323,30.79970195,30.9953743,4.391440998,Medium,Offline
100,U4498,211,500,Pasta,2,249.98,14-06-2025 02:45,14-06-2025 03:23,38,Mansoura,Wallet,Delivered,Car,31.02221566,31.36288053,31.05296681,31.39993532,31.04259049,31.39468019,4.913025299,Low,Online
101,U4989,716,402,Sushi,4,185.68,02-06-2025 12:41,02-06-2025 13:31,50,Assiut,Wallet,Delivered,Car,27.16215717,31.20049009,27.19614141,31.17859281,27.18714202,31.18742713,4.346145598,Medium,Online
102,U3086,230,122,Fried Chicken,1,118.2,11-06-2025 01:35,11-06-2025 02:06,31,Alexandria,Wallet,Delivered,Motorbike,31.20555642,29.90634954,31.19064026,29.90926837,31.19301962,29.92607791,1.677030776,Low,Online
103,U6335,627,185,Pizza,4,412.4,11-06-2025 17:44,11-06-2025 18:04,20,Assiut,Cash,Delivered,Car,27.17347424,31.19367798,27.19321625,31.18872514,27.18973667,31.18254092,2.241922279,High,Online
104,U3014,561,281,Koshary,3,231.63,03-06-2025 01:08,03-06-2025 01:41,33,Alexandria,Cash,Delivered,Motorbike,31.20044283,29.90686039,31.18077717,29.91325673,31.18023688,29.91403314,2.264014795,Low,Online
105,U9609,508,142,Koshary,4,380.32,15-06-2025 12:20,15-06-2025 13:04,44,Alexandria,Credit Card,Delivered,Bicycle,31.21640266,29.93185902,31.21754163,29.93095373,31.21980734,29.92476823,0.152931893,Medium,Online
106,U7185,839,90,Pizza,5,216.6,13-06-2025 16:52,13-06-2025 17:18,26,Tanta,Cash,Delivered,Bicycle,30.77647169,31.0144553,30.7739485,30.9938634,30.80401127,30.99874821,1.990961643,High,Online
107,U5797,166,419,Koshary,2,108.66,11-06-2025 04:19,11-06-2025 04:45,26,Assiut,Cash,In Transit,Car,27.17731532,31.16791427,27.19624014,31.18655578,27.18178751,31.20349812,2.794549999,Low,Online
108,U4618,213,226,Salad,1,120.7,08-06-2025 20:29,08-06-2025 21:13,44,Tanta,Cash,Delivered,Car,30.79672205,30.98409098,30.79867218,31.01772224,30.76813008,30.9825386,3.225942404,Low,Offline
109,U3088,581,414,Burger,5,419.35,02-06-2025 15:44,02-06-2025 16:19,35,Mansoura,Credit Card,In Transit,Motorbike,31.02705193,31.39851155,31.03348159,31.36673838,31.05019923,31.38312202,3.116146927,Medium,Online
110,U6690,705,397,Pizza,5,401.55,07-06-2025 09:06,07-06-2025 09:27,21,Mansoura,Cash,Cancelled,Bicycle,31.0209792,31.39232818,31.05643593,31.37431437,31.04772523,31.37077332,4.290788063,High,Online
111,U6357,197,201,Pasta,2,198.88,01-06-2025 18:26,01-06-2025 19:15,49,Zagazig,Cash,Delivered,Motorbike,30.57929006,31.48355587,30.57146245,31.48495366,30.59683895,31.51853972,0.878083125,High,Online
112,U9268,383,270,Burger,4,220.08,06-06-2025 01:44,06-06-2025 02:13,29,Cairo,Wallet,Delivered,Car,30.03084885,31.22298798,30.03603987,31.25398016,30.02609904,31.25518226,3.044199101,Low,Online
113,U3636,593,93,Salad,5,447.95,06-06-2025 04:59,06-06-2025 05:44,45,Zagazig,Wallet,Delivered,Bicycle,30.60488791,31.49848305,30.57782908,31.50159991,30.57065839,31.48215514,3.014666159,Low,Online
114,U3902,805,199,Fried Chicken,5,281.35,06-06-2025 06:52,06-06-2025 07:09,17,Tanta,Cash,Delivered,Bicycle,30.79882482,31.01276793,30.76682847,30.99119425,30.7992039,31.01061272,4.104593579,Low,Online
115,U9863,862,110,Pizza,4,215.12,04-06-2025 09:17,04-06-2025 10:03,46,Zagazig,Cash,Delivered,Bicycle,30.59303615,31.4880423,30.57428456,31.51916197,30.60362198,31.51077237,3.637470512,High,Online
116,U6785,25,17,Sushi,4,496,15-06-2025 15:15,15-06-2025 15:52,37,Tanta,Wallet,Cancelled,Car,30.80135842,31.00716561,30.7982615,30.99574619,30.79787079,31.01425176,1.145538772,Medium,Online
117,U5514,691,166,Burger,5,621.15,07-06-2025 10:54,07-06-2025 11:25,31,Cairo,Wallet,In Transit,Motorbike,30.05654688,31.21904857,30.0576716,31.21592162,30.0391553,31.24936445,0.326294481,Medium,Online
118,U5360,135,49,Fried Chicken,2,261.34,14-06-2025 16:19,14-06-2025 16:42,23,Zagazig,Cash,In Transit,Car,30.5751628,31.50068676,30.59750178,31.50444295,30.57212906,31.52115815,2.502619467,High,Online
119,U3068,777,256,Pasta,1,94.71,04-06-2025 10:01,04-06-2025 10:35,34,Zagazig,Cash,Delivered,Car,30.60340236,31.51115976,30.58960154,31.48556437,30.59150114,31.48374234,2.892479967,Medium,Online
120,U7568,502,99,Fried Chicken,2,108.98,12-06-2025 19:35,12-06-2025 19:59,24,Mansoura,Credit Card,Delivered,Bicycle,31.03947369,31.36408854,31.04319225,31.40088928,31.05495683,31.39297406,3.537219925,High,Online
