KEYAccidentNumber,DATAccidentDate_accident,TIMAccidentTime_accident,CATAccidentTypeDesc_accident,CATDayOfWeek_accident,CATDCADesc_accident,CATMelwaysPage_accident,CATMelwaysGridRef_X_accident,CATMelwaysGridRef_Y_accident,CATLightConditionDesc_accident,NUMVehiclesInvolved_accident,NUMPersonsInvolved_accident,NUMPersonsInjured_accident,KEYPersonID_person,CATRoadUserTypeDesc_person,CATTakenHospital_person,CATInjuryLevelDesc_person,CATAgeGroup_person,CATPostcode_person,CATGender_person,CATLGAName_node,CATDEGUrbanName_node,NUMLatitude_node,NUMLongitude_node,CATPostcode_node,CATSurfaceConditionDesc_surface,CATSubDCACodeDesc_subdca,CATAtmosphericConditionDesc_atmosphere,CATRoadName_acclocation,CATRoadNameInt_acclocation,CATRoadType_acclocation,CATRoadTypeInt_acclocation,CATEventTypeDesc_accevent,CATObjectTypeDesc_accevent
T20080005508,2008-02-15,10:10:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,L,3,Day,1,3,0,01,Pedestrians,N,Other injury,22-25,,M,MELBOURNE,MELBOURNE_CBD,-37.81228152,144.9622574,3000,Dry,Vehicle leaving intersection,Clear,ELIZABETH,LONSDALE,STREET,STREET,Collision,Not Applicable
T20080005550,2008-02-15,15:35:00                      ,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1B,L,9,Day,1,2,0,01,Pedestrians,N,Other injury,64-69,3084.0,F,MELBOURNE,MELBOURNE_CBD,-37.81752898,144.9646735,3000,Dry,Not Required,Clear,ELIZABETH,FLINDERS,STREET,LANE,Collision,Not Applicable
T20080006162,2008-02-19,18:30:00                      ,Struck Pedestrian,Tuesday,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,1C,H,4,Day,1,2,0,01,Pedestrians, ,Other injury,22-25,3182.0,F,MELBOURNE,MELB_URBAN,-37.82428902,144.9565534,3006,Dry,Vehicle moving foward - out of control,Clear,CLARENDON,CLARENDON,STREET,STREET,Collision,Not Applicable
T20080007309,2008-02-28,11:40:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,L,5,Day,1,2,1,01,Pedestrians,Y,Serious injury,64-69,,F,MELBOURNE,MELBOURNE_CBD,-37.81381942,144.962962,3000,Dry,,Clear,ELIZABETH,BOURKE,STREET,STREET,Collision,Not Applicable
T20080007584,2008-03-01,12:05:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2B,E,11,Day,1,3,0,02,Pedestrians,N,Serious injury,40-49,3030.0,M,MELBOURNE,MELB_URBAN,-37.8066743,144.9630593,3000,Dry,,Clear,VICTORIA,SWANSTON,STREET,STREET,Collision,Not Applicable
T20080007797,2008-03-03,08:20:00                      ,Struck Pedestrian,Monday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,2A,E,1,Day,1,2,1,01,Pedestrians, ,Not injured,22-25,,M,MELBOURNE,MELB_URBAN,-37.78846679,144.9410024,3051,Dry,Vehicle entering intersection,Clear,FLEMINGTON,CITYLINK IN-MT ALEXANDER OF,ROAD,RAMP,Collision,Not Applicable
T20080007806,2008-03-03,10:20:00                      ,Struck Pedestrian,Monday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,2A,H,8,Day,1,3,0,01,Pedestrians, ,Other injury,30-39,3051.0,F,MELBOURNE,MELB_URBAN,-37.80081505,144.9485123,3051,Dry,,Clear,CURZON,ARDEN,STREET,STREET,Collision,Not Applicable
T20080007806,2008-03-03,10:20:00                      ,Struck Pedestrian,Monday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,2A,H,8,Day,1,3,0,02,Pedestrians, ,Not injured,0-4,,F,MELBOURNE,MELB_URBAN,-37.80081505,144.9485123,3051,Dry,,Clear,CURZON,ARDEN,STREET,STREET,Collision,Not Applicable
T20080008024,2008-03-04,17:11:00                      ,Struck Pedestrian,Tuesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1B,N,5,Day,1,2,1,01,Pedestrians,Y,Serious injury,60-64,3071.0,M,MELBOURNE,MELBOURNE_CBD,-37.81365916,144.9656929,3000,Dry,Pedestrian emerged from behindtram,Clear,SWANSTON,BOURKE,STREET,STREET,Collision,Not Applicable
T20080008287,2008-03-06,16:45:00                      ,Struck Pedestrian,Thursday,PED WALKING WITH TRAFFIC                  ,1D,V,8,Day,1,2,1,01,Pedestrians,Y,Other injury,17-21,3163.0,F,MELBOURNE,MELB_URBAN,-37.82425966,144.9705612,3004,Dry,Not on Footpath,Clear,ST KILDA,BURNLEY,ROAD,TUNNEL,Collision,Not Applicable
T20080008441,2008-03-07,14:30:00                      ,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2E,F,3,Day,1,2,0,01,Pedestrians,N,Other injury,30-39,3181.0,M,MELBOURNE,MELB_URBAN,-37.81403159,144.9446356,3008,Dry,Not Required,Clear,HARBOUR,HARBOUR,ESPLANADE,ESPLANADE,Collision,Not Applicable
T20080009745,2008-03-17,09:00:00                      ,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,Q,3,Day,1,2,1,01,Pedestrians,Y,Other injury,40-49,,F,MELBOURNE,MELBOURNE_CBD,-37.81084195,144.967202,3000,Dry,Vehicle leaving intersection,Clear,LONSDALE,RUSSELL,STREET,STREET,Collision,Not Applicable
T20080009966,2008-03-19,08:29:00                      ,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2B,G,7,Day,1,3,0,02,Pedestrians, ,Other injury,50-59,3081.0,F,MELBOURNE,MELB_URBAN,-37.79801173,144.967406,3053,Dry,Vehicle leaving intersection,Clear,LYGON,TYNE,STREET,STREET,Collision,Not Applicable
T20080010242,2008-03-21,02:40:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,L,9,Dark Street lights on,1,4,0,03,Pedestrians,N,Other injury,26-29,3204.0,M,MELBOURNE,MELBOURNE_CBD,-37.81736996,144.9646001,3000,Dry,Not Required,Clear,ELIZABETH,FLINDERS,STREET,LANE,Collision,Not Applicable
T20080010379,2008-03-22,10:30:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2B,C,11,Day,1,3,2,01,Pedestrians,Y,Serious injury,60-64,3065.0,F,MELBOURNE,MELB_URBAN,-37.80612802,144.9582603,3000,Dry,Vehicle leaving intersection,Clear,VICTORIA,QUEEN,STREET,STREET,Collision,Not Applicable
T20080010379,2008-03-22,10:30:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2B,C,11,Day,1,3,2,02,Pedestrians,Y,Serious injury,70+,,M,MELBOURNE,MELB_URBAN,-37.80612802,144.9582603,3000,Dry,Vehicle leaving intersection,Clear,VICTORIA,QUEEN,STREET,STREET,Collision,Not Applicable
T20080010671,2008-03-24,22:20:00                      ,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2G,A,3,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,30-39,3030.0,M,MELBOURNE,MELB_URBAN,-37.81277957,144.9778259,3002,Wet,,Raining,LANSDOWNE,TREASURY,STREET,PLACE,Collision,Not Applicable
T20080011104,2008-03-12,13:36:00                      ,Struck Pedestrian,Wednesday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,1B,L,5,Day,1,2,0,01,Pedestrians, ,Other injury,40-49,,F,MELBOURNE,MELBOURNE_CBD,-37.81437109,144.9632162,3000,Dry,Pedestrian emerged from behind car etc,Clear,ELIZABETH,BOURKE,STREET,STREET,Collision,Not Applicable
T20080011170,2008-03-28,13:15:00                      ,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1B,N,7,Day,1,2,0,01,Pedestrians, ,Other injury,13-15,,M,MELBOURNE,MELBOURNE_CBD,-37.81549255,144.9665403,3000,Dry,Vehicle entering intersection,Clear,COLLINS,SWANSTON,STREET,STREET,Collision,Not Applicable
T20080011455,2008-03-30,01:15:00                      ,Struck Pedestrian,Sunday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,1A,F,6,Dark Street lights on,1,2,0,01,Pedestrians, ,Other injury,17-21,3020.0,M,MELBOURNE,MELBOURNE_CBD,-37.81665699,144.9586567,3000,Dry,Pedestrian standing,Clear,LITTLE COLLINS,WILLIAM,STREET,STREET,Collision,Not Applicable
T20080011812,2008-04-02,17:06:00                      ,Struck Pedestrian,Wednesday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1A,C,4,Dusk/Dawn,1,2,1,01,Pedestrians,Y,Serious injury,22-25,3000.0,F,MELBOURNE,MELBOURNE_CBD,-37.8154039,144.955278,3000,Wet,Not Required,Raining,KING,LITTLE BOURKE,STREET,STREET,Collision,Not Applicable
T20080011862,2008-04-02,13:30:00                      ,Struck Pedestrian,Wednesday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1B,R,3,Day,1,2,0,01,Pedestrians,N,Other injury,26-29,3187.0,F,MELBOURNE,MELBOURNE_CBD,-37.81059189,144.9680609,3000,Dry,,Dust,LONSDALE,HAYWARD,STREET,LANE,Collision,Not Applicable
T20080011863,2008-03-31,16:30:00                      ,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,F,7,Day,1,2,0,01,Pedestrians,N,Other injury,13-15,3207.0,F,MELBOURNE,MELBOURNE_CBD,-37.81764326,144.9591106,3000,Unknown,Vehicle entering intersection,Not known,COLLINS,WILLIAM,STREET,STREET,Collision,Not Applicable
T20080012305,2008-04-06,15:00:00                      ,Struck Pedestrian,Sunday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1B,N,10,Day,1,2,1,01,Pedestrians,Y,Serious injury,30-39,3000.0,M,MELBOURNE,MELB_URBAN,-37.81745307,144.967438,3000,Dry,,Clear,FLINDERS,SWANSTON,STREET,STREET,Collision,Not Applicable
T20080013302,2008-04-12,23:59:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2B,B,9,Dark Street lights on,1,2,0,01,Pedestrians,N,Other injury,17-21,,F,MELBOURNE,MELB_URBAN,-37.80137961,144.9569055,3000,Dry,,Clear,ELIZABETH,FLEMINGTON,STREET,ROAD,Collision,Not Applicable
T20080013842,2008-04-18,00:15:00                      ,Struck Pedestrian,Friday,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.  ,2E,G,10,Dark Street lights on,2,2,2,01,Pedestrians,Y,Serious injury,50-59,,M,MELBOURNE,MELB_URBAN,-37.82645595,144.9461311,3008,Dry,Alighting,Clear,KINGS-WEST GATE OUT,WEST GATE OUT-CITYLINK OUT,RAMP,RAMP,Collision,Not Applicable
T20080013843,2008-04-17,02:30:00                      ,Struck Pedestrian,Thursday,PED WALKING WITH TRAFFIC                  ,42,J,12,Dark Street lights on,1,2,0,01,Pedestrians, ,Other injury,30-39,3216.0,M,MELBOURNE,MELB_URBAN,-37.82745709,144.926439,3207,Dry,On freeway (between interchanges),Clear,WEST GATE,SALMON,FREEWAY,STREET,Collision,Not Applicable
T20080013921,2008-04-14,16:30:00                      ,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2L,B,10,Day,1,2,0,01,Pedestrians,N,Other injury,30-39,,F,MELBOURNE,MELB_URBAN,-37.84772055,144.9797315,3004,Dry,Vehicle leaving intersection,Clear,ST KILDA,MOUBRAY,ROAD,STREET,Collision,Not Applicable
T20080013994,2008-04-18,22:35:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2E,G,4,Dark Street lights on,1,3,1,02,Pedestrians,Y,Other injury,40-49,3030.0,F,MELBOURNE,MELB_URBAN,-37.81514954,144.945034,3008,Dry,Not Required,Clear,HARBOUR,LA TROBE,ESPLANADE,STREET,Collision,Not Applicable
T20080014004,2008-04-19,00:40:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,N,7,Dark Street lights on,1,4,1,01,Pedestrians,Y,Other injury,17-21,3496.0,F,MELBOURNE,MELBOURNE_CBD,-37.81549255,144.9665403,3000,Dry,Vehicle leaving intersection,Clear,COLLINS,SWANSTON,STREET,STREET,Collision,Not Applicable
T20080014177,2008-04-19,22:10:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2B,C,11,Dark Street lights on,1,4,1,03,Pedestrians,Y,Serious injury,22-25,3337.0,M,MELBOURNE,MELB_URBAN,-37.80606964,144.9594012,3000,Dry,Pedestrian stepped off median strip,Clear,ELIZABETH,ELIZABETH REV,STREET,STREET SERVICE ROAD,Collision,Not Applicable
T20080014619,2008-01-04,12:00:00                      ,Struck Pedestrian,Friday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,1A,H,7,Day,1,2,1,01,Pedestrians,Y,Other injury,50-59,3162.0,F,MELBOURNE,MELBOURNE_CBD,-37.81699683,144.9613586,3000,Dry,Pedestrian emerged from behindvehicle not known,Clear,COLLINS,QUEEN,STREET,STREET,Collision,Not Applicable
T20080014671,2008-04-23,16:45:00                      ,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2B,A,8,Day,2,4,0,02,Pedestrians,N,Other injury,22-25,,F,MELBOURNE,MELB_URBAN,-37.7995618,144.9552257,3000,Dry,,Clear,GRATTAN,FLEMINGTON REV,STREET,ROAD SERVICE ROAD,Collision,Not Applicable
T20080014987,2008-04-25,23:35:00                      ,Struck Pedestrian,Friday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,2B,D,12,Dark Street lights on,1,4,1,02,Pedestrians, ,Not injured,30-39,3000.0,M,MELBOURNE,MELB_URBAN,-37.80818237,144.9603755,3000,Wet,,Raining,ELIZABETH,FRANKLIN,STREET,STREET,Collision,Not Applicable
T20080014987,2008-04-25,23:35:00                      ,Struck Pedestrian,Friday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,2B,D,12,Dark Street lights on,1,4,1,03,Pedestrians,Y,Other injury,30-39,3000.0,F,MELBOURNE,MELB_URBAN,-37.80818237,144.9603755,3000,Wet,,Raining,ELIZABETH,FRANKLIN,STREET,STREET,Collision,Not Applicable
T20080015073,2008-04-26,18:05:00                      ,Struck Pedestrian,Saturday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2B,E,11,Dark Street lights on,1,2,1,01,Pedestrians,Y,Other injury,26-29,3122.0,F,MELBOURNE,MELB_URBAN,-37.80665694,144.9628972,3000,Wet,Vehicle leaving intersection,Raining,VICTORIA,SWANSTON,STREET,STREET,Collision,Not Applicable
T20080015086,2008-04-26,18:35:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1D,V,7,Dark Street lights on,1,3,0,01,Pedestrians, ,Other injury,30-39,3300.0,F,MELBOURNE,MELB_URBAN,-37.82331625,144.9701276,3004,Wet,Vehicle leaving intersection,Raining,ST KILDA,ST KILDA,ROAD,ROAD,Collision,Not Applicable
T20080015378,2008-04-28,15:00:00                      ,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2L,C,11,Day,1,2,1,01,Pedestrians,Y,Serious injury,17-21,,F,MELBOURNE,MELB_URBAN,-37.85021929,144.9806426,3004,Dry,Vehicle leaving intersection,Clear,HIGH,ST KILDA,STREET,ROAD,Collision,Not Applicable
T20080016045,2008-05-03,09:43:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2B,H,5,Day,1,2,1,01,Pedestrians,Y,Serious injury,70+,3056.0,F,MELBOURNE,MELB_URBAN,-37.79563282,144.9708254,3053,Dry,Vehicle leaving intersection,Clear,PITT,RATHDOWNE,STREET,STREET,Collision,Not Applicable
T20080016089,2008-05-02,18:40:00                      ,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,29,G,10,Dark Street lights on,1,2,0,01,Pedestrians,N,Other injury,17-21,,M,MELBOURNE,MELB_URBAN,-37.77804419,144.9602339,3056,Dry,Vehicle leaving intersection,Clear,ROYAL PARADE -SYDNEY,THE AVENUE,ROAD,,Collision,Not Applicable
T20080016155,2008-05-03,18:19:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2G,G,8,Dark Street lights on,1,2,0,01,Pedestrians, ,Other injury,22-25,3199.0,M,MELBOURNE,MELB_URBAN,-37.82180965,144.9893167,3002,Dry,Not Required,Clear,PUNT,RICHMOND,ROAD,TERRACE,Collision,Not Applicable
T20080016400,2008-05-06,11:24:00                      ,Struck Pedestrian,Tuesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1A,E,3,Day,1,2,0,01,Pedestrians,N,Other injury,50-59,3185.0,M,MELBOURNE,MELBOURNE_CBD,-37.81394505,144.9565078,3000,Dry,Vehicle reversing,Clear,LONSDALE,GUESTS,STREET,LANE,Collision,Not Applicable
T20080016554,2008-02-16,23:55:00                      ,Struck Pedestrian,Saturday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,2B,C,11,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,17-21,3141.0,M,MELBOURNE,MELB_URBAN,-37.80631539,144.9597108,3000,Dry,Pedestrian emerged from behind car etc,Clear,VICTORIA,ELIZABETH,STREET,STREET,Collision,Not Applicable
T20080016826,2008-05-09,18:30:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,F,4,Dark Street lights on,1,2,0,01,Pedestrians,N,Other injury,40-49,,M,MELBOURNE,MELBOURNE_CBD,-37.81469505,144.957763,3000,Dry,Vehicle leaving intersection,Clear,LITTLE BOURKE,WILLIAM,STREET,STREET,Collision,Not Applicable
T20080017350,2008-05-14,03:37:00                      ,Struck Pedestrian,Wednesday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,1B,M,2,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,22-25,,M,MELBOURNE,MELBOURNE_CBD,-37.81094577,144.963008,3000,Dry,Pedestrian standing,Clear,LITTLE LONSDALE,KNOX,STREET,LANE,Collision,Not Applicable
T20080017431,2008-05-14,12:43:00                      ,Struck Pedestrian,Wednesday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1C,H,4,Day,1,3,1,02,Pedestrians,Y,Other injury,40-49,3163.0,F,MELBOURNE,MELB_URBAN,-37.82413891,144.9564837,3006,Dry,Not Required,Clear,CLARENDON,CLARENDON,STREET,STREET,Collision,Not Applicable
T20080017479,2008-05-14,20:30:00                      ,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2A,A,1,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,22-25,3051.0,M,MELBOURNE,MELB_URBAN,-37.78837927,144.9325801,3031,Dry,Not Required,Clear,RACECOURSE,PRINCES,ROAD,STREET,Collision,Not Applicable
T20080018067,2008-03-28,08:15:00                      ,Fall from or in moving vehicle,Friday,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,2G,E,2,Day,1,2,0,01,Pedestrians, ,Not injured,unknown,,U,MELBOURNE,MELB_URBAN,-37.8111504,144.9860838,3002,Wet,Kerb(roadside) mounted/struck,Raining,POWLETT,ALBERT,STREET,STREET,Rollover on/off carriageway,Not Applicable
T20080018143,2008-05-13,18:00:00                      ,Struck Pedestrian,Tuesday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,2E,H,7,Day,1,2,0,01,Pedestrians, ,Other injury,40-49,3442.0,M,MELBOURNE,MELB_URBAN,-37.82065599,144.9486762,3008,Dry,Pedestrian working/pushing or working on vehicle,Clear,BATMANS HILL,COLLINS,DRIVE,STREET,Collision,Not Applicable
T20080018786,2008-05-24,01:03:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,L,1.0,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,17-21,,M,MELBOURNE,MELBOURNE_CBD,-37.81031669,144.9613588,3000,Dry,Vehicle entering intersection,Clear,ELIZABETH,LA TROBE,STREET,STREET,Collision,Not Applicable
T20080019099,2008-05-26,13:46:00                      ,Struck Pedestrian,Monday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1A,A,4.0,Day,1,2,2,01,Pedestrians,Y,Serious injury,30-39,3121.0,M,MELBOURNE,MELB_URBAN,-37.8162405,144.9528483,3000,Dry,Not Required,Clear,SPENCER,LITTLE BOURKE,STREET,STREET,Collision,Not Applicable
T20080019603,2008-05-23,16:15:00                      ,Struck Pedestrian,Friday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1B,N,6.0,Day,1,2,0,01,Pedestrians,N,Other injury,40-49,3121.0,M,MELBOURNE,MELBOURNE_CBD,-37.81457757,144.9658589,3000,Unknown,Not Required,Not known,LITTLE COLLINS,MASONS,STREET,LANE,Collision,Not Applicable
T20080020384,2008-06-04,13:30:00                      ,Struck Pedestrian,Wednesday,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.  ,1B,L,10.0,Day,1,2,0,01,Pedestrians, ,Other injury,22-25,,M,MELBOURNE,MELB_URBAN,-37.81808101,144.9652805,3000,Dry,Pedestrian emerged from behind car etc,Clear,FLINDERS,ELIZABETH,STREET,STREET,Collision,Not Applicable
