split,image,vehicle_count,haze_score_dcp
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-315.jpg,6,0.5641
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-323.jpg,24,0.6034
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-527.jpg,2,0.7125
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-553.jpg,4,0.5068
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-681.jpg,1,0.2954
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-700.jpg,9,0.4565
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/rain_storm-732.jpg,4,0.3973
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-027.jpg,9,0.7786
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-042.jpg,10,0.7471
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-051.jpg,4,0.8674
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-057.jpg,16,0.6135
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-075.jpg,12,0.6697
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-114.jpg,8,0.7268
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-140.jpg,2,0.9958
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-145.jpg,2,0.3735
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-164.jpg,3,0.5756
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-166.jpg,6,0.8293
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-197.jpg,8,0.3087
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-216.jpg,9,0.9076
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-228.jpg,13,0.842
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-247.jpg,5,0.7233
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-249.jpg,1,0.7659
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-269.jpg,1,0.4012
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-284.jpg,3,0.4399
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-295.jpg,4,0.4461
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-307.jpg,12,0.607
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-334.jpg,1,0.6339
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-341.jpg,6,0.6849
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-346.jpg,10,0.6063
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-367.jpg,2,0.5416
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-835.jpg,4,0.9791
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-924.jpg,3,0.9103
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm-936.jpg,2,0.5647
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm_g2_-010.jpg,2,0.7946
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm_g2_-021.jpg,10,0.6398
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/sand_storm_g2_-034.jpg,5,0.3825
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-004.jpg,7,0.4877
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-005.jpg,4,0.5669
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-007.jpg,5,0.5562
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-029.jpg,1,0.2648
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-045.jpg,5,0.6785
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-059.jpg,5,0.6171
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-068.jpg,1,0.6701
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-075.jpg,10,0.5481
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-082.jpg,3,0.4206
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-085.jpg,2,0.4805
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-107.jpg,10,0.3953
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-121.jpg,4,0.6312
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-188.jpg,6,0.6667
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-263.jpg,6,0.3305
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-279.jpg,2,0.313
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-301.jpg,5,0.6426
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-313.jpg,10,0.2532
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-333.jpg,2,0.5435
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-343.jpg,45,0.3799
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-350.jpg,1,0.6268
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-358.jpg,2,0.6793
test,C:/Users/ramad/Downloads/dawn_yolo/images/test/snow_storm-376.jpg,15,0.5101
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-001.jpg,16,0.5194
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-003.jpg,23,0.9985
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-004.jpg,7,0.7854
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-005.jpg,21,0.6797
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-006.jpg,3,0.5896
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-008.jpg,45,0.6508
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-010.jpg,1,0.8356
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-012.jpg,13,0.9401
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-013.jpg,4,0.5588
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-014.jpg,8,0.4898
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-017.jpg,8,0.3259
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-018.jpg,11,0.9423
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-019.jpg,2,0.6695
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-020.jpg,12,0.8965
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-022.jpg,1,0.4376
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-024.jpg,2,0.4972
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-026.jpg,2,0.4876
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-027.jpg,7,0.3677
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-029.jpg,1,0.6268
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-030.jpg,7,0.675
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-031.jpg,5,0.7213
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-032.jpg,2,0.3471
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-033.jpg,8,0.3135
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-034.jpg,5,0.2441
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-035.jpg,8,0.9187
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-036.jpg,3,0.687
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-038.jpg,27,0.8113
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-909.jpg,38,0.6177
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/dusttornado-937.jpg,3,0.6775
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-002.jpg,4,0.4743
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-003.jpg,4,0.5578
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-006.jpg,1,0.3916
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-007.jpg,11,0.4505
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-009.jpg,4,0.5399
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-010.jpg,6,0.4966
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-011.jpg,2,0.3216
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-012.jpg,1,0.4773
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-015.jpg,4,0.4855
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-016.jpg,6,0.4901
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-017.jpg,1,0.4248
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-018.jpg,14,0.4709
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-019.jpg,3,0.5829
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-020.jpg,1,0.5205
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-022.jpg,1,0.4536
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-024.jpg,5,0.4361
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-025.jpg,6,0.392
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-026.jpg,2,0.4698
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-027.jpg,7,0.6911
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-028.jpg,2,0.6455
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-029.jpg,3,0.4823
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-030.jpg,2,0.3681
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-033.jpg,19,0.5791
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-034.jpg,3,0.3669
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-036.jpg,12,0.489
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-038.jpg,8,0.3632
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-039.jpg,15,0.5536
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-040.jpg,31,0.6652
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-041.jpg,4,0.5109
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-042.jpg,1,0.418
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-043.jpg,2,0.3547
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-044.jpg,5,0.26
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-045.jpg,1,0.4596
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-046.jpg,1,0.5239
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-047.jpg,1,0.5636
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-048.jpg,8,0.382
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-050.jpg,4,0.5097
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-053.jpg,4,0.429
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-056.jpg,12,0.5532
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-057.jpg,2,0.3316
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-059.jpg,4,0.5297
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-060.jpg,2,0.4426
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-061.jpg,1,0.5912
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-062.jpg,8,0.686
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-063.jpg,2,0.4346
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-065.jpg,3,0.411
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-067.jpg,3,0.3468
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-068.jpg,6,0.5592
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-069.jpg,5,0.4647
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-070.jpg,3,0.5863
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-072.jpg,4,0.4917
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-074.jpg,1,0.3918
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-076.jpg,1,0.6904
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-077.jpg,4,0.7496
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-080.jpg,15,0.641
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-083.jpg,8,0.5413
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-084.jpg,3,0.4994
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-085.jpg,6,0.5173
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-086.jpg,5,0.4998
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-087.jpg,4,0.5964
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-088.jpg,5,0.5442
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-091.jpg,9,0.5382
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-092.jpg,2,0.6147
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-093.jpg,15,0.5362
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-094.jpg,3,0.5086
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-095.jpg,4,0.4683
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-097.jpg,5,0.5743
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-099.jpg,9,0.7267
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-100.jpg,4,0.4498
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-102.jpg,6,0.6608
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-106.jpg,2,0.4843
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-107.jpg,1,0.3774
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-108.jpg,5,0.5107
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-111.jpg,8,0.3652
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-112.jpg,13,0.3497
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/foggy-113.jpg,8,0.4533
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-003.jpg,2,0.3216
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-004.jpg,1,0.4683
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-005.jpg,4,0.5097
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-007.jpg,4,0.9327
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-009.jpg,10,0.5676
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-010.jpg,2,0.8163
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-013.jpg,9,0.5275
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-018.jpg,1,0.4634
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-019.jpg,7,0.4109
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-021.jpg,2,0.4215
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-022.jpg,6,0.7289
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-023.jpg,2,0.583
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-024.jpg,2,0.4426
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-026.jpg,1,0.9416
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-027.jpg,9,0.5658
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-028.jpg,7,0.3691
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-029.jpg,7,0.4287
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-030.jpg,2,0.6065
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-033.jpg,1,0.4819
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-036.jpg,7,0.7812
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-038.jpg,14,0.3761
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-039.jpg,2,0.4426
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-040.jpg,1,0.5795
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-041.jpg,10,0.5174
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-042.jpg,6,0.5869
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-043.jpg,3,0.3684
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-044.jpg,4,0.5956
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-045.jpg,6,0.5028
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-046.jpg,4,0.7352
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-050.jpg,2,0.8105
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-051.jpg,2,0.5
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-053.jpg,25,0.6531
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-056.jpg,5,0.5681
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-057.jpg,1,0.81
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-058.jpg,4,0.4958
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-059.jpg,8,0.7812
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-060.jpg,1,0.4821
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-061.jpg,1,0.8694
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-063.jpg,1,0.4438
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-064.jpg,5,0.3875
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-065.jpg,6,0.5041
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-067.jpg,8,0.499
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-068.jpg,6,0.5687
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-071.jpg,2,0.4459
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-074.jpg,3,0.6067
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-077.jpg,7,0.3836
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-082.jpg,5,0.5173
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-084.jpg,4,0.684
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-085.jpg,2,0.6042
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-086.jpg,4,0.4462
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-087.jpg,1,0.2509
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-088.jpg,2,0.3691
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-091.jpg,45,0.5741
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-092.jpg,6,0.5756
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-093.jpg,11,0.4996
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-094.jpg,2,0.2696
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-095.jpg,2,0.4081
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-096.jpg,4,0.4616
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-098.jpg,7,0.3836
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-099.jpg,3,0.9525
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-100.jpg,4,0.684
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-101.jpg,8,0.7855
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-102.jpg,2,0.543
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-103.jpg,9,0.8218
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-104.jpg,1,0.9385
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-105.jpg,8,0.549
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-106.jpg,18,0.5193
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-109.jpg,1,0.4634
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-110.jpg,3,0.5686
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-111.jpg,8,0.6833
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-112.jpg,2,0.5396
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-119.jpg,12,0.5456
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-120.jpg,7,0.5874
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-121.jpg,1,0.5795
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-122.jpg,2,0.5396
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-124.jpg,2,0.476
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-126.jpg,1,0.6724
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-129.jpg,17,0.5971
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-132.jpg,2,0.5562
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-134.jpg,1,0.7108
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-135.jpg,20,0.6095
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-136.jpg,1,0.2934
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-139.jpg,1,0.483
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-141.jpg,2,0.5857
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-142.jpg,2,0.7428
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-145.jpg,2,0.344
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/haze-149.jpg,2,0.344
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/mist-002.jpg,8,0.432
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/mist-003.jpg,1,0.5551
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/mist-013.jpg,6,0.3765
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/mist-015.jpg,2,0.3636
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/mist-021.jpg,6,0.274
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/mist-023.jpg,13,0.6023
train,C:/Users/ramad/Downloads/dawn_yolo/images/train/mist-027.jpg,12,0.6778
